"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"7b4864e0-abda-4aad-9150-1eaab03b86e5","Book4.xml","Ἀριστομένην","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[4]/p[1]::234;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[4]/p[1]::245","PERSON","","","","","","","","Q1258025","","",""
"ddae8ba0-042b-4a0a-94d0-8b61d6157282","Book4.xml","Εἴρας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[4]/p[1]::279;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[4]/p[1]::284","PLACE","http://topostext.org/place/374219UEir","Eira (Messenia)","","37.4009","21.9327","","VERIFIED","built|settlement","","",""
"2c7fe48a-64ba-4146-a289-a8eb8e90ae2d","Book4.xml","Σπάρτην","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[5]/p[1]::33;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[5]/p[1]::40","PLACE","http://dare.ht.lu.se/places/21911","Sparta/Sparte, Sparti|Sparta","-0750/0300","37.08149","22.42454","theatre,temple,settlement,temple-2","VERIFIED","built|polis","","",""
"d1c25505-5c05-43fa-bf4c-24960f0d2eba","Book4.xml","Λακεδαιμονίοις","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[5]/p[1]::60;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[5]/p[1]::74","PLACE","http://topostext.org/place/371224PSpa","Sparta/Lacedaemon (Lakonia)","","37.0821","22.4237","","VERIFIED","historical|Lacedaemonians|proxy","","",""
"852e12b6-1f95-4f3e-a3d5-8d3cb4a97816","Book4.xml","Ἀριστομένην","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[5]/p[1]::75;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[5]/p[1]::86","PERSON","","","","","","","","Q1258025","","",""
"e852ec3e-a3e9-4dd0-9d80-42621ed99f25","Book4.xml","Μεσσηνίᾳ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[5]/p[1]::155;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[5]/p[1]::163","PLACE","http://topostext.org/place/372218RMes","Messenia region (Messenia)","","37.2","21.8","","VERIFIED","regional","","",""
"8fe15396-e95a-4da7-8378-7bb55dec71cd","Book4.xml","Ἀριστομένην","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[6]/p[1]::15;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[6]/p[1]::26","PERSON","","","","","","","","Q1258025","","",""
"0c1a8098-303d-4a09-9153-f3114553997e","Book4.xml","Κρῆτες","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[6]/p[1]::40;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[6]/p[1]::46","PLACE","http://pleiades.stoa.org/places/589748","Creta (island)","-0750/2100","35.21984439173344","24.995769971494504","island","VERIFIED","historical|Cretans|proxy","","",""
"d850a8b0-af38-4450-87a8-89a05fb4066f","Book4.xml","Κρησὶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[6]/p[1]::227;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[6]/p[1]::233","PLACE","http://pleiades.stoa.org/places/589748","Creta (island)","-0750/2100","35.21984439173344","24.995769971494504","island","VERIFIED","historical|Cretans|proxy","","",""
"dc4fd4ad-938b-4c7a-a832-974b90efb72f","Book4.xml","Ἀριστομένους","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[6]/p[1]::349;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[19]/div[6]/p[1]::361","PERSON","","","","","","","","Q1258025","","",""
