"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"87ac73f0-810e-4526-a6be-afbb2c5c8bcb","Book10.xml","Φωκεῖς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::80;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::86","PLACE","http://pleiades.stoa.org/places/541048","Phocis","","38.25","22.25","unknown","VERIFIED","regional|Phocians|proxy","","",""
"0970eeba-84da-4445-a60b-c2457470c84f","Book10.xml","Κίρραν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::98;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::104","PLACE","http://dare.ht.lu.se/places/29378","Kirra, Magoula Xeropigadas|Kirra","-0750/0640","38.428937","22.450621","settlement","VERIFIED","built|epineion","","",""
"92af7638-e408-4973-832f-a539ea993c03","Book10.xml","Δελφῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::117;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::123","PLACE","http://dare.ht.lu.se/places/21949","Delphi/Delphoi, Delphi|Delphi","-0750/2100","38.482289","22.501169","sanctuary,settlement","VERIFIED","Delphians|proxy|historical","","",""
"62589442-9bfc-4cf1-b5f1-00872dc372a9","Book10.xml","Ἀντίκυραν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::135;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::144","PLACE","http://dare.ht.lu.se/places/22840","Antikyra, Antikyra|Antikyra","-0750/0640","38.375439","22.626059","settlement,port","VERIFIED","built|polis","","",""
"e27400e7-05b6-431d-bae9-ac5fe753e03c","Book10.xml","Λαμιακοῦ κόλπου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::167;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::182","PLACE","http://pleiades.stoa.org/places/540929","Maliacus Sinus","","38.8678937","22.6337672","water-open","VERIFIED","physical|kolpos","Lamian Gulf = Maliac gulf","",""
"705db17d-582d-43b8-9c4a-50c3d7505fc7","Book10.xml","Λοκροὶ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::183;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::189","PLACE","http://pleiades.stoa.org/places/540919","Locris Ozolia","","38.25","21.75","unknown","VERIFIED","regional|Locrians|proxy","","",""
"cf166cf3-1463-4a48-9e8f-6d4e3782fece","Book10.xml","Ὑποκνημίδιοι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::213;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::225","PLACE","http://pleiades.stoa.org/places/540917","Locris Epiknemidia","","38.75","22.75","unknown","VERIFIED","regional|Lokroi Epiknemidioi|proxy","Epiknêmidian Lokrians","",""
"5a3f9441-f8b0-4239-8211-a3552f48155f","Book10.xml","Φωκίδα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::275;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::281","PLACE","http://pleiades.stoa.org/places/541048","Phocis","","38.25","22.25","unknown","VERIFIED","regional","","",""
"5458fa9c-852f-4aff-9efb-82f588a85033","Book10.xml","Σκαρφεῖς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::297;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::305","PLACE","http://dare.ht.lu.se/places/23301","Skarpheia, Skarfia|Skarpheia","-0750/0640","38.81072","22.68341970000006","settlement","VERIFIED","historical|Skarpheians|proxy","","",""
"0e91dc89-225a-46f4-8c99-75118ae9c515","Book10.xml","Ἐλατείας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::322;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::330","PLACE","http://dare.ht.lu.se/places/22815","Elateia, Elatia|Elateia","-0750/0640","38.645635","22.782061","settlement-modern,settlement","VERIFIED","built|polis","","",""
