person,personLabel,genderLabel,personDescription,entityLabel,death,fatherLabel,motherLabel,birthplaceLabel,article,father,mother,birthplace,gender,periodLabel
http://www.wikidata.org/entity/Q21547952,Aegobolus,,epithet of Dionysus in Boeotia,επίκληση,,,,,,,,,,
http://www.wikidata.org/entity/Q21547959,Aegophaga,,"AEGOPHĂGA , æ, Gr . Ἀιγοφάγος, ου, und nicht Aegophora , wie Banier IV. Bande 645 S. saget, ein Beynamen der Juno, unter welchem sie einen Tempel zu Lacedämon hatte. Es so",επίκληση,,,,,,,,,,
http://www.wikidata.org/entity/Q27892737,Aepytidae,,"descendants of Aepytus, legendary ruler of Messenia",group of mythical characters,,,,,,,,,,
http://www.wikidata.org/entity/Q27892737,Aepytidae,,"descendants of Aepytus, legendary ruler of Messenia",δυναστεία,,,,,,,,,,
http://www.wikidata.org/entity/Q27892737,Aepytidae,,"descendants of Aepytus, legendary ruler of Messenia",οικογένεια,,,,,,,,,,
http://www.wikidata.org/entity/Q105836025,Aeschylinus of Pyrra,άνδρας,father of the poet Lesches,άνθρωπος,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q12761989,Aeschylus,άνδρας,"Athenian archon, son of Agamestor",πρόσωπο της ελληνικής μυθολογίας,,Agamestor,,,,http://www.wikidata.org/entity/Q12761959,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q21548022,Aethe,,horse of Agamemnon in Greek myth,mythological horse,,,,,,,,,,
http://www.wikidata.org/entity/Q21548073,Aethyia,,epithet of Athena at Megara,επίκληση,,,,,,,,,,
http://www.wikidata.org/entity/Q106874608,Aetnaeus son of Prometheus,άνδρας,one of the Cabiri in Greek mythology,πρόσωπο της ελληνικής μυθολογίας,,Prometheus,,,,http://www.wikidata.org/entity/Q106874628,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q91121093,Aetolia,γυναίκα,personification of Aetolia,πρόσωπο της ελληνικής μυθολογίας,,,,,,,,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q31789655,Agamedidas,άνδρας,mythical father of Thersander,πρόσωπο της ελληνικής μυθολογίας,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q107043493,Agametor statue at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,κλασική αρχαιότητα
http://www.wikidata.org/entity/Q91121909,Agasimenes of Sicyon,άνδρας,"fought with Lysander at Aegospotami, he was represented in a votive group in Delphi",άνθρωπος,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q107043535,Agathinos statue at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,κλασική αρχαιότητα
