Wikidata,PersonInWikidata,PersonInPausanias,Description,Entity,Wikipedia,FatherLabel,FatherURL,MotherLabel,MotherURL
http://www.wikidata.org/entity/Q305616,Abas,,"mythical character, trojan companion of Aeneas","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q3603128,Abas,,"mythological character, son of Metaneira","mythological Greek character",,Celeus,http://www.wikidata.org/entity/Q1141300,Metanira,http://www.wikidata.org/entity/Q1469456
http://www.wikidata.org/entity/Q38098392,Abas,,"mythical character, defender of Thebes against the Seven","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q2359586,Abasgoi,,"ancient tribe of Caucasian Iberia","isolated human group",https://en.wikipedia.org/wiki/Abasgoi,,,,
http://www.wikidata.org/entity/Q4663560,Abassad,,"Egyptian bishop and martyr",human,https://en.wikipedia.org/wiki/Abassad,,,,
http://www.wikidata.org/entity/Q122035397,Abdera,,"Greek mythical character, sister of Diomedes, eponymous hero of Abdera","eponymous hero",,,,,
http://www.wikidata.org/entity/Q122035397,Abdera,,"Greek mythical character, sister of Diomedes, eponymous hero of Abdera","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q15634657,Abdera,,"mythical daughter of Tydeus","mythological Greek character",,Tydeus,http://www.wikidata.org/entity/Q250506,Deipyle,http://www.wikidata.org/entity/Q279566
http://www.wikidata.org/entity/Q308055,Abderus,,"son of Hermes in Greek mythology","mythological Greek character",https://en.wikipedia.org/wiki/Abderus,Erimus,http://www.wikidata.org/entity/Q60588819,,
http://www.wikidata.org/entity/Q308055,Abderus,,"son of Hermes in Greek mythology","mythological Greek character",https://en.wikipedia.org/wiki/Abderus,Hermes,http://www.wikidata.org/entity/Q41484,,
http://www.wikidata.org/entity/Q308055,Abderus,,"son of Hermes in Greek mythology","mythological Greek character",https://en.wikipedia.org/wiki/Abderus,Menoetius,http://www.wikidata.org/entity/Q1920680,,
http://www.wikidata.org/entity/Q308055,Abderus,,"son of Hermes in Greek mythology","mythological Greek character",https://en.wikipedia.org/wiki/Abderus,Poseidon,http://www.wikidata.org/entity/Q41127,,
http://www.wikidata.org/entity/Q308320,Abdon,,"male human biblical figure in Judges 12:13-15, judge of Israel","human biblical figure",https://en.wikipedia.org/wiki/Abdon_(Judges),,,,
http://www.wikidata.org/entity/Q313421,Abel,,"male human biblical figure in Genesis 4, son of Adam and Eve","human biblical figure",https://en.wikipedia.org/wiki/Abel,Adam,http://www.wikidata.org/entity/Q70899,Eve,http://www.wikidata.org/entity/Q830183
http://www.wikidata.org/entity/Q318778,Abelox,,"Ancient Roman noble",human,https://en.wikipedia.org/wiki/Abelox,,,,
http://www.wikidata.org/entity/Q3603524,"Abgar VI",,"ruler of Osroene from 71 to 91 CE",human,https://en.wikipedia.org/wiki/Abgar_VI,Q21777960,http://www.wikidata.org/entity/Q21777960,,
http://www.wikidata.org/entity/Q320830,Abia,Ἀβίαν,"mythical character, nurse of Glenus","mythological Greek character",https://en.wikipedia.org/wiki/Abia_(mythology),,,,
http://www.wikidata.org/entity/Q171795,Abkhazians,,"Northwest Caucasian ethnic subgroup of Georgia indigenous to Abkhazia","ethnic group",https://en.wikipedia.org/wiki/Abkhazians,,,,
