person,personLabel,genderLabel,personDescription,entityLabel,citizen,death,fatherLabel,motherLabel,birthplaceLabel,article,father,mother,birthplace,gender,periodLabel
http://www.wikidata.org/entity/Q308055,Abderus,male,son of Hermes in Greek mythology,mythological Greek character,,,Poseidon,,,https://en.wikipedia.org/wiki/Abderus,http://www.wikidata.org/entity/Q41127,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q308320,Abdon,male,male human biblical figure in Judges 12:13-15, judge of Israel,human biblical figure,,,,,Pirathon,https://en.wikipedia.org/wiki/Abdon_(Judges),,,http://www.wikidata.org/entity/Q2946726,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q313421,Abel,male,male human biblical figure in Genesis 4, son of Adam and Eve,human biblical figure,,-3824-01-01T00:00:00Z,Adam,Eve,http://www.wikidata.org/.well-known/genid/1bfa667428f8c5df31cb3e3f4813adb9,https://en.wikipedia.org/wiki/Abel,http://www.wikidata.org/entity/Q70899,http://www.wikidata.org/entity/Q830183,http://www.wikidata.org/.well-known/genid/1bfa667428f8c5df31cb3e3f4813adb9,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q318778,Abelox,male,Ancient Roman noble,human,,-0260-01-01T00:00:00Z,,,,https://en.wikipedia.org/wiki/Abelox,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q3603524,Abgar VI,male,ruler of Osroene from 71 to 91 CE,human,http://www.wikidata.org/entity/Q237234,0116-01-01T00:00:00Z,Q21777960,,,https://en.wikipedia.org/wiki/Abgar_VI,http://www.wikidata.org/entity/Q21777960,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q320830,Abia,female,mythical character, nurse of Glenus,mythological Greek character,,,,,,https://en.wikipedia.org/wiki/Abia_(mythology),,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q171795,Abkhazians,,Northwest Caucasian ethnic subgroup of Georgia indigenous to Abkhazia,ethnic group,,,,,,https://en.wikipedia.org/wiki/Abkhazians,,,,,,
http://www.wikidata.org/entity/Q171795,Abkhazians,,Northwest Caucasian ethnic subgroup of Georgia indigenous to Abkhazia,people,,,,,,https://en.wikipedia.org/wiki/Abkhazians,,,,,,
http://www.wikidata.org/entity/Q957189,Ablabius,male,high official of the Roman Empire,human,http://www.wikidata.org/entity/Q1747689,0338-01-01T00:00:00Z,,,Crete,https://en.wikipedia.org/wiki/Ablabius_(consul),,,http://www.wikidata.org/entity/Q34374,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q322053,Ablabius,male,historian of the Goths,human,http://www.wikidata.org/entity/Q12544,0600-01-01T00:00:00Z,,,http://www.wikidata.org/.well-known/genid/9796e5a880bd5b5fb4d6ba38e77ec30f,https://en.wikipedia.org/wiki/Ablabius_(historian),,,http://www.wikidata.org/.well-known/genid/9796e5a880bd5b5fb4d6ba38e77ec30f,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q51883245,Ablabius,male,ayudante del censor en Córcega,human,http://www.wikidata.org/entity/Q1747689,0500-01-01T00:00:00Z,,,http://www.wikidata.org/.well-known/genid/43af50bc904ad36b56a11eee0406549a,,,,http://www.wikidata.org/.well-known/genid/43af50bc904ad36b56a11eee0406549a,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q11903853,Ablabius,male,Greek physician of the second century,human,http://www.wikidata.org/entity/Q1747689,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q322054,Ablabius Illustrius,male,griechisch-römischer Bischof,human,http://www.wikidata.org/entity/Q1747689,0500-01-01T00:00:00Z,,,Galatia,,,,http://www.wikidata.org/entity/Q26847,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q11903863,Ablabius Murena,male,fictional Roman man formerly considered to be historical,fictional human formerly considered to be historical,http://www.wikidata.org/entity/Q1747689,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q322372,Ablerus,male,mythical character,mythological Greek character,,,,,,https://en.wikipedia.org/wiki/Ablerus_(mythology),,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q2562036,Abradatas,male,Persian prince,human whose existence is disputed,http://www.wikidata.org/entity/Q83311,,,,,https://en.wikipedia.org/wiki/Abradatas,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q9181,Abraham,male,legendary patriarch in the Hebrew Bible,human biblical figure,,-1637-01-01T00:00:00Z,Terah,Amasla,,https://en.wikipedia.org/wiki/Abraham,http://www.wikidata.org/entity/Q586541,http://www.wikidata.org/entity/Q33205630,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q2821860,Abraham of Ephesus,male,archbishop of Ephesus (6th century AD),human,,,,,,https://en.wikipedia.org/wiki/Abraham_of_Ephesus,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q329898,Abraomas Kulvietis,male,Lithuanian noble and writer,human,http://www.wikidata.org/entity/Q49683,1545-06-16T00:00:00Z,,,Kulva,https://en.wikipedia.org/wiki/Abraomas_Kulvietis,,,http://www.wikidata.org/entity/Q677673,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q331523,Abrocomas,male,Achaemenid satrap,human,,-0460-01-01T00:00:00Z,,,,https://en.wikipedia.org/wiki/Abrocomas,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q2758562,Abronius Silo,male,Latin poet,human,http://www.wikidata.org/entity/Q1747689,0100-01-01T00:00:00Z,,,Hispania,https://en.wikipedia.org/wiki/Abronius_Silo,,,http://www.wikidata.org/entity/Q186513,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q1566958,Abronychus,male,Athenian sailor,human,http://www.wikidata.org/entity/Q844930,-0500-01-01T00:00:00Z,,,,https://en.wikipedia.org/wiki/Abronychus,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q2634102,Abrota,female,Mythological wife of Nisus of Megara,mythological Greek character,http://www.wikidata.org/entity/Q42307600,,Onchestus,,,https://en.wikipedia.org/wiki/Abrota,http://www.wikidata.org/entity/Q15838246,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q18639389,Abrotelia,female,female Pythagorean philosopher.,human,,-0500-01-01T00:00:00Z,,,Taranto,https://en.wikipedia.org/wiki/Abrotelia,,,http://www.wikidata.org/entity/Q13498,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q21996128,Abrotonum,female,mother of Themistocles,human,,,,,,,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q331602,Abrupolis,male,2nd-century BC king of the Thracian Sapaei,human,,-0200-01-01T00:00:00Z,,,,https://en.wikipedia.org/wiki/Abrupolis,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q3603818,Abseus,male,mythical giant,mythological Greek character,,,Uranus,Gaia,,,http://www.wikidata.org/entity/Q79999,http://www.wikidata.org/entity/Q93172,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q333658,Absyrtus,male,mythical brother of Medea,mythological Greek character,,,Aeëtes,Asterodeia,,https://en.wikipedia.org/wiki/Absyrtus,http://www.wikidata.org/entity/Q241971,http://www.wikidata.org/entity/Q748574,,http://www.wikidata.org/entity/Q6581097,,
