person,personLabel,genderLabel,personDescription,entityLabel,citizen,death,fatherLabel,motherLabel,birthplaceLabel,article,father,mother,birthplace,gender,periodLabel
http://www.wikidata.org/entity/Q11907072,Asinia Pollia,female,sister-in-law of Vipsania Agrippina,human,http://www.wikidata.org/entity/Q1747689,,Gaius Asinius Pollio,Quinctia,,,http://www.wikidata.org/entity/Q319273,http://www.wikidata.org/entity/Q12282789,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q2312825,Asinius Gallus,male,banished by Claudius for conspiracy,human,http://www.wikidata.org/entity/Q1747689,0046-01-01T00:00:00Z,Gaius Asinius Gallus,Vipsania Agrippina,,,http://www.wikidata.org/entity/Q450708,http://www.wikidata.org/entity/Q232090,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q1949987,Asinius Lupus,male,possible son of Vipsania Agrippina,human whose existence is disputed,http://www.wikidata.org/entity/Q1747689,0100-01-01T00:00:00Z,Gaius Asinius Gallus,Vipsania Agrippina,,,http://www.wikidata.org/entity/Q450708,http://www.wikidata.org/entity/Q232090,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q1949987,Asinius Lupus,male,possible son of Vipsania Agrippina,conflation,http://www.wikidata.org/entity/Q1747689,0100-01-01T00:00:00Z,Gaius Asinius Gallus,Vipsania Agrippina,,,http://www.wikidata.org/entity/Q450708,http://www.wikidata.org/entity/Q232090,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q1949987,Asinius Lupus,male,possible son of Vipsania Agrippina,human,http://www.wikidata.org/entity/Q1747689,0100-01-01T00:00:00Z,Gaius Asinius Gallus,Vipsania Agrippina,,,http://www.wikidata.org/entity/Q450708,http://www.wikidata.org/entity/Q232090,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q19997987,Asinius Pollio,male,freedman of Gaius Asinius Pollio,human,,,,,Tralleis,,,,http://www.wikidata.org/entity/Q462630,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q11906901,Asinius Quadratus,male,Late Roman Republican poet,human,http://www.wikidata.org/entity/Q1747689,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q2138352,Asinius Saloninus,male,son of Vipsania Agrippina,human,http://www.wikidata.org/entity/Q1747689,0022-01-01T00:00:00Z,Gaius Asinius Gallus,Vipsania Agrippina,http://www.wikidata.org/.well-known/genid/2fc30dda81f4ef2a27d00ab646816f22,,http://www.wikidata.org/entity/Q450708,http://www.wikidata.org/entity/Q232090,http://www.wikidata.org/.well-known/genid/2fc30dda81f4ef2a27d00ab646816f22,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q55792368,Asius,male,personnage de la mythologie grecque, fils d'Imbrasos,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q55792792,Asius,male,mythical sage, eponym of Asia,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q17277174,Asius,male,son of Dymas in Greek mythology,mythological Greek character,,,Dymas,,,,http://www.wikidata.org/entity/Q17486774,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q2647181,Asius,male,Greek mythical character, King of Arisbe,king in Greek mythology,,,Hyrtacus,Arisbe,,,http://www.wikidata.org/entity/Q1539642,http://www.wikidata.org/entity/Q72211,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q730625,Asius of Samos,male,ancient Greek poet, son of Amphiptolemus,human,,-0600-01-01T00:00:00Z,,,Samos,https://en.wikipedia.org/wiki/Asius_of_Samos,,,http://www.wikidata.org/entity/Q156882,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q20202788,Asopichus of Orchomenus,male,ancient Greek athlete,human,,,,,Orchomenus,,,,http://www.wikidata.org/entity/Q13574822,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q55803636,Asopides,male,son of Heracles in Greek mythology,mythological Greek character,,,Heracles,,,,http://www.wikidata.org/entity/Q122248,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q55802221,Asopis,female,daughter of Thespius in Greek mythology,mythological Greek character,,,Thespius,,,,http://www.wikidata.org/entity/Q952188,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q5709417,Asopius,male,Athenian admiral,human,http://www.wikidata.org/entity/Q844930,,Phormio,,,,http://www.wikidata.org/entity/Q2338787,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q734153,Asopodorus,male,ancient Greek sculptor, student of Polycleitus,human,,-0460-01-01T00:00:00Z,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q84826082,Asopodorus of Phlius,male,ancient Greek poet,human,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Himerus,Celusa,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q12766862,http://www.wikidata.org/entity/Q57157139,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Himerus,Cleodice,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q12766862,http://www.wikidata.org/entity/Q12029578,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Himerus,Eurynome,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q12766862,http://www.wikidata.org/entity/Q548099,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Himerus,Pero,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q12766862,http://www.wikidata.org/entity/Q2071595,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Himerus,Tethys,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q12766862,http://www.wikidata.org/entity/Q184216,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Oceanus,Celusa,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q161419,http://www.wikidata.org/entity/Q57157139,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Oceanus,Cleodice,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q161419,http://www.wikidata.org/entity/Q12029578,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Oceanus,Eurynome,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q161419,http://www.wikidata.org/entity/Q548099,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Oceanus,Pero,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q161419,http://www.wikidata.org/entity/Q2071595,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Oceanus,Tethys,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q161419,http://www.wikidata.org/entity/Q184216,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Poseidon,Celusa,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q41127,http://www.wikidata.org/entity/Q57157139,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Poseidon,Cleodice,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q41127,http://www.wikidata.org/entity/Q12029578,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Poseidon,Eurynome,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q41127,http://www.wikidata.org/entity/Q548099,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Poseidon,Pero,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q41127,http://www.wikidata.org/entity/Q2071595,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Poseidon,Tethys,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q41127,http://www.wikidata.org/entity/Q184216,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Zeus,Celusa,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q34201,http://www.wikidata.org/entity/Q57157139,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Zeus,Cleodice,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q34201,http://www.wikidata.org/entity/Q12029578,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Zeus,Eurynome,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q34201,http://www.wikidata.org/entity/Q548099,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Zeus,Pero,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q34201,http://www.wikidata.org/entity/Q2071595,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q622781,Asopus,male,river god of Greek mythology,Potamoi,,,Zeus,Tethys,,https://en.wikipedia.org/wiki/Asopus,http://www.wikidata.org/entity/Q34201,http://www.wikidata.org/entity/Q184216,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q106489809,Aspa,male,Ancient roman toreut,human,http://www.wikidata.org/entity/Q1747689,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q734922,Aspalis,female,mythical character,mythological Greek character,,,,,,https://en.wikipedia.org/wiki/Aspalis,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q228564,Aspasia,female,5th-century BC partner of Athenian statesman Pericles,human,,-0399-01-01T00:00:00Z,,,Miletus,https://en.wikipedia.org/wiki/Aspasia,,,http://www.wikidata.org/entity/Q169460,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q16154352,Aspasia the Physician,female,Athenian physician,human,,http://www.wikidata.org/.well-known/genid/1c3e6bbc0442b22103574249e8b7f4a9,,,Athens,https://en.wikipedia.org/wiki/Aspasia_the_Physician,,,http://www.wikidata.org/entity/Q1524,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q16171823,Aspasia the Younger,female,Greek concubine to Persian royalty (fl. 415–370 bce),human,,,,,,,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q735515,Aspasius,male,2nd-century Greek philosopher and author,human,http://www.wikidata.org/entity/Q1747689,0150-01-01T00:00:00Z,,,,https://en.wikipedia.org/wiki/Aspasius,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q105610679,Aspasius,male,ancient Greek physician,human,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q11906926,Aspasius of Byblos,male,philosopher,human,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q4807731,Aspasius of Ravenna,male,3rd century Roman sophist and rhetorician,human,http://www.wikidata.org/entity/Q1747689,0300-01-01T00:00:00Z,,,Ravenna,https://en.wikipedia.org/wiki/Aspasius_of_Ravenna,,,http://www.wikidata.org/entity/Q13364,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q11906931,Aspasius of Tyre,male,ancient Greek historian,human,,,,,Tyre,,,,http://www.wikidata.org/entity/Q82070,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q550504,Aspasius Paternus,male,3rd century Roman senator and governor,human,http://www.wikidata.org/entity/Q1747689,,,,,https://en.wikipedia.org/wiki/Aspasius_Paternus,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q119470,Aspathines,male,6th/5th-century Achaemenid official,human,http://www.wikidata.org/entity/Q389688,-0500-01-01T00:00:00Z,,,,https://en.wikipedia.org/wiki/Aspathines,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q16327389,Asphalionas,male,character from Greek mythology,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q55804838,Asphalius,,epithet of Poseidon,epithet,,,,,,,,,,,,
http://www.wikidata.org/entity/Q55804916,Aspledon,male,mythical son of Poseidon and Mideia,mythological Greek character,,,Orchomenus,Midea,,,http://www.wikidata.org/entity/Q4337246,http://www.wikidata.org/entity/Q16607057,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q55804916,Aspledon,male,mythical son of Poseidon and Mideia,mythological Greek character,,,Poseidon,Midea,,,http://www.wikidata.org/entity/Q41127,http://www.wikidata.org/entity/Q16607057,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q55804916,Aspledon,male,mythical son of Poseidon and Mideia,mythological Greek character,,,Presbon,Midea,,,http://www.wikidata.org/entity/Q3910877,http://www.wikidata.org/entity/Q16607057,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q737911,Aspren,male,Bishop of Naples,human,http://www.wikidata.org/entity/Q1747689,0200-01-01T00:00:00Z,,,Naples,https://en.wikipedia.org/wiki/Aspren,,,http://www.wikidata.org/entity/Q2634,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q3625380,Assaon,male,character in Greek mythology, father of Niobe,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q739359,Assaracus,male,son of Tros in Greek mythology,mythological Greek character,,,Tros,Acallaris,,https://en.wikipedia.org/wiki/Assaracus,http://www.wikidata.org/entity/Q599482,http://www.wikidata.org/entity/Q4671657,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q739359,Assaracus,male,son of Tros in Greek mythology,mythological Greek character,,,Tros,Callirhoe,,https://en.wikipedia.org/wiki/Assaracus,http://www.wikidata.org/entity/Q599482,http://www.wikidata.org/entity/Q1361804,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q745718,Assyrians,,ancient Mesopotamian people of Assyria,historical ethnic group,,,,,,https://en.wikipedia.org/wiki/History_of_the_Assyrians,,,,,,
http://www.wikidata.org/entity/Q6050752,Astacus,male,son of Poseidon and the nymph Olbia,mythological Greek character,,,Poseidon,,,,http://www.wikidata.org/entity/Q41127,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q746367,Astacus of Thebes,male,mythical character,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q3627484,Astarbea,female,,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q130274,Astarte,female,Middle Eastern goddess, worshipped from the Bronze Age through classical antiquity,war deity,,,,,,https://en.wikipedia.org/wiki/Astarte,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q130274,Astarte,female,Middle Eastern goddess, worshipped from the Bronze Age through classical antiquity,Greek deity,,,,,,https://en.wikipedia.org/wiki/Astarte,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q130274,Astarte,female,Middle Eastern goddess, worshipped from the Bronze Age through classical antiquity,fertility deity,,,,,,https://en.wikipedia.org/wiki/Astarte,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q328002,Asteas,male,4th-century BC Greek (Paestan) Vase painter,human,,http://www.wikidata.org/.well-known/genid/74590a6631d2110421e7fbc3d708af39,,,,https://en.wikipedia.org/wiki/Asteas,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q89088905,Asteius of Athens,male,eponymous archon 373/2 BCE,human,http://www.wikidata.org/entity/Q844930,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q2868377,Aster,male,skilled Greek archer of the 4th century BC, who wounded Philip II,human,,,,,Amphipolis,,,,http://www.wikidata.org/entity/Q217414,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q18642295,Asteria,female,Athenian maiden, one of the would-be sacrificial victims of Minotaur, portrayed in a vase painting,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q18642291,Asteria,female,daughter of Hydeus, was the mother of Hydissos by Bellerophon,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q18642295,Asteria,female,Athenian maiden, one of the would-be sacrificial victims of Minotaur, portrayed in a vase painting,Sacrificial victims of Minotaur,,,,,,,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q18642292,Asteria,female,daughter of Coronus, and Apollo were possible parents of the seer Idmon,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q18642288,Asteria,female,one of the Alkyonides,mythological Greek character,,,Alcyoneus,,,,http://www.wikidata.org/entity/Q653681,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q18642287,Asteria,female,one of the Danaids, daughters of Danaus who, with one exception, murdered their husbands on their wedding nights. She was, briefly, the bride of Chaetus,Daughters of Danaus,,,Danaus,Atlantia,,,http://www.wikidata.org/entity/Q210883,http://www.wikidata.org/entity/Q3626277,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q18642287,Asteria,female,one of the Danaids, daughters of Danaus who, with one exception, murdered their husbands on their wedding nights. She was, briefly, the bride of Chaetus,mythological Greek character,,,Danaus,Atlantia,,,http://www.wikidata.org/entity/Q210883,http://www.wikidata.org/entity/Q3626277,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q18642287,Asteria,female,one of the Danaids, daughters of Danaus who, with one exception, murdered their husbands on their wedding nights. She was, briefly, the bride of Chaetus,Daughters of Danaus,,,Danaus,Phoebe,,,http://www.wikidata.org/entity/Q210883,http://www.wikidata.org/entity/Q15631124,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q18642287,Asteria,female,one of the Danaids, daughters of Danaus who, with one exception, murdered their husbands on their wedding nights. She was, briefly, the bride of Chaetus,mythological Greek character,,,Danaus,Phoebe,,,http://www.wikidata.org/entity/Q210883,http://www.wikidata.org/entity/Q15631124,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q18642285,Asteria,female,daughter of the Titans Coeus and Phoebe and sister of Leto,titan,,,Koios,Phoebe,,https://en.wikipedia.org/wiki/Asteria_(Titaness),http://www.wikidata.org/entity/Q182837,http://www.wikidata.org/entity/Q183281,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q18642294,Asteria,female,daughter of Teucer and Eune of Cyprus,mythological Greek character,,,Teucer,Eune,,,http://www.wikidata.org/entity/Q878184,http://www.wikidata.org/entity/Q58693793,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q101545531,Asterion,male,Ancient Greek sculptor, son of Aeschylus,human,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q24055357,Asterion,male,mythical son of Cometes,mythological Greek character,,,Cometes,,,,http://www.wikidata.org/entity/Q58494141,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q4810678,Asterion,male,river-god of Argos,Potamoi,,,Oceanus,Tethys,,https://en.wikipedia.org/wiki/Asterion_(god),http://www.wikidata.org/entity/Q161419,http://www.wikidata.org/entity/Q184216,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q23162,Asterios,male,King of Crete and husband of Europa,mythological Greek character,http://www.wikidata.org/entity/Q34374,,Tectamus,,,https://en.wikipedia.org/wiki/Asterion_(king_of_Crete),http://www.wikidata.org/entity/Q3850519,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q8207420,Asterius,male,Roman general, comes Hispaniarum,human,http://www.wikidata.org/entity/Q1747689,0443-01-01T00:00:00Z,,,Madrid,https://en.wikipedia.org/wiki/Asterius_(comes_Hispaniarum),,,http://www.wikidata.org/entity/Q2807,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q104887698,Asterius,male,theologian,human,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q4071638,Asterius,male,personnage de la mythologie grecque, fils de Cométès ou d'Hypérasios,mythological Greek character,,,,Antigone,,,,http://www.wikidata.org/entity/Q11906117,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q55809760,Asterius,male,son of Aegyptus in Greek mythology,mythological Greek character,,,Aegyptus,,,,http://www.wikidata.org/entity/Q404844,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q10420712,Asterius,male,mythical figure of Miletus,Giants,,,Anax,,,https://en.wikipedia.org/wiki/Asterius_(giant),http://www.wikidata.org/entity/Q2303713,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q10420712,Asterius,male,mythical figure of Miletus,king in Greek mythology,,,Anax,,,https://en.wikipedia.org/wiki/Asterius_(giant),http://www.wikidata.org/entity/Q2303713,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q55810471,Asterius,male,Argonaut, son of Hyperasius,mythological Greek character,,,Hyperasius,,,,http://www.wikidata.org/entity/Q12760862,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q42372544,Asterius,male,mythical son of Minos,mythological Greek character,,,Minos,,,,http://www.wikidata.org/entity/Q23168,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q12762664,Asterius,male,son of Neleus in Greek mythology,mythological Greek character,,,Neleus,Chloris,,,http://www.wikidata.org/entity/Q637955,http://www.wikidata.org/entity/Q28122362,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q747775,Asterius of Amasea,male,Bishop of Amasea,human,http://www.wikidata.org/entity/Q12544,0410-01-01T00:00:00Z,,,Cappadocia,https://en.wikipedia.org/wiki/Asterius_of_Amasea,,,http://www.wikidata.org/entity/Q217265,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q4810692,Asterius of Petra,male,bishop of Petra,human,http://www.wikidata.org/entity/Q1747689,0365-01-01T00:00:00Z,,,,https://en.wikipedia.org/wiki/Asterius_of_Petra,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q23337816,Asterius Urbanus,male,écrivain chrétien,human,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q55813594,Asterodeia,female,mythical spouse of Endymion,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q2868652,Asterodeia,female,mother of Crisus and Panopeus by Phocus,mythological Greek character,,,Deioneus,Diomede,,,http://www.wikidata.org/entity/Q1183342,http://www.wikidata.org/entity/Q3028712,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q748578,Asterodeia,female,daughter of Eurypylus in Greek mythology,mythological Greek character,,,Eurypylus,,,,http://www.wikidata.org/entity/Q1378547,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q748574,Asterodeia,female,nymph, mother of Apsyrtus with Aeetes,Greek nymph,,,Oceanus,Tethys,,,http://www.wikidata.org/entity/Q161419,http://www.wikidata.org/entity/Q184216,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q748574,Asterodeia,female,nymph, mother of Apsyrtus with Aeetes,Greek nymph,,,Phasis,Tethys,,,http://www.wikidata.org/entity/Q3739958,http://www.wikidata.org/entity/Q184216,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q748909,Asteropaios,male,son of Pelegon in Greek mythology,mythological Greek character,,,Pelegon,,,https://en.wikipedia.org/wiki/Asteropaios,http://www.wikidata.org/entity/Q16332739,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q55814369,Asterope,female,daughter of Cebren in Greek mythology,mythological Greek character,,,Cebren,,,,http://www.wikidata.org/entity/Q1417280,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q748980,Asteropeia,female,mythical character, daughter of Pelias,mythological Greek character,,,Pelias,,,,http://www.wikidata.org/entity/Q182439,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q25440640,Astius Vindicianus,male,homme politique romain,human,http://www.wikidata.org/entity/Q1747689,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q109268721,Astra,female,courtesan in ancient Athens,human,,,,,,,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q4811170,Astrabacus,male,mythical Spartan,mythological Greek character,,,Irbus,,,https://en.wikipedia.org/wiki/Astrabacus,http://www.wikidata.org/entity/Q22965472,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q55816153,Astraea,female,mythical daughter of Minos,mythological Greek character,,,Minos,Pasiphaë,,,http://www.wikidata.org/entity/Q23168,http://www.wikidata.org/entity/Q203236,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q250588,Astraeus,male,Greek astrological god associated with winds,titan,,,Kreios,Eurybia,,https://en.wikipedia.org/wiki/Astraeus,http://www.wikidata.org/entity/Q192136,http://www.wikidata.org/entity/Q506285,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q28000974,Astrapaeus,,epithet of Zeus. of lightning,epithet,,,,,,,,,,,,
http://www.wikidata.org/entity/Q55833268,Astrateia,,epithet of the goddess Artemis,epithet,,,,,,,,,,,,
http://www.wikidata.org/entity/Q55833708,Astrêvs,male,,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q2003895,Astures,,ancient people of northern Iberian peninsula,group,,,,,,https://en.wikipedia.org/wiki/Astures,,,,,,
http://www.wikidata.org/entity/Q55834828,Astvr,male,ASTVR , ŭris , einer von des Aeneas Seite in Italien, der insonderheit ein guter Reuter war. Virg. Aen. X. v. 182 .,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q55834957,Astyagaea,female,Thessalian princess in Greek mythology,mythological Greek character,,,Hypseus,,,https://en.wikipedia.org/wiki/Astyaguia,http://www.wikidata.org/entity/Q1179038,,,http://www.wikidata.org/entity/Q6581072,,
