"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"ba675255-17db-4082-9562-e6f68629a070","Book3.xml","Κλεώνυμον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[1]/p[1]::246;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[1]/p[1]::255","PERSON","","","","","","","","Q930518","","",""
"65744e67-b518-45d1-91d0-8b2b0099f94d","Book3.xml","Ζάρακι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[1]/p[1]::283;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[1]/p[1]::289","PLACE","http://dare.ht.lu.se/places/31094","Zarax, Ierakas|Zarax","-0550/0300","36.787","23.088","settlement","VERIFIED","built","","",""
"f62c284a-7bcb-4fd4-b159-598f54645b69","Book3.xml","λιμένος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[1]/p[1]::321;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[1]/p[1]::328","PLACE","","","","","","","NOT_IDENTIFIABLE","limên","harbor of Zarax","",""
"9fe70e79-bab4-4098-a25e-bc02763257a3","Book3.xml","Ἀπόλλωνος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[1]/p[1]::339;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[1]/p[1]::348","PERSON","","","","","","","","god|Q37340","Apollo","",""
"d584d125-f50f-4a32-93d1-a60fdcb6e3db","Book3.xml","ναός","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[1]/p[1]::349;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[1]/p[1]::353","PLACE","","","","","","","NOT_IDENTIFIABLE","built|naos|Apollo|Paus","Temple of Apollo at Zarax, end of harbor","",""
"7556e6c7-b6b7-4913-878a-7de5b4b52c36","Book3.xml","ἄγαλμα κιθάραν ἔχον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[1]/p[1]::363;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[1]/p[1]::382","PLACE","http://arachne.dainst.org/entity/3586392","Cult image: Apollo  Zarax (Paus. 3.24.1)","","36.786089","23.087935","","VERIFIED","object|agalma|Apollo","","",""
"0eb7a5f5-9929-4c88-b08d-499584ebebe0","Book3.xml","Ζάρακος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::18;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::25","PLACE","http://dare.ht.lu.se/places/31094","Zarax, Ierakas|Zarax","-0550/0300","36.787","23.088","settlement","VERIFIED","built","","",""
"5cd38912-e15c-4c13-a947-1b5ea63d724c","Book3.xml","θάλασσαν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::35;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::43","PLACE","","","","","","","NOT_IDENTIFIABLE","thalassa","Sea north of Zarax, Lakonia","",""
"32e49427-23ed-4372-bf94-61fcfe3b2842","Book3.xml","ἑκατόν που στάδια","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::44;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::61","","","","","","","","","distance|100|stades","","",""
"e446e912-21a5-4626-8797-a9e799a3655d","Book3.xml","σταδίους ὡς δέκα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::115;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::131","","","","","","","","","distance|10|stades","","",""
"c2f40b5e-5c3d-4068-882c-5c8cae4ab46a","Book3.xml","Κυφάντων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::133;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::141","PLACE","http://topostext.org/place/370230PKyp","Kyphanta (Lakonia)","","36.9683","22.9925","","VERIFIED","built|ereipia|Paus","north 100 stadia from Zarax by the sea, and turn inland 10 stades.","",""
"8d7e1f88-f44a-4508-934c-ce2a58ddbead","Book3.xml","ἐρείπιά","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::153;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::160","","","","","","","","","ereipia","","",""
"fce561c1-02e6-43af-b513-e4f3ad58ecee","Book3.xml","σπήλαιον ἱερὸν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::181;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::195","PLACE","","","","","","","NOT_IDENTIFIABLE","spêlaion|Asklepios|Paus","Sacred cave of Asklepios at Kyphanta","",""
"17ee1361-b924-4733-9bec-cc7fca258bdb","Book3.xml","Ἀσκληπιοῦ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::196;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::205","PERSON","","","","","","","","god|Q83223","","",""
"5b6061d7-89f5-45c7-ba3a-b7c010bdec8d","Book3.xml","λίθου δὲ τὸ ἄγαλμα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::207;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::225","PLACE","http://arachne.dainst.org/entity/3586393","Cult image: Asklepios  Kyphanta (Paus. 3.24.2)","","36.974754","22.988269","","VERIFIED","object|agalma|Asklepios","stone statue","",""
"1fab0ad9-36cf-472c-af5c-1939cb98d3cb","Book3.xml","ὕδατος ψυχροῦ κρουνὸς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::239;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::260","PLACE","","","","","","","NOT_IDENTIFIABLE","krounos","Fountain of cold water from rock by cave at Kyphanta","",""
"6d90195d-f0f0-42b6-9bb1-d03f63e3d394","Book3.xml","Ἀταλάντην","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::281;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[2]/p[1]::290","PERSON","","","","","","","","Q190323","","",""
"65e7e4c0-5795-410c-af4c-248fcd045dd3","Book3.xml","Βρασιαὶ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::7","PLACE","http://dare.ht.lu.se/places/31055","Prasiai, Paralio Leonidi|Prasiai","-0750/0300","37.144402","22.890275","settlement","VERIFIED","built|polis|Paus","200 stadia sail from Kyphanta","",""
"28f56fd8-96da-428b-96a8-cf8bee216697","Book3.xml","Ἐλευθερολακώνων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::32;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::47","PERSON","","","","","","","","Q3556008","","",""
"2eeb1fc2-4025-46ff-90f0-edbc6cf9b228","Book3.xml","Κυφάντων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::67;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::75","PLACE","http://topostext.org/place/370230PKyp","Kyphanta (Lakonia)","","36.9683","22.9925","","VERIFIED","built","","",""
"2cc85813-b908-454c-8337-9e5c771c4845","Book3.xml","σταδίων διακοσίων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::94;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::111","","","","","","","","","distance|200|stades|plous","","",""
"90f8f7ad-9aff-432a-b3cd-7f5c48fad94c","Book3.xml","Ἑλλήνων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::170;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::177","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","regional|Hellenes|proxy","","",""
"0d1fec27-2b95-4e0d-af95-a0698a1ceed9","Book3.xml","Σεμέλη","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::182;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::188","PERSON","","","","","","","","Q776139","","",""
"04bb070f-c266-4751-8dcb-c37932a01bee","Book3.xml","Διὸς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::208;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::212","PERSON","","","","","","","","Q34201","Zeus","",""
"510b9736-ea50-427f-b37e-03c136a1c140","Book3.xml","Κάδμου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::225;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::231","PERSON","","","","","","","","Q27613","","",""
"60c40902-c9b9-4800-a039-e9304def835c","Book3.xml","Διόνυσος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::262;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::270","PERSON","","","","","","","","Q41680","","",""
"7394e804-3bd0-4579-8eef-62cc81ee7769","Book3.xml","Σεμέλην","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::351;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::358","PERSON","","","","","","","","Q776139","","",""
"ef206418-05b0-4f5d-a43d-607b227a1df2","Book3.xml","ἐπιφανῶς θάψαι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::397;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::411","PLACE","","","","","","","NOT_IDENTIFIABLE","taphos|Semele","Burial of Semele at Brasiai","",""
"921cc833-2518-4858-ae72-9edc8edd2a84","Book3.xml","Διόνυσον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::413;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[3]/p[1]::421","PERSON","","","","","","","","Q41680","","",""
"5bb87ffc-aa38-46e2-a6c1-c5bd093a928c","Book3.xml","Ὀρειάτας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[4]/p[1]::35;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[4]/p[1]::43","PLACE","http://pleiades.stoa.org/places/570629","Prasiai, Paralio Leonidi|Prasiai","-0750/0300","37.144402","22.890275","settlement","VERIFIED","polis","Oreiatai old name","",""
"20f9e6b4-7ee0-48f4-bc0e-37b1aa84b658","Book3.xml","Βρασιὰς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[4]/p[1]::83;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[4]/p[1]::90","PLACE","http://dare.ht.lu.se/places/31055","Prasiai, Paralio Leonidi|Prasiai","-0750/0300","37.144402","22.890275","settlement","VERIFIED","built","","",""
"892b6f9c-3d21-430b-bcab-352b07ecb47e","Book3.xml","ἐφʼ ἡμῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[4]/p[1]::148;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[24]/div[4]/p[1]::156","","","","","","","","","tx:Paus","in our time","",""
