Lon,Lat,Name,Region,Part_of,Type,Passages,Location,Pleiades,ToposText,Wikidata,Manto,Altname,URL,Arachne
22.096,37.533,"mountainous area between Thyraion and Hypsous","Arcadia Bk8","Arcadia Bk8",['chora'],['8.35.7'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.863791,37.613569,"Temple of Dionysos Auxites at Heraia","Arcadia Bk8","Heraia (Arcadia)",['naos'],['8.26.1'],"Heraia (Arcadia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.45,37.625,"Dance of Maira at Argon Pedion","Arcadia Bk8","Argon Pedion",['chorion'],['8.8.1'],"Argon Pedion",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.4203,37.4555,"Temple of Athena Alea at Tegea","Arcadia Bk8","Athena Alea sanctuary near Tegea",['naos'],['8.47.2'],"Athena Alea sanctuary near Tegea",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.429,37.464,"Phylaktris hill near Tegea","Arcadia Bk8","Tegea (Arkadia)",['lophos'],['8.48.4'],"Tegea (Arkadia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.123,37.428,"Aminios (river)","Arcadia Bk8","Arcadia Bk8",['potamos'],['8.29.5'],NULL,https://pleiades.stoa.org/places/570070,NULL,NULL,NULL,NULL,NULL,NULL
22.1273,37.4124,"Sacred precinct right of temple of Artemis Agrotera at Megalopolis","Arcadia Bk8","Hill east of stadium of Megalopolis with Agrotera temple",['temenos'],['8.32.4'],"Hill east of stadium of Megalopolis with Agrotera temple",NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.8,37.2,"Messenia Bk4",NULL,Peloponnesos,['chora'],"['2.18.7','2.18.8','3.1.4','3.13.1','3.14.4','3.2.6','3.26.6','3.26.7','3.3.2','3.7.5','4.1.2','4.12.1','4.12.7','4.14.3','4.14.4','4.14.7','4.15.8','4.16.9','4.17.1','4.18.2','4.19.4','4.19.5','4.2.5','4.20.2','4.21.1','4.23.1','4.24.4','4.28.2','4.29.11','4.3.10','4.3.2','4.3.3','4.3.4','4.3.5','4.30.1','4.31.1','4.34.9','4.36.7','4.4.2','4.4.3','4.5.8','4.5.9','4.6.4','4.7.1','4.7.4','5.6.3','8.1.1','8.1.2','8.27.15','8.35.2']",NULL,https://pleiades.stoa.org/places/570480,https://topostext.org/place/372218RMes,https://wikidata.org/wiki/Q1247159,NULL,NULL,NULL,NULL
22.3933,37.6181,"Sanctuary of Athena Alea at Mantineia","Arcadia Bk8","Mantineia (Arkadia)",['hieron'],['8.9.6'],"Mantineia (Arkadia)",NULL,NULL,https://wikidata.org/wiki/Q134037178,NULL,NULL,NULL,NULL
22.1121,37.9719,"Artemis Hemerasia temple (Lousoi)","Arcadia Bk8",Lousoi,['hieron'],['8.18.8'],NULL,NULL,https://topostext.org/place/380221SLou,https://wikidata.org/wiki/Q4500696,https://resource.manto.unh.edu/10210634,NULL,NULL,NULL
21.963136,37.43148,Melpeia,"Arcadia Bk8","Arcadia Bk8",['chorion'],['8.38.11'],NULL,https://pleiades.stoa.org/places/570476,NULL,https://wikidata.org/wiki/Q12880498,NULL,NULL,NULL,NULL
22.9,37.37,"Argolic Gulf (Argolid)","Argolid Bk2","Argolid Bk2",['kolpos'],"['2.25.9','8.1.1']",NULL,NULL,https://topostext.org/place/374229WArg,https://wikidata.org/wiki/Q648317,NULL,NULL,NULL,NULL
21.99466129,37.45059329,"Lykaion Hippodrome","Arcadia Bk8","Lykaion (mountain)",['hippodrome'],['8.38.5'],NULL,NULL,NULL,NULL,NULL,NULL,https://imperium.ahlfeldt.se/places/24530,NULL
21.892903,37.871725,"Tomb of Alkmaion at Psophis","Arcadia Bk8",Psophis,"['oikema','taphos']",['8.24.7'],Psophis,NULL,NULL,NULL,https://resource.manto.unh.edu/10214296,NULL,NULL,NULL
22.165174,37.480046,"Grove of trees around hieron of Poseidon at Trikolonoi","Arcadia Bk8",Trikolonoi,['alsos'],['8.35.6'],Trikolonoi,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20.638399,38.44193,"Mainland opposite Ithakê, where Odysseus raised cattle","Hellas (Europe)","Ithaca (island)",['epeiros'],['8.14.6'],"Ithaca (island)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.0453,37.5399,"Asclepius sanctuary and temple of Gortys in Arcadia","Arcadia Bk8",Gortys,"['Asclepieion','naos']","['5.7.1','8.28.1']",NULL,NULL,https://topostext.org/place/375220SAsk,NULL,NULL,NULL,NULL,NULL
22.42534,37.64991,Melangeia,"Arcadia Bk8","Arcadia Bk8","['chorion','hydor']","['8.6.4','8.6.5']",NULL,https://pleiades.stoa.org/places/570473,https://topostext.org/place/376224UMel,https://wikidata.org/wiki/Q6811232,NULL,NULL,NULL,NULL
-7.9149035,31.0597925,"Atlas Mons/Atlas Montes","Libya (Africa)","Libya (Africa)",['oros'],"['1.33.5','1.33.6','8.43.3']",NULL,https://pleiades.stoa.org/places/846,NULL,https://wikidata.org/wiki/Q130135,NULL,NULL,https://imperium.ahlfeldt.se/places/44459,NULL
25.382250000000003,36.39633,"Hiera/Automate (island)","Aegean Sea (Hellas)","Cyclades region (Aegean)",['nesos'],['8.33.4'],NULL,https://pleiades.stoa.org/places/599645,NULL,https://wikidata.org/wiki/Q1419053,NULL,NULL,NULL,NULL
22.429,37.464,"Many altars at Zeus Klarios high place in Tegea","Arcadia Bk8","Tegea (Arkadia)",['bomos'],['8.53.9'],"Tegea (Arkadia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.8204,37.4432,"Elaion mountain, Arcadia","Arcadia Bk8","Arcadia Bk8",['oros'],"['8.41.7','8.42.1','8.42.3']",NULL,https://pleiades.stoa.org/places/573197,NULL,https://wikidata.org/wiki/Q24896427,NULL,NULL,NULL,NULL
22.026,37.527,"Gortynios/Lousios river (Arkadia)","Arcadia Bk8","Arcadia Bk8",['potamos'],"['5.7.1','8.28.2','8.28.3','8.4.8']",NULL,https://pleiades.stoa.org/places/570266,https://topostext.org/place/375220WGor,https://wikidata.org/wiki/Q1872337,NULL,NULL,NULL,NULL
22.733,37.395,"Thyrea? (Arkadia)","Arcadia Bk8","Arcadia Bk8",['settlement'],['8.54.4'],NULL,NULL,https://topostext.org/place/374227PThy,https://wikidata.org/wiki/Q3036391,NULL,NULL,NULL,NULL
21.892903,37.871725,"Phegia, former name of Psophis","Arcadia Bk8",Psophis,['settlement'],['8.24.8'],Psophis,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.9725313,37.4563114,"Grove of Apollo Parrasios on Mt. Lykaion","Arcadia Bk8","Lykaion (mountain)",['alsos'],['8.38.2'],"Lykaion (mountain)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.1273,37.4124,"Sanctuary of Aphrodite at Megalopolis, in peribolos of Great Goddesses","Arcadia Bk8","Peribolos of Great Goddesses Demeter and Korê at Megalopolis",['hieron'],['8.31.5'],"Peribolos of Great Goddesses Demeter and Korê at Megalopolis",NULL,NULL,https://wikidata.org/wiki/Q134037013,NULL,NULL,NULL,NULL
35.01,13.01,"Aethiopia (Africa)","Libya (Africa)",NULL,"['major region']","['1.33.4','1.42.3','10.31.7','2.5.3','5.12.3','5.7.4','8.38.6','9.21.6']",NULL,https://pleiades.stoa.org/places/39274,NULL,https://wikidata.org/wiki/Q410453,NULL,NULL,NULL,NULL
22.305,37.533,Mainalos,"Arcadia Bk8","Arcadia Bk8",['polis'],"['5.27.1','6.6.1','6.6.3','6.8.5','8.27.3','8.3.4','8.36.5','8.36.8','8.9.3','8.9.4']",NULL,https://pleiades.stoa.org/places/570451,NULL,https://wikidata.org/wiki/Q11936450,NULL,NULL,NULL,NULL
22.03088,37.3896,"Temple of Despoina in her shrine at Lykosoura","Arcadia Bk8","Sanctuary of Despoina at Lykosoura",['naos'],['8.37.1'],NULL,NULL,https://topostext.org/place/374220SDeT,NULL,NULL,NULL,NULL,NULL
22.45931,37.85932,"temple in sanctuary of Artemis Stymphalia","Arcadia Bk8",Stymphalos,['naos'],['8.22.7'],Stymphalos,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.03143,37.38957,"Sanctuary of Athena at Lykosoura","Arcadia Bk8","Sanctuary of Pan above Despoina sanctuary, Lykosoura",['hieron'],['8.37.12'],"Sanctuary of Pan above Despoina sanctuary, Lykosoura",NULL,NULL,https://wikidata.org/wiki/Q134036921,NULL,NULL,NULL,NULL
22.7747,37.6919,"Argive Heraion (Argolid)","Argolid Bk2","Argolid Bk2",['hieron'],"['2.16.2','2.17.1','2.17.2','2.17.3','2.17.5','2.20.3','8.46.3','9.40.4']",NULL,https://pleiades.stoa.org/places/570289,https://topostext.org/place/377228SHer,https://wikidata.org/wiki/Q1607754,https://resource.manto.unh.edu/10159442,NULL,NULL,NULL
22.03143,37.38957,"stoa beside temple of Despoina at Lykosoura","Arcadia Bk8","Sanctuary of Despoina at Lykosoura",['stoa'],['8.37.2'],"Sanctuary of Despoina at Lykosoura",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.585884,37.519836,"Hysiae (Argolis)","Argolid Bk2","Argolid Bk2",['settlement'],"['2.24.7','8.27.1','8.54.7','8.6.4']",NULL,https://pleiades.stoa.org/places/570306,NULL,https://wikidata.org/wiki/Q16575296,NULL,Hysiai,NULL,NULL
22.7145,37.9834,"Sicyon (Sikyonia)","Sikyonia Bk2","Sikyonia Bk2",['polis'],"['1.25.4','1.27.5','10.11.6','10.8.5','2.1.1','2.10.1','2.10.6','2.11.2','2.11.3','2.11.5','2.12.2','2.12.3','2.13.1','2.15.1','2.25.5','2.25.6','2.3.10','2.3.6','2.4.4','2.5.2','2.5.5','2.5.6','2.5.8','2.6.2','2.6.5','2.6.6','2.6.7','2.7.1','2.7.2','2.7.3','2.7.6','2.7.7','2.7.9','2.8.1','2.9.2','2.9.4','4.10.6','4.11.8','4.14.1','4.15.7','5.18.7','5.21.3','6.3.3','7.1.1','7.23.8','7.26.12','7.26.13','7.26.2','7.26.6','7.27.12','7.6.1','8.1.2']",NULL,https://pleiades.stoa.org/places/570668,https://topostext.org/place/380227PSik,https://wikidata.org/wiki/Q368628,NULL,Sikyon,NULL,NULL
22.1273,37.4124,"Sanctuary of Zeus Soter at Megalopolis","Arcadia Bk8","Megalopolis (Arkadia)",['hieron'],['8.30.10'],"Megalopolis (Arkadia)",NULL,https://topostext.org/place/374221SZSo,https://wikidata.org/wiki/Q134040000,NULL,NULL,NULL,NULL
33.44156,36.65168,Bithynion/Claudiopolis/Hadriana,"Asia Minor (Asia)",Cilicia,['polis'],['8.9.7'],NULL,https://pleiades.stoa.org/places/844879,NULL,https://wikidata.org/wiki/Q65088749,NULL,NULL,NULL,NULL
22.03143,37.38957,"Olive and oak (prinos) grown from one root","Arcadia Bk8","Grove of Despoina at Lykosoura",['elaia'],['8.37.10'],"Grove of Despoina at Lykosoura",NULL,NULL,NULL,NULL,NULL,NULL,NULL
32.01361653,51.80271567,"Borysthenes (river)",Europe,"Scythia (Europe)",['potamos'],['8.28.2'],NULL,https://pleiades.stoa.org/places/226544,NULL,https://wikidata.org/wiki/Q40855,NULL,NULL,NULL,NULL
22.307,37.9117,"Tomb of Iphikles on hill at Pheneos","Arcadia Bk8",Pheneos,['mnema'],['8.14.9'],Pheneos,NULL,NULL,NULL,https://resource.manto.unh.edu/10160023,NULL,NULL,NULL
22.142,37.278,"Springs of the Karnion river in Aigytis","Arcadia Bk8","Karnion (river)",['pege'],['8.34.5'],Aigytis,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.891,37.8678,Aroanios,"Arcadia Bk8","Arcadia Bk8",['potamos'],['8.24.3'],NULL,https://pleiades.stoa.org/places/570113,NULL,https://wikidata.org/wiki/Q19822828,NULL,"Aroanius by Psophis",NULL,NULL
31.3343727,47.5349319,"Hypanis (river)",Europe,"Scythia (Europe)",['potamos'],"['4.35.11','8.28.2']",NULL,https://pleiades.stoa.org/places/226630,NULL,https://wikidata.org/wiki/Q188940,NULL,NULL,NULL,NULL
22.307,37.9117,"Tomb of Myrtilos at Pheneos","Arcadia Bk8",Pheneos,['mnema'],['8.14.10'],Pheneos,NULL,NULL,NULL,https://resource.manto.unh.edu/10160045,NULL,NULL,NULL
22.1273,37.4124,"Bathyllos spring, Megalopolis","Arcadia Bk8","Megalopolis (Arkadia)",['pege'],['8.31.9'],"Megalopolis (Arkadia)",https://pleiades.stoa.org/places/573140,NULL,NULL,NULL,NULL,NULL,NULL
12.4843457,41.89262,Rome,"Italia (Europe)","Roman empire",['polis'],"['10.34.4','10.36.6','10.8.6','2.1.2','2.21.6','4.35.10','5.25.8','6.9.3','7.10.11','7.10.12','7.12.2','7.12.7','7.12.8','7.12.9','7.13.5','7.14.1','7.14.3','7.14.5','7.22.5','7.22.9','7.8.6','7.9.1','7.9.4','7.9.6','8.17.4','9.27.3','9.27.4']",NULL,https://pleiades.stoa.org/places/423025,NULL,https://wikidata.org/wiki/Q18287233,NULL,Roma,NULL,NULL
22.429,37.464,"Common Hearth of the Arkadians at Tegea","Arcadia Bk8","Tegea (Arkadia)",['hestia'],['8.53.9'],"Tegea (Arkadia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
25.3,38.1,"Aegean Sea (Hellas)",NULL,"Internum Mare",['thalassa'],"['1.1.1','1.1.2','1.1.3','1.1.5','1.12.5','1.13.2','1.17.3','1.22.4','1.23.3','1.26.5','1.27.9','1.28.11','1.31.1','1.32.7','1.33.2','1.34.1','1.35.5','1.38.1','1.38.4','1.4.3','1.4.5','1.8.1','1.9.7','2.12.2','2.22.1','2.26.9','2.29.10','2.29.6','2.30.7','2.34.6','2.34.8','2.36.4','2.36.6','2.36.7','2.37.1','2.37.2','2.38.1','2.38.4','2.5.3','4.34.12','5.21.10','5.23.2','6.16.5','8.14.12','9.11.5','9.15.5']",NULL,https://pleiades.stoa.org/places/560221,https://topostext.org/place/381253WAeg,https://wikidata.org/wiki/Q34575,NULL,NULL,NULL,NULL
20.78784,39.54648,"Zeus sanctuary at Dodona","Hellas (Europe)","Epiros region",['hieron'],"['1.13.3','1.17.5','1.36.4','7.21.2','7.21.3','7.21.4','7.25.1','8.11.12','8.23.5','8.28.6','9.25.8','9.8.1']",NULL,https://pleiades.stoa.org/places/530843,NULL,https://wikidata.org/wiki/Q382317,NULL,NULL,NULL,NULL
21.863791,37.613569,"Tracks along the Alpheios river at Heraia","Arcadia Bk8","Heraia (Arcadia)","['dromos','hemera dendra']",['8.26.1'],"Heraia (Arcadia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.23977,37.73637,"Knakalos (mountain)","Arcadia Bk8",Kaphyai,['oros'],['8.23.4'],NULL,https://pleiades.stoa.org/places/570363,NULL,NULL,NULL,NULL,NULL,NULL
27.453939999999996,38.5668,Sipylos,"Asia Minor (Asia)","Lydia (province)",['oros'],"['1.21.3','1.24.8','2.22.3','3.22.4','5.13.7','6.22.1','7.24.13','7.27.12','8.17.3','8.2.7','8.38.10']",NULL,https://pleiades.stoa.org/places/550884,NULL,https://wikidata.org/wiki/Q532698,NULL,"Mount Sipylus /Manisa Dağı",NULL,NULL
22.1273,37.4124,"Tower of the city wall of Megalopolis","Arcadia Bk8","Megalopolis (Arkadia)",['pyrgos'],['8.27.13'],"Megalopolis (Arkadia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.1273,37.4124,"Altar of Ares and former hieron near sanctuary of Aphrodite in Megalopolis","Arcadia Bk8","Megalopolis (Arkadia)",['bomos'],['8.32.3'],"Megalopolis (Arkadia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.307,37.9117,"Pheneos acropolis","Arcadia Bk8",Pheneos,['acropolis'],['8.14.4'],Pheneos,NULL,NULL,https://wikidata.org/wiki/Q133963410,NULL,NULL,NULL,NULL
21.87884,37.710489,"Sanctuary of Asclepius the Child by Ladon river","Arcadia Bk8",Onkeion,"['Asclepieion','hieron']",['8.25.11'],Onkeion,NULL,NULL,https://wikidata.org/wiki/Q134036689,https://resource.manto.unh.edu/10767668,NULL,NULL,NULL
22.3,37.5,Malous,"Arcadia Bk8","Arcadia Bk8",['potamos'],['8.35.1'],"Arcadia Bk8",https://pleiades.stoa.org/places/573356,NULL,NULL,NULL,"Malus river",NULL,NULL
22.561,37.503,"border of Tegea and the Argives between Parthenion and Hysiai","Arcadia Bk8","Parthenion (mountain)",['horos'],['8.54.7'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.3969,37.9397,"Summit of Mt. Kyllene","Arcadia Bk8","Kyllene Mt.",['koryphe'],['8.17.1'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.1067,38.3388,"Achelous river (Aitolia)","Aitolia region","Aitolia region",['potamos'],"['1.34.3','4.34.1','5.1.8','8.24.11','8.24.9','8.38.10']",NULL,https://pleiades.stoa.org/places/530768,https://topostext.org/place/383211WAch,https://wikidata.org/wiki/Q203923,NULL,NULL,NULL,NULL
34.8077584,36.9507186,"Cydnus (river)","Asia Minor (Asia)",Cilicia,['potamos'],['8.28.3'],NULL,https://pleiades.stoa.org/places/648615,NULL,https://wikidata.org/wiki/Q1768771,NULL,NULL,NULL,NULL
22.45931,37.85932,"Sanctuary of Artemis Stymphalia, ancient, at Stymphalos","Arcadia Bk8",Stymphalos,['hieron'],['8.22.7'],Stymphalos,NULL,NULL,https://wikidata.org/wiki/Q134037251,NULL,NULL,NULL,NULL
22.42155,37.58607,"Mantineia battlefield 362 BCE","Arcadia Bk8","Mantineia (Arkadia)",['battlefield'],"['1.3.4','8.11.5','8.11.7']","Epaminondas tomb (Arkadia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
14.258433000000002,37.062775,Gela,"Sicilia (island)","Sicilia (island)",['polis'],"['8.46.2','9.40.4']",NULL,https://pleiades.stoa.org/places/462214,NULL,https://wikidata.org/wiki/Q58008539,NULL,NULL,NULL,NULL
22.283,37.405,"City walls of Asea, on acropolis hill, traces only","Arcadia Bk8","Acropolis of Asea with wall traces on hill",['teichos'],['8.44.3'],"Acropolis of Asea with wall traces on hill",NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.718611,37.978333,Kerameikos,"Athenai Bk1","Athenai Bk1",['demos'],"['1.14.6','1.2.4','1.20.6','1.3.1','8.9.8']",NULL,https://pleiades.stoa.org/places/97294452,NULL,https://wikidata.org/wiki/Q630974,NULL,NULL,NULL,NULL
22.03143,37.38957,"Common altar of all the gods at Despoina sanctuary, Lykosoura","Arcadia Bk8","Sanctuary of Despoina at Lykosoura",['bomos'],['8.37.10'],"Sanctuary of Despoina at Lykosoura",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.1316,37.8869,"Kleitor river junction with Aroanios","Arcadia Bk8","Arcadia Bk8",['potamos'],['8.21.1'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.3933,37.6181,"Sanctuary of Zeus Charmon, near Mantineia, 1 stade from tomb of Epameinondas","Arcadia Bk8","Mantineia (Arkadia)",['hieron'],['8.12.1'],"Mantineia (Arkadia)",NULL,NULL,https://wikidata.org/wiki/Q134037161,NULL,NULL,NULL,NULL
22.25133,37.42096,"Boreion (mountain)","Arcadia Bk8",Mainalia,['oros'],['8.44.4'],NULL,https://pleiades.stoa.org/places/570158,NULL,https://wikidata.org/wiki/Q112301773,NULL,NULL,NULL,NULL
22.21,37.98,"Styx river (Achaia)","Arcadia Bk8","Achaia Bk7",['hydor'],"['8.17.6','8.18.2','8.18.4','8.19.3']",NULL,NULL,https://topostext.org/place/380222WSty,https://wikidata.org/wiki/Q542758,NULL,NULL,NULL,NULL
27.298333,37.66,Priene,"Asia Minor (Asia)","Ionia (region)",['polis'],"['7.2.10','7.5.5','8.24.11']",NULL,https://pleiades.stoa.org/places/599905,NULL,https://wikidata.org/wiki/Q142819,NULL,NULL,NULL,NULL
22.456205,37.757857,"Sanctuary of Athena Alea at Alea","Arcadia Bk8",Alea,['hieron'],['8.23.1'],Alea,NULL,NULL,https://wikidata.org/wiki/Q134037242,NULL,NULL,NULL,NULL
24.94694372,35.06272017,"Gortyna/Gortyn (Crete)",Crete,Crete,['settlement'],"['2.15.1','8.53.4']",NULL,https://pleiades.stoa.org/places/589796,NULL,https://wikidata.org/wiki/Q1136193,NULL,NULL,NULL,NULL
22.0959,37.8914,"Sanctuary of Demeter at Kleitor","Arcadia Bk8",Kleitor,['hieron'],['8.21.3'],Kleitor,NULL,NULL,https://wikidata.org/wiki/Q134036980,NULL,NULL,NULL,NULL
21.8,37.2,"Megale Taphros","Messenia Bk4","Messenia Bk4",['battlefield'],"['4.22.6','4.6.2','8.5.13']","Messenia Bk4",NULL,NULL,NULL,NULL,"Great Trench, Great Foss",NULL,NULL
23.706200000000003,37.9373,Phaleron,"Attica Bk1","Attica Bk1",['demos'],"['1.1.2','1.1.4','1.1.5','1.28.9','1.36.4','10.35.2','8.10.4']",NULL,https://pleiades.stoa.org/places/580072,NULL,https://wikidata.org/wiki/Q534927,NULL,NULL,NULL,NULL
22.1273,37.4124,"Tomb of Aristodêmos, mound on Megalopolis-Mainalos road","Arcadia Bk8","road Megalopolis to Mainalos","['choma ges','mnema']",['8.36.5'],"Megalopolis (Arkadia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.3933,37.6181,"Spring of the Meliastai 7 stades from Mantineia","Arcadia Bk8","Mantineia (Arkadia)",['pege'],['8.6.5'],"Mantineia (Arkadia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.3,37.5,Dipoinai/Dipoina,"Arcadia Bk8",Tripolis,['settlement'],"['8.27.4','8.27.7']","Arcadia Bk8",https://pleiades.stoa.org/places/573187,NULL,https://wikidata.org/wiki/Q48781570,NULL,NULL,NULL,NULL
21.87884,37.710489,Onkeion,"Arcadia Bk8",Thelpousa,['settlement'],['8.25.4'],Thelpousa,https://pleiades.stoa.org/places/573410,NULL,https://wikidata.org/wiki/Q29652920,NULL,NULL,NULL,NULL
21.925,37.186,"Ithome Mt. (Messenia)","Messenia Bk4","Messenia Bk4","['oros','settlement']","['1.29.8','10.38.10','3.11.8','4.1.3','4.10.1','4.11.2','4.11.4','4.12.2','4.12.5','4.12.9','4.13.6','4.14.2','4.15.1','4.20.4','4.23.6','4.24.6','4.24.7','4.26.3','4.26.7','4.29.2','4.29.5','4.3.9','4.31.4','4.33.1','4.9.1','4.9.2','4.9.4','6.3.13','8.50.5']",NULL,https://pleiades.stoa.org/places/570318,https://topostext.org/place/372219LIth,https://wikidata.org/wiki/Q602538,NULL,NULL,NULL,NULL
22.7195,37.6316,"Argos (Argolid)","Argolid Bk2","Argolid Bk2",['polis'],"['1.13.7','1.13.8','1.14.2','1.25.4','1.27.10','1.33.1','1.41.1','1.43.7','1.43.8','10.10.5','10.35.1','10.8.5','2.13.1','2.15.1','2.15.2','2.15.4','2.16.1','2.16.2','2.16.3','2.18.1','2.18.5','2.18.7','2.18.8','2.19.3','2.20.4','2.20.5','2.20.8','2.21.7','2.22.4','2.22.6','2.22.8','2.23.1','2.23.5','2.24.5','2.25.1','2.25.2','2.25.5','2.25.7','2.25.8','2.28.4','2.30.10','2.34.4','2.34.5','2.35.2','2.36.6','2.38.1','2.4.2','2.6.6','2.8.6','3.1.4','3.1.5','3.9.1','4.1.1','4.1.2','4.10.6','4.12.3','4.14.1','4.14.8','4.15.7','4.17.5','4.3.3','4.35.2','4.8.8','6.13.7','6.2.2','6.9.3','7.1.5','7.1.6','7.1.7','7.14.1','7.17.1','7.20.8','7.23.10','7.4.4','7.6.3','8.24.8','8.27.1','8.5.7','8.54.5','9.25.1','9.36.6','9.36.7','9.5.12']",NULL,https://pleiades.stoa.org/places/570106,https://topostext.org/place/376227PArg,https://wikidata.org/wiki/Q13533353,NULL,NULL,NULL,NULL
21.87884,37.710489,"Temple of Apollo Onkaiatos beside the Ladon","Arcadia Bk8",Onkeion,['naos'],['8.25.11'],Onkeion,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.1273,37.4124,"Spring near the sanctuary of Asklepios Pais in Megalopolis","Arcadia Bk8","Megalopolis (Arkadia)",['pege'],['8.32.5'],"Megalopolis (Arkadia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
27.37404,36.686188,Knidos,"Asia Minor (Asia)","Cherronesos of Knidos",['polis'],"['1.1.3','1.2.2','10.11.1','10.11.3','5.24.7','6.3.16','8.30.2']",NULL,https://pleiades.stoa.org/places/599576,NULL,https://wikidata.org/wiki/Q690575,NULL,Cnidus,https://imperium.ahlfeldt.se/places/21190,NULL
24.116,37.678,"Helena (island)","Attica Bk1","Attica Bk1",['nesos'],"['1.35.1','8.14.12']",NULL,https://pleiades.stoa.org/places/579945,NULL,https://wikidata.org/wiki/Q618600,NULL,NULL,NULL,NULL
22.141115,37.468145,Zoitia,"Arcadia Bk8",Eutresia,['settlement'],"['8.27.3','8.35.6','8.35.7']",NULL,https://pleiades.stoa.org/places/570765,NULL,https://wikidata.org/wiki/Q8073335,NULL,NULL,NULL,NULL
