Lon,Lat,Name,Region,Part_of,Type,Passages,Location,Pleiades,ToposText,Wikidata,Manto,Altname,URL,Arachne
35.25,33.25,Phoenice,"Asia (continent)","Asia (continent)",['chora'],"['1.6.4','5.12.4','5.25.12','7.5.5','9.28.2']",NULL,https://pleiades.stoa.org/places/991410,NULL,https://wikidata.org/wiki/Q41642,NULL,Phoenicia,NULL,NULL
23.3178,38.3191,"Chamber of Alkmene at house of Amphitryon at Thebes","Boiotia Bk9","House of Amphitryon in Thebes, in ruins, left of the Electra gate",['thalamos'],['9.11.1'],"House of Amphitryon in Thebes, in ruins, left of the Electra gate",NULL,NULL,NULL,NULL,NULL,NULL,NULL
27.0670163,40.4259096,Parion,"Asia Minor (Asia)",Hellespontus,['polis'],['9.27.1'],NULL,https://pleiades.stoa.org/places/511354,NULL,https://wikidata.org/wiki/Q1411652,NULL,Parium,NULL,NULL
22.53438,40.02458,Leibethra,"Macedonia (Europe)",Pieria,['polis'],"['9.30.11','9.30.9']",NULL,https://pleiades.stoa.org/places/491650,NULL,https://wikidata.org/wiki/Q1753318,NULL,Libethra,NULL,NULL
23.154521,38.293384,"Sanctuary of Aphrodite Melainis in Thespiai","Boiotia Bk9",Thespiai,['hieron'],['9.27.5'],Thespiai,NULL,NULL,https://wikidata.org/wiki/Q134037686,NULL,NULL,NULL,NULL
23.101469,38.272393,Donakon,"Boiotia Bk9",Thespiai,['settlement'],['9.31.7'],NULL,https://pleiades.stoa.org/places/540738,NULL,https://wikidata.org/wiki/Q106559913,NULL,NULL,NULL,NULL
23.3178,38.3191,"Tomb of the children of Herakles in Thebes","Boiotia Bk9","Thebes (Boeotia)",['mnema'],['9.11.2'],"Thebes (Boeotia)",NULL,NULL,NULL,https://resource.manto.unh.edu/10152167,NULL,NULL,NULL
29.314279,36.26018,Patara,"Asia Minor (Asia)","Lycia region",['settlement'],['9.41.1'],NULL,https://pleiades.stoa.org/places/639042,NULL,https://wikidata.org/wiki/Q233121,NULL,Arsinoe,https://imperium.ahlfeldt.se/places/21460,NULL
23.448834,38.498583,"Glaukos' Leap, by the sea at Anthedon","Boiotia Bk9",Anthedon,"['mythic site']",['9.22.6'],Anthedon,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.31964,38.31696,"Sanctuary of Heracles at Thebes","Boiotia Bk9","Thebes (Boeotia)",['hieron'],"['9.11.4','9.11.6','9.11.7']",NULL,NULL,https://topostext.org/place/383233SHer,https://wikidata.org/wiki/Q106526554,https://resource.manto.unh.edu/10772006,"Herakleion of Thebes",NULL,NULL
23.088,38.3787,"Heroon of Kekrops son of Pandion at Haliartos","Boiotia Bk9","Haliartos (Boeotia)",['heroon'],['9.33.1'],"Haliartos (Boeotia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.3178,38.3191,"spring where Kadmos killed the dragon","Boiotia Bk9","Thebes (Boeotia)",['pege'],['9.10.1'],"Thebes (Boeotia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.2505528,38.1850025,"Wooden altar on summit of Kithairon for Daidala","Boiotia Bk9","Kithairon (mountain)",['bomos'],['9.3.7'],"Kithairon (mountain)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.3178,38.3191,"Tomb of Kaanthos - Taphos Kaanthos  Thebes","Boiotia Bk9","Thebes (Boeotia)",['mnema'],['9.10.5'],"Thebes (Boeotia)",NULL,NULL,NULL,https://resource.manto.unh.edu/10151114,NULL,NULL,NULL
22.1273,37.4124,"Megalopolis (Arkadia)","Arcadia Bk8","Arcadia Bk8",['polis'],"['2.7.4','4.29.7','4.33.3','5.7.1','6.12.8','7.12.3','7.16.4','7.16.6','7.6.8','7.7.4','7.9.4','8.12.2','8.26.5','8.26.8','8.27.1','8.27.11','8.27.13','8.27.14','8.27.15','8.27.5','8.27.8','8.28.7','8.30.1','8.30.2','8.30.3','8.30.7','8.33.1','8.34.1','8.35.1','8.35.3','8.35.5','8.38.3','8.44.1','8.44.4','8.49.2','8.49.4','8.49.7','8.50.4','8.51.8','8.52.4','9.14.4','9.7.1']",NULL,https://pleiades.stoa.org/places/570467,https://topostext.org/place/374221PMeg,https://wikidata.org/wiki/Q36024972,NULL,NULL,NULL,NULL
22.43409,37.65988,"Alesion (mountain)","Arcadia Bk8","Arcadia Bk8",['oros'],"['8.10.1','8.10.2','9.14.3']",NULL,https://pleiades.stoa.org/places/570064,https://topostext.org/place/378223LAle,https://wikidata.org/wiki/Q25094274,NULL,NULL,NULL,NULL
22.66931,38.58344,Tithorea/Neon,"Phokis Bk10","Phokis Bk10",['settlement'],"['10.1.1','10.2.4','10.3.2','10.32.10','10.32.11','10.32.12','10.32.14','10.32.17','10.32.19','10.32.8','10.32.9','10.33.1','2.29.3','2.4.3','9.17.4']",NULL,https://pleiades.stoa.org/places/541152,NULL,https://wikidata.org/wiki/Q56697763,NULL,NULL,NULL,NULL
23.3178,38.3191,"Place where Kadmos sowed the dragon's teeth, outside gates of Thebes","Boiotia Bk9","Thebes (Boeotia)",['chorion'],['9.10.1'],"Thebes (Boeotia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
20.53396,39.23622,Nekromanteion,"Hellas (Europe)",Thesprotia,['manteion'],['9.30.6'],NULL,https://pleiades.stoa.org/places/531011,NULL,https://wikidata.org/wiki/Q12881666,NULL,NULL,NULL,NULL
23.044957,38.585688,Kyrtones,"Boiotia Bk9","Boiotia Bk9",['polisma'],"['9.24.4','9.24.5']",NULL,https://pleiades.stoa.org/places/540898,NULL,https://wikidata.org/wiki/Q13580763,NULL,NULL,NULL,NULL
23.00169,38.385259,"Small mountain rising over Alalkomenai","Boiotia Bk9",Alalkomenai,['oros'],['9.33.5'],Alalkomenai,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.5841,38.3074,"sanctuary of Hermes Kriophoros in Tanagra","Boiotia Bk9","sacred district of Tanagra",['hieron'],['9.22.1'],"sacred district of Tanagra",NULL,NULL,https://wikidata.org/wiki/Q134038228,NULL,NULL,NULL,NULL
28.249999999999996,38.75,Mysia,"Asia (continent)","Asia Minor (Asia)",['chora'],"['1.36.6','10.28.8','9.18.4','9.5.14']",NULL,https://pleiades.stoa.org/places/550759,NULL,https://wikidata.org/wiki/Q622319,NULL,"Mysia hyper Kaikos",NULL,NULL
23.174,38.657,"sea at Halai","Boiotia Bk9","Boiotia Bk9",['thalassa'],['9.24.5'],NULL,NULL,NULL,NULL,NULL,"north Euboean gulf",NULL,NULL
23.393,38.3633,"Teumessos (Boeotia)","Boiotia Bk9","Boiotia Bk9",['settlement'],"['9.19.1','9.19.2','9.19.3']",NULL,https://pleiades.stoa.org/places/541133,https://topostext.org/place/384234UTeu,https://wikidata.org/wiki/Q15627845,NULL,NULL,NULL,NULL
23.1884,38.0834,"Pagai (Megarid)","Megarid Bk1","Megarid Bk1",['demos'],"['1.41.8','1.44.4','9.19.2']",NULL,https://pleiades.stoa.org/places/570543,NULL,https://wikidata.org/wiki/Q935675,NULL,Pegai,NULL,NULL
23.5841,38.3074,"sea coast of Tanagraia","Boiotia Bk9",Tanagraia,['paralia'],"['9.20.1','9.20.4']","Tanagra (Boeotia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
