Lon,Lat,Name,Region,Part_of,Type,Passages,Location,Pleiades,ToposText,Wikidata,Manto,Altname,URL,Arachne
22.42338,37.08265,"Athena Chalkioikos sanctuary on acropolis of Sparta","Lakonia Bk3","Acropolis of Sparta",['hieron'],"['10.5.11','3.17.2','3.17.7','4.15.5']",NULL,NULL,https://topostext.org/place/371224SACh,https://wikidata.org/wiki/Q57302774,https://resource.manto.unh.edu/10150378,NULL,NULL,NULL
22.4237,37.0821,"Sanctuary of Diktynna in Sparta","Lakonia Bk3",Sparta,['hieron'],['3.12.8'],Sparta,NULL,NULL,https://wikidata.org/wiki/Q124616433,NULL,NULL,NULL,NULL
22.4237,37.0821,"Heroon of Oiolykos son of Thera by Poikile clubhouse at Sparta","Lakonia Bk3",Sparta,['heroon'],['3.15.8'],Sparta,NULL,NULL,https://wikidata.org/wiki/Q124616574,NULL,NULL,NULL,NULL
23.136,36.43,"Cave near sea at Nymphaion in Lakonia","Lakonia Bk3","Nymphaion (Lakonia)",['spelaion'],['3.23.2'],"Nymphaion (Lakonia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.17928,36.92565,"Sanctuary of Klaia at Mt. Kalathion","Lakonia Bk3","Kalathion (mountain)",['hieron'],['3.26.11'],"Kalathion (mountain)",NULL,NULL,https://wikidata.org/wiki/Q124616485,NULL,NULL,NULL,NULL
23.026,36.731,"Epidaurus Limera (Laconia)","Lakonia Bk3","Lakonia Bk3",['polis'],"['3.21.7','3.23.10','3.23.6','3.24.1']",NULL,https://pleiades.stoa.org/places/570229,https://topostext.org/place/367230UEpi,https://wikidata.org/wiki/Q12877135,NULL,"Epidauros Limera",NULL,NULL
21.8,37.2,"Messenia Bk4",NULL,Peloponnesos,['chora'],"['2.18.7','2.18.8','3.1.4','3.13.1','3.14.4','3.2.6','3.26.6','3.26.7','3.3.2','3.7.5','4.1.2','4.12.1','4.12.7','4.14.3','4.14.4','4.14.7','4.15.8','4.16.9','4.17.1','4.18.2','4.19.4','4.19.5','4.2.5','4.20.2','4.21.1','4.23.1','4.24.4','4.28.2','4.29.11','4.3.10','4.3.2','4.3.3','4.3.4','4.3.5','4.30.1','4.31.1','4.34.9','4.36.7','4.4.2','4.4.3','4.5.8','4.5.9','4.6.4','4.7.1','4.7.4','5.6.3','8.1.1','8.1.2','8.27.15','8.35.2']",NULL,https://pleiades.stoa.org/places/570480,https://topostext.org/place/372218RMes,https://wikidata.org/wiki/Q1247159,NULL,NULL,NULL,NULL
22.4237,37.0821,"Phrouria guardhouses? at Sparta","Lakonia Bk3",Sparta,['oikema'],['3.12.8'],Sparta,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.438,36.726,"Hypsoi unlocated site on Spartan SW border","Lakonia Bk3","Lakonia Bk3",['chorion'],['3.24.8'],NULL,https://pleiades.stoa.org/places/573258,NULL,https://wikidata.org/wiki/Q60790115,NULL,NULL,NULL,NULL
22.4237,37.0821,"Sanctuary of the Great Mother at Sparta","Lakonia Bk3",Sparta,['hieron'],['3.12.9'],Sparta,NULL,NULL,https://wikidata.org/wiki/Q124616437,NULL,NULL,NULL,NULL
26.858519999999995,39.69936,"Ida (mountain)","Asia Minor (Asia)",Troas,['oros'],"['10.12.3','10.12.4','3.13.5','6.4.9','7.3.8']",NULL,https://pleiades.stoa.org/places/550592,NULL,https://wikidata.org/wiki/Q1127771,NULL,NULL,NULL,NULL
22.5047,36.7279,"Las polis","Lakonia Bk3","Lakonia Bk3",['polis'],"['3.21.7','3.24.6','3.24.7','3.24.9']",NULL,https://pleiades.stoa.org/places/570417,NULL,https://wikidata.org/wiki/Q7142558,NULL,"La in Lakonia",NULL,NULL
22.819373,37.042584,"Springs at Marios, by grove, at Artemis sanctuary","Lakonia Bk3",Marios,['pege'],['3.22.8'],Marios,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.3503405,36.9528148,Dereion,"Lakonia Bk3","Taygetos (mountain)",['settlement'],['3.20.7'],"Taygetos (mountain)",https://pleiades.stoa.org/places/573183,NULL,https://wikidata.org/wiki/Q60792061,NULL,NULL,NULL,NULL
23.088,36.787,"Temple of Apollo at Zarax","Lakonia Bk3",Zarax,['naos'],['3.24.1'],Zarax,NULL,NULL,https://wikidata.org/wiki/Q124616399,NULL,NULL,NULL,NULL
22.8802,37.9054,"Temple of Zeus Olympios at Corinth","Corinthia Bk2","Corinth (Corinthia)",['naos'],['3.9.2'],"Corinth (Corinthia)",NULL,NULL,https://wikidata.org/wiki/Q124616407,NULL,NULL,NULL,NULL
22.17928,36.92565,"Cave next to Klaia sanctuary on Kalathion mountain","Lakonia Bk3","Kalathion (mountain)",['spelaion'],['3.26.11'],"Kalathion (mountain)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.4237,37.0821,"Heroon of Amphilochus at Sparta","Lakonia Bk3",Sparta,['heroon'],['3.15.8'],Sparta,NULL,NULL,https://wikidata.org/wiki/Q124616571,NULL,NULL,NULL,NULL
22.4237,37.0821,"Temple of Aphrodite Areia behind Chalkioikos in Sparta","Lakonia Bk3","Acropolis of Sparta",['naos'],['3.17.5'],"Acropolis of Sparta",NULL,NULL,https://wikidata.org/wiki/Q124616507,NULL,NULL,NULL,NULL
22.706912,36.992193,"Agora of Geronthrai","Lakonia Bk3",Geronthrai,['agora'],['3.22.7'],Geronthrai,NULL,NULL,https://wikidata.org/wiki/Q124606123,NULL,NULL,NULL,NULL
22.4237,37.0821,"Trophy raised by Polydeukes not far from Asklepios sanctuary","Lakonia Bk3",Sparta,['tropaion'],['3.14.7'],Sparta,NULL,NULL,https://wikidata.org/wiki/Q124616491,NULL,NULL,NULL,NULL
27.453939999999996,38.5668,Sipylos,"Asia Minor (Asia)","Lydia (province)",['oros'],"['1.21.3','1.24.8','2.22.3','3.22.4','5.13.7','6.22.1','7.24.13','7.27.12','8.17.3','8.2.7','8.38.10']",NULL,https://pleiades.stoa.org/places/550884,NULL,https://wikidata.org/wiki/Q532698,NULL,"Mount Sipylus /Manisa Dağı",NULL,NULL
22.706912,36.992193,"Grove of Ares at Geronthrai","Lakonia Bk3",Geronthrai,['alsos'],"['3.22.6','3.22.7']",Geronthrai,NULL,NULL,https://wikidata.org/wiki/Q124616360,NULL,NULL,NULL,NULL
