BookID,Place,Links,Lat,Lon,Type,Label,Tags,Comments
6.1.3,"ἀνδρὸς εἰκὼν παλαιστοῦ",http://arachne.dainst.org/entity/3586509,37.638043,21.630599,NULL,"Portrait statue: Symmachos (athlete)  Olympia (Paus. 6.1.3)",eikôn,NULL
6.1.3,Ἀργείου,http://pleiades.stoa.org/places/570106,37.631561,22.719464,settlement,"Argos, Argos|Argos",male|Argive|proxy,NULL
6.1.3,Ἀρκάδων,http://pleiades.stoa.org/places/570102,37.567419268449626,22.165323097346306,region,Arcadia,historical|Arcadians|proxy,NULL
6.1.3,"ἐφεξῆς δὲ",http://arachne.dainst.org/entity/3586511,37.638043,21.630599,NULL,"Portrait statue: Archedamos (athlete)  Olympia (Paus. 6.1.3)",eikôn,NULL
6.1.3,Ἠλεῖος,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement","Elis, Elis|Elis",male|Elean|proxy,NULL
6.1.3,Ἠλεῖος,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement","Elis, Elis|Elis",male|Elean|proxy,NULL
6.1.3,"ναοῦ τῆς Ἥρας",http://topostext.org/place/376216SOHe,37.63886,21.62998,NULL,"Hera T. (Olympia)",built|naos|Hera|Paus,NULL
6.1.3,"παρὰ δὲ αὐτὸν",http://arachne.dainst.org/entity/3586510,37.638043,21.630599,NULL,"Portrait statue: Neolaidas (athlete)  Olympia (Paus. 6.1.3)",eikôn,NULL
6.1.3,Σικυώνιος,http://pleiades.stoa.org/places/570668,37.98336,22.71135,settlement,"Sicyon, Vasiliko|Sicyon/Demetrias",male|Sicyonian|proxy,NULL
6.1.3,Φενεοῦ,http://pleiades.stoa.org/places/570595,37.91045,22.30692,settlement,"Pheneos, Archaia Feneos (Kalyvia)|Pheneos",built,NULL
6.1.4,Ἤλιδος,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement","Elis, Elis|Elis",proxy,NULL
6.1.4,Κλεογένους,http://arachne.dainst.org/entity/3586512,37.638043,21.630599,NULL,"Portrait statue: Kleogenes (athlete)  Olympia (Paus. 6.1.4)",object|Paus,NULL
