Identifier,Sort_order,"Location","'Date'","Geometry",Type
1.5.2,24,"Monument of the Eponymous Heroes in Agora of Athens",24-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.5.2,24,"Monument of the Eponymous Heroes in Agora of Athens",24-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
1.5.3,25,"Monument of the Eponymous Heroes in Agora of Athens",25-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.5.3,25,"Monument of the Eponymous Heroes in Agora of Athens",25-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
1.5.4,26,"Monument of the Eponymous Heroes in Agora of Athens",26-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.5.4,26,"Monument of the Eponymous Heroes in Agora of Athens",26-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
1.5.5,27,"Monument of the Eponymous Heroes in Agora of Athens",27-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.5.5,27,"Monument of the Eponymous Heroes in Agora of Athens",27-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
1.6.1,28,"Monument of the Eponymous Heroes in Agora of Athens",28-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.6.1,28,"Monument of the Eponymous Heroes in Agora of Athens",28-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
1.6.2,29,"Monument of the Eponymous Heroes in Agora of Athens",29-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.6.2,29,"Monument of the Eponymous Heroes in Agora of Athens",29-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
1.6.3,30,"Monument of the Eponymous Heroes in Agora of Athens",30-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.6.3,30,"Monument of the Eponymous Heroes in Agora of Athens",30-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
1.6.4,31,"Monument of the Eponymous Heroes in Agora of Athens",31-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.6.4,31,"Monument of the Eponymous Heroes in Agora of Athens",31-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
1.6.5,32,"Monument of the Eponymous Heroes in Agora of Athens",01-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.6.5,32,"Monument of the Eponymous Heroes in Agora of Athens",01-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
1.6.6,33,"Monument of the Eponymous Heroes in Agora of Athens",02-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.6.6,33,"Monument of the Eponymous Heroes in Agora of Athens",02-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
1.6.7,34,"Monument of the Eponymous Heroes in Agora of Athens",03-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.6.7,34,"Monument of the Eponymous Heroes in Agora of Athens",03-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
1.6.8,35,"Monument of the Eponymous Heroes in Agora of Athens",04-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.6.8,35,"Monument of the Eponymous Heroes in Agora of Athens",04-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
1.7.1,36,"Monument of the Eponymous Heroes in Agora of Athens",05-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.7.1,36,"Monument of the Eponymous Heroes in Agora of Athens",05-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
1.7.2,37,"Monument of the Eponymous Heroes in Agora of Athens",06-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.7.2,37,"Monument of the Eponymous Heroes in Agora of Athens",06-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
