Identifier,Sort_order,Location,'Date',Geometry,Type
"1.10.4",56,"Odeion of Agrippa (Athens Agora)","25-08-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.10.5",57,"Odeion of Agrippa (Athens Agora)","26-08-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.11.1",58,"Odeion of Agrippa (Athens Agora)","27-08-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.11.2",59,"Odeion of Agrippa (Athens Agora)","28-08-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.11.3",60,"Odeion of Agrippa (Athens Agora)","29-08-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.11.4",61,"Odeion of Agrippa (Athens Agora)","30-08-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.11.5",62,"Odeion of Agrippa (Athens Agora)","31-08-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.11.6",63,"Odeion of Agrippa (Athens Agora)","01-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.11.7",64,"Odeion of Agrippa (Athens Agora)","02-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.12.1",65,"Odeion of Agrippa (Athens Agora)","03-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.12.2",66,"Odeion of Agrippa (Athens Agora)","04-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.12.3",67,"Odeion of Agrippa (Athens Agora)","05-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.12.4",68,"Odeion of Agrippa (Athens Agora)","06-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.12.5",69,"Odeion of Agrippa (Athens Agora)","07-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.13.1",70,"Odeion of Agrippa (Athens Agora)","08-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.13.2",71,"Odeion of Agrippa (Athens Agora)","09-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.13.3",72,"Odeion of Agrippa (Athens Agora)","10-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.13.4",73,"Odeion of Agrippa (Athens Agora)","11-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.13.5",74,"Odeion of Agrippa (Athens Agora)","12-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.13.6",75,"Odeion of Agrippa (Athens Agora)","13-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.13.7",76,"Odeion of Agrippa (Athens Agora)","14-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.13.8",77,"Odeion of Agrippa (Athens Agora)","15-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.13.9",78,"Odeion of Agrippa (Athens Agora)","16-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.14.1",79,"Odeion of Agrippa (Athens Agora)","17-09-165","{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
"1.15.1",86,"Stoa Poikile (Athens)","24-09-165","{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}","mythic/historic site"
"1.15.2",87,"Stoa Poikile (Athens)","25-09-165","{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}","mythic/historic site"
"1.15.3",88,"Stoa Poikile (Athens)","26-09-165","{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}","mythic/historic site"
"1.15.4",89,"Stoa Poikile (Athens)","27-09-165","{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}","mythic/historic site"
"1.16.1",90,"Stoa Poikile (Athens)","28-09-165","{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}","mythic/historic site"
"1.16.2",91,"Stoa Poikile (Athens)","29-09-165","{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}","mythic/historic site"
"1.16.3",92,"Stoa Poikile (Athens)","30-09-165","{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}","mythic/historic site"
"1.20.5",118,"Odeion of Pericles (Athens)","26-10-165","{""type"": ""Point"", ""coordinates"": [23.728199999999998, 37.9706]}","mythic/historic site"
"1.20.6",119,"Odeion of Pericles (Athens)","27-10-165","{""type"": ""Point"", ""coordinates"": [23.728199999999998, 37.9706]}","mythic/historic site"
"1.20.7",120,"Odeion of Pericles (Athens)","28-10-165","{""type"": ""Point"", ""coordinates"": [23.728199999999998, 37.9706]}","mythic/historic site"
"1.25.3",156,"south wall of the Acropolis of Athens","03-12-165","{""type"": ""Point"", ""coordinates"": [23.7257, 37.9717]}","mythic/historic site"
"1.25.4",157,"south wall of the Acropolis of Athens","04-12-165","{""type"": ""Point"", ""coordinates"": [23.7257, 37.9717]}","mythic/historic site"
"1.25.5",158,"south wall of the Acropolis of Athens","05-12-165","{""type"": ""Point"", ""coordinates"": [23.7257, 37.9717]}","mythic/historic site"
"1.25.6",159,"south wall of the Acropolis of Athens","06-12-165","{""type"": ""Point"", ""coordinates"": [23.7257, 37.9717]}","mythic/historic site"
"1.25.7",160,"south wall of the Acropolis of Athens","07-12-165","{""type"": ""Point"", ""coordinates"": [23.7257, 37.9717]}","mythic/historic site"
"1.25.8",161,"south wall of the Acropolis of Athens","08-12-165","{""type"": ""Point"", ""coordinates"": [23.7257, 37.9717]}","mythic/historic site"
"1.26.1",162,"south wall of the Acropolis of Athens","09-12-165","{""type"": ""Point"", ""coordinates"": [23.7257, 37.9717]}","mythic/historic site"
"1.26.2",163,"south wall of the Acropolis of Athens","10-12-165","{""type"": ""Point"", ""coordinates"": [23.7257, 37.9717]}","mythic/historic site"
"1.26.3",164,"south wall of the Acropolis of Athens","11-12-165","{""type"": ""Point"", ""coordinates"": [23.7257, 37.9717]}","mythic/historic site"
"1.39.1",266,"road Eleusis to Megara","23-03-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[23.53982705243638, 38.047595247092005], [23.52526060641722, 38.049552847090865], [23.502396400579926, 38.03938801438548], [23.482876666075782, 38.02891528295672], [23.452584716116036, 38.02662540178687], [23.44420823243317, 38.020403763572375], [23.42626802843236, 38.00565116518223], [23.41044319860626, 37.99745156879213], [23.39922488213665, 37.99745533539301], [23.39049982150729, 37.99975221422801], [23.34398417373305, 37.99779776468709]]}]}","mythic/historic site"
"1.39.2",267,"road Eleusis to Megara","24-03-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[23.53982705243638, 38.047595247092005], [23.52526060641722, 38.049552847090865], [23.502396400579926, 38.03938801438548], [23.482876666075782, 38.02891528295672], [23.452584716116036, 38.02662540178687], [23.44420823243317, 38.020403763572375], [23.42626802843236, 38.00565116518223], [23.41044319860626, 37.99745156879213], [23.39922488213665, 37.99745533539301], [23.39049982150729, 37.99975221422801], [23.34398417373305, 37.99779776468709]]}]}","mythic/historic site"
