PlaceID,Lat,Lon,Name,Region,Part of,Location,Type,Passages,Wikidata,Manto,ToposText,URL,Pleiades,Notes,Arachne
"2530","38.1434","22.3566","Sanctuary of Artemis Agrotera near Aigeira","Achaia Bk7","Aigeira (Achaia)","","[""hieron""]","[""7.26.3""]","https://wikidata.org/wiki/Q134037150","","","","","",""
"2531","38.3642","22.876","Leibethrion Mountain (Boeotia","Boiotia Bk9","Boiotia Bk9","","[""mountain oros""]","[""9.34.4""]","https://wikidata.org/wiki/Q106298445","","https://topostext.org/place/383229LLei","","","Libethrion",""
"2532","37.6305","22.7214","Sanctuary of Demeter Pelasgis at Argos in agora","Argolid Bk2","Agora of Argos","Agora of Argos","[""hieron""]","[""2.22.1""]","https://wikidata.org/wiki/Q134037485","https://resource.manto.unh.edu/10186963","","","","",""
"2533","38.38122","26.48103","temple of Athena Polias in Erythrae","Asia Minor (Asia)","Erythrai","Erythrai","[""temple""]","[""7.5.9""]","","","","","","",""
"2534","37.941944","27.339721999999995","Sanctuary beside the Olympieion at Ephesos","Asia Minor (Asia)","Ephesos","Ephesos","[""hieron""]","[""7.2.9""]","","","","","","",""
"2535","37.984","22.714","Agora of Sicyon","Sikyonia Bk2","Sicyon (Sikyonia)","","[""agora""]","[""2.7.6""]","https://wikidata.org/wiki/Q133963422","","","","","",""
"2536","38.596346","22.905228","Bouleuterion of Hyampolis, a not-large building","Phokis Bk10","Hyampolis","Hyampolis","[""bouleuterion""]","[""10.35.6""]","","","","","","",""
"2537","38.243265","21.738518","Sanctuary of Calydonian Dionysos at Patrae","Achaia Bk7","Patrae","Patrae","[""hieron""]","[""7.21.1""]","https://wikidata.org/wiki/Q134036802","","","","","",""
"2538","37.4124","22.1273","Gymnasium west of agora, Megalopolis","Arcadia Bk8","Megalopolis (Arkadia)","Megalopolis (Arkadia)","[""gymnasium""]","[""8.31.8""]","","","","","","",""
"2539","37.0841","22.4191","Platanista grove (Lakonia)","Lakonia Bk3","Lakonia Bk3","","[""grove""]","[""3.11.2"",""3.14.10"",""3.14.8"",""3.15.1"",""3.20.8""]","https://wikidata.org/wiki/Q3391805","","https://topostext.org/place/371224SPla","","","",""
"2540","39.03644","16.1315","Temesa/Tempsa","Italia (Europe)","Italia (Europe)","","[""settlement""]","[""6.6.10"",""6.6.11"",""6.6.7"",""6.6.8"",""6.6.9""]","https://wikidata.org/wiki/Q3983093","","","","https://pleiades.stoa.org/places/452469","",""
"2541","36.992193","22.706912","Geronthrai","Lakonia Bk3","Lakonia Bk3","","[""polis""]","[""3.2.6"",""3.21.7"",""3.22.6"",""3.22.8""]","https://wikidata.org/wiki/Q15890352","","","","https://pleiades.stoa.org/places/570263","",""
