Serial,NAME,Work_CITED,WorkWD,Author,WORK_TYPE,TEXT_EN,Passages,LOGOS_USE,Greek_URL,NARRATIVE_LOC,GEOMETRY
425,"Pindar, Olympian 6.40-6.50 on Iamus son of Apollo",Olympian odes of Pindar,Q18146776,Pindar,epinikion ode,"The golden-haired god sent gentle-minded Eleithuia and the Fates to help her.<br>3 From her womb and her sweet birth-pangs Iamus came right away into the light. In her distress,<br>she left him on the ground. But by the will of the gods, two gray-eyed serpents nurtured him with the harmless venom of bees, caring for him. And when the king had driven back from rocky Pytho, he questioned everyone in the household about the child whom Evadne had borne. For he said that he was begotten by Phoebus,
and that he would be, for men on earth, a prophet above all mortals, and that his race would never fail.",6.2.5,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0033.tlg001.perseus-grc2:6.22-6.71,Olympia,"{""type"": ""Point"", ""coordinates"": [21.630126, 37.637849]}"
426,"Pindar ode fr.  290, Schnell-Maehler) on Thebe and Zeus",Odes of Pindar,,Pindar,epinikion ode,,5.22.6,R-paraphrase,,Altis sacred grove (Olympia),"{""type"": ""Point"", ""coordinates"": [21.62975, 37.63754]}"
427,Pindar ode fr. 156 (Schnell-Maehler) on Silenus at Malea,Odes of Pindar,,Pindar,epinikion ode,,3.25.2,R-quotation,,Pyrrichos,"{""type"": ""Point"", ""coordinates"": [22.432959, 36.659054]}"
428,Pindar ode fr. 174 Snell-Maehler on foundation of Ephesian Artemis cult by Amazons,Odes of Pindar,,Pindar,epinikion ode,,7.2.7,R-paraphrase,,Eleia - Achaia border at Larisos river,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[21.417484105225526, 38.10291174798513], [21.42525995805383, 38.09244438760399], [21.429829800275428, 38.095387083549724], [21.42206202659756, 38.10509343476093], [21.417484105225526, 38.10291174798513]]]}]}"
429,Pindar ode on Antiope the Amazon carried off by Theseus and Peirithous,Odes of Pindar,,Pindar,epinikion ode,lost,1.2.1,R-paraphrase,,road Phaleron to Athens,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[23.68658880803406, 37.94037408093416], [23.72920614293062, 37.969424204333635]]}]}"
430,Pindar ode on bronze temple at Delphi,Odes of Pindar,,Pindar,epinikion ode,lost,10.5.12,R-paraphrase,,Entry to Delphi from Chaironea road,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.50908625671846, 38.4807561049775], [22.508670068724086, 38.47934011797474], [22.509390394099455, 38.47916468402025], [22.509790574863842, 38.48064332827158], [22.50908625671846, 38.4807561049775]]]}]}"
431,Pindar ode on Glaucus from Anthedon,Odes of Pindar,,Pindar,epinikion ode,lost,9.22.7,R-reference,,Anthedon,"{""type"": ""Point"", ""coordinates"": [23.448834, 38.498583]}"
432,"Pindar ode on Sacadas of Argos, implying small size",Odes of Pindar,,Pindar,epinikion ode,lost,9.30.2,R-paraphrase,,Grove of the Muses on Mt. Helikon,"{""type"": ""Point"", ""coordinates"": [23.0587, 38.3208]}"
433,Pindar ode on Theseus carrying off Helen,Odes of Pindar,,Pindar,epinikion ode,lost,1.41.5,R-paraphrase,,temple of Apollo Agraios and Artemis Agrotera in Megara,"{""type"": ""Point"", ""coordinates"": [23.34285, 37.997]}"
434,Pindar hymn to Aphaea on Aigina,Pindar's Hymn to Aphaea,,Pindar,hymn,lost,2.30.3,R-reference,,Temple of Aphaia on Aigina,"{""type"": ""Point"", ""coordinates"": [23.5331, 37.7543]}"
435,Pindar ode: Pindar's songs to Apollo,Odes of Pindar,,Pindar,epinikion ode,lost,10.24.5,R-reference,,Temple of Apollo at Delphi,"{""type"": ""Point"", ""coordinates"": [22.5012215, 38.4823167]}"
436,Pindar ode: Posthumous hymn of Pindar to Persephone,Odes of Pindar,,Pindar,epinikion ode,lost,9.23.3,R-paraphrase,,Tomb of Pindar at the hippodrome of Thebes,"{""type"": ""Point"", ""coordinates"": [23.3178, 38.3191]}"
437,Pindar Pythian 4.74 supporting Delphic omphalos as center of the earth,Odes of Pindar,,Pindar,epinikion ode,"There was a divine prophecy that Pelias would be killed by the illustrious descendants of Aeolus, either at their hands or through their unflinching counsels; and an oracle came to him that chilled his shrewd spirit, spoken beside the central navel of well-wooded mother earth:",10.16.3,R-reference,,Sanctuary of Pythian Apollo at Delphi,"{""type"": ""Point"", ""coordinates"": [22.50151, 38.48254]}"
438,Pindar Pythian 4.88 on killing of Otus and Ephialtes by Apollo on Naxos,Odes of Pindar,,Pindar,epinikion ode,"They did not recognize him. Nevertheless, one of the awed onlookers said even this: ""Surely this is not Apollo, nor Ares, the husband of Aphrodite, with his bronze chariot. And they say that the sons of Iphimedeia — Otus and you, bold lord Ephialtes — died in splendid Naxos. [90] And indeed Tityus was hunted down by the swift arrow of Artemis, which she sped from her unconquerable quiver, so that men might desire to touch only the loves that are within their reach.""",9.22.6,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0033.tlg002.perseus-grc2:4.80-4.95,Anthedon,"{""type"": ""Point"", ""coordinates"": [23.448834, 38.498583]}"
439,"Pindar, hymn to Ammon, sent to Libya",Pindar's hymn to Ammon,,Pindar,hymn,,9.16.1,R-reference,,Temple of Ammon in Thebes,"{""type"": ""Point"", ""coordinates"": [23.3178, 38.3191]}"
440,"Pindar, Hymn to Tyche fr.41 Schroeder making Tyche one of the Fates",Pindar's Hymn to Tyche,,Pindar,hymn,,7.26.8,R-paraphrase,,Building sacred to Tyche at Aigeira,"{""type"": ""Point"", ""coordinates"": [22.3777, 38.1286]}"
441,"Pindar, Hymn to Tyche on Tyche as Pherepolis",Pindar's Hymn to Tyche,,Pindar,hymn,lost,4.30.6,R-reference,,Pherai (Messenia),"{""type"": ""Point"", ""coordinates"": [22.113, 37.046]}"
442,"Pindar, Nemean Odes 1.1 on Artemis and Alpheius",Pindar's Nemean Odes,Q27214182,Pindar,epinikion ode,"§ 1.1  Nemean 1: For Chromius of Aetna Chariot Race ?476 B.C.<br>Sacred place where Alpheus breathed again; Ortygia, scion of renowned Syracuse, bed of Artemis, sister of Delos! From you sweet-voiced [5] song rushes out to give great praise for storm-footed horses, by the grace of Aetnaean Zeus.",5.14.6,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0033.tlg003.perseus-eng2:1.1-1.1,Altis sacred grove (Olympia),"{""type"": ""Point"", ""coordinates"": [21.62975, 37.63754]}"
443,"Pindar, Nemean Odes 1.52 on our misfortunes versus those of others",Pindar's Nemean Odes,Q27214182,Pindar,epinikion ode,"for she herself leapt to her feet from her bed, unrobed as she was, and tried to ward off the violent attack of the monsters. And swiftly the chiefs of the Cadmeans rushed in together in their bronze armor, and Amphitryon came brandishing a sword bared from its scabbard, stricken with sharp distress. For each man alike is oppressed by his own trouble, but the heart recovers quickly from someone else's grief.",10.22.9,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0033.tlg003.perseus-grc2:1.50-1.60,Temple of Apollo at Delphi,"{""type"": ""Point"", ""coordinates"": [22.5012215, 38.4823167]}"
444,"Pindar, Nemean Odes 10.61 on sharp eyesight of Lynceus",Pindar's Nemean Odes,Q27214182,Pindar,epinikion ode,"and his brother Polydeuces came to Pamphaes to receive a hospitable welcome, it is no wonder that it is innate in their race to be good athletes; since the Dioscuri, guardians of spacious Sparta, along with Hermes and Heracles, administer the flourishing institution of the games, and they care very much for just men. Indeed, the race of the gods is trustworthy. [55] Changing places in alternation, the Dioscuri spend one day beside their dear father Zeus, and the other beneath the depths of the earth in the hollows of Therapne, each fulfilling an equal destiny, since Polydeuces preferred this life to being wholly a god and living in heaven, when Castor was killed in battle. For Idas, angered for some reason about his cattle, stabbed him with the point of his bronze spear. Looking out from Taygetus, Lynceus saw them seated in the hollow of an oak; for that man had the sharpest eye of all who live on earth. He and Idas at once reached the spot with swift feet, and quickly contrived a mighty deed; [65] and these sons of Aphareus themselves suffered terribly by the devising of Zeus.",4.2.7,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0033.tlg003.perseus-eng2:10.60-10.61?right=perseus-grc2,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
445,"Treatise on rhetoric (?) allegedly by Pittheus, published at Epidaurus","Treatise on rhetoric (?) allegedly by Pittheus, published at Epidaurus",,Pittheus,handbook,,2.31.3,R-reference,,Troizen,
446,"Plato, Protagoras 343a: Plato's list of the seven sages",Plato's Protagoras,Q520328,Plato,philosophical dialogue,"Hence this very truth has been observed by certain persons both in our day and in former times—that the Spartan cult is much more the pursuit of wisdom than of athletics; for they know that a man's ability to utter such remarks is to be ascribed to his perfect education. Such men were Thales of Miletus, Pittacus of Mytilene, Bias of Priene, Solon of our city, Cleobulus of Lindus, Myson of Chen, and, last of the traditional seven, Chilon of Sparta. All these were enthusiasts, lovers and disciples of the Spartan culture; and you can recognize that character in their wisdom by the short, memorable sayings that fell from each of them they assembled together [343b] and dedicated these as the first-fruits of their lore to Apollo in his Delphic temple, inscribing there those maxims which are on every tongue—“Know thyself” and “Nothing overmuch.” To what intent do I say this? To show how the ancient philosophy had this style of laconic brevity; and so it was that the saying of Pittacus was privately handed about with high approbation among the sages—that it is hard to be good.",10.24.1,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0059.tlg022.perseus-eng2:343,Temple of Apollo at Delphi,"{""type"": ""Point"", ""coordinates"": [22.5012215, 38.4823167]}"
447,"Plato, Republic 491e on bad education ruining souls",Plato's Republic,Q123397,Plato,philosophical dialogue,"shall we not similarly affirm that the best endowed souls become worse than the others under a bad education? Or do you suppose that great crimes and unmixed wickedness spring from a slight nature1 and not from a vigorous one corrupted by its nurture, while a weak nature will never be the cause of anything great, either for good or evil?” “No,” he said, “that is the case.”",7.17.3,R-paraphrase,,Eleia - Achaia border at Larisos river,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[21.417484105225526, 38.10291174798513], [21.42525995805383, 38.09244438760399], [21.429829800275428, 38.095387083549724], [21.42206202659756, 38.10509343476093], [21.417484105225526, 38.10291174798513]]]}]}"
448,"Plato, Republic on immortality of the soul",Plato's Republic,Q123397,Plato,philosophical dialogue,"I know that the Chaldaeans and Indian sages were the first to say that the soul of man is immortal, and have been followed by some of the Greeks, particularly by Plato the son of Ariston.",4.32.4,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0525.tlg001.perseus-eng2:4.32.4,Tomb or cenotaph of Aristomenes in Messene,"{""type"": ""Point"", ""coordinates"": [21.9188, 37.1716]}"
449,"Plato, Republic on Nero as ruined by perverted education",Plato's Republic,Q123397,Plato,philosophical dialogue,"When I considered this act of Nero it struck me how true is the remark of Plato, the son of Ariston, who says that the greatest and most daring crimes are committed, not by ordinary men, but by a noble soul ruined by a perverted education.",7.17.3,O-Ethics,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0525.tlg001.perseus-eng2:7.17.3,Eleia - Achaia border at Larisos river,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[21.417484105225526, 38.10291174798513], [21.42525995805383, 38.09244438760399], [21.429829800275428, 38.095387083549724], [21.42206202659756, 38.10509343476093], [21.417484105225526, 38.10291174798513]]]}]}"
450,Polybius' Histories:,Polybius' Histories,Q250816,Polybius,history,,8.30.8,R-reference,,Bouleuterion of Megalopolis left of portrait of Polybios,"{""type"": ""Point"", ""coordinates"": [22.1273, 37.4124]}"
451,Polybius' Histories: Description of Polybius' histories and life,Polybius' Histories,Q250816,Polybius,history,"This Polybius wrote also a history of the Romans, including how they went to war with Carthage, what the cause of the war was, and how at last, not before great dangers had been run, Scipio . . . whom they name Carthaginian, because he put an end to the war and razed Carthage to the ground. Whenever the Romans obeyed the advice of Polybius, things went well with them, but they say that whenever they would not listen to his instructions they made mistakes. All the Greek cities that were members of the Achaean League got permission from the Romans that Polybius should draw up constitutions for them and frame laws.",8.30.8,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0525.tlg001.perseus-eng2:8.30.8-8.30.9,Bouleuterion of Megalopolis left of portrait of Polybios,"{""type"": ""Point"", ""coordinates"": [22.1273, 37.4124]}"
452,"Polymnastus of Colophon on Thales, saying he was from Gortys",poem of Polymnastus of Colophon on Thales,,Polymnestus of Colophon,lyric poem,lost,1.14.4,R-paraphrase,,City Eleusinion at Athens,"{""type"": ""Point"", ""coordinates"": [23.7247805, 37.9728361]}"
