Serial,NAME,Work_CITED,WorkWD,Author,WORK_TYPE,TEXT_EN,Passages,LOGOS_USE,Greek_URL,NARRATIVE_LOC,GEOMETRY
1,"Acusilaus, genealogy on Sparton as father of Myceneus and eponym of Sparta","Acusilaus, genealogy",,Acusilaus,history,,2.16.4,R-paraphrase,,Mycenae,"{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}"
2,"Aeschylus, Choephoroi (1050) on Semnai with snakes in their hair","Aeschylus, Choephoroi",Q11688406,Aeschylus (tragedian),tragedy,"CHORUS: And you have done well. Therefore do not yoke your tongue to an ill-omened speech, nor let your lips give vent to evil forebodings, since you have freed the whole realm of Argos by lopping off the heads of two serpents with a fortunate stroke.
ORESTES: Ah, ah! You handmaidens, look at them there: like Gorgons, wrapped in sable garments, entwined with swarming snakes! I can stay no longer.",1.28.6,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0085.tlg006.1st1K-grc1:1043-1053,Semnai Theai shrine at the Areius Pagus,"{""type"": ""Point"", ""coordinates"": [23.72372, 37.97242]}"
3,"Aeschylus, Glaucus Pontius on Glaucus the sea divinity",Glaucus Pontius of Aeschylus,Q86686264,Aeschylus (tragedian),tragedy,lost,9.22.7,R-reference,,Anthedon,"{""type"": ""Point"", ""coordinates"": [23.448834, 38.498583]}"
4,"Aeschylus, Glaucus Pontius on word daulos, shaggy",Glaucus Pontius of Aeschylus,Q86686264,Aeschylus (tragedian),tragedy,lost,10.4.7,R-reference,,Daulis,"{""type"": ""Point"", ""coordinates"": [22.72926, 38.50665]}"
5,"Aeschylus, lost play fr. 168 on the Inachos as an Argive river",lost play of Aeschylus,,Aeschylus (tragedian),tragedy,,8.6.6,R-reference,,road Argolid to Arcadia over Mt. Artemision,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[22.722986929290897, 37.63880433989959], [22.681987076319217, 37.64700602838603], [22.61034522796956, 37.61692874388939], [22.523598170629327, 37.60291130695133], [22.498566681447443, 37.6094075208329], [22.46191342493512, 37.616518696940474], [22.444974976141026, 37.61575511381926], [22.422252666781333, 37.61139163127332], [22.40242228770444, 37.606918795948346], [22.392644809132378, 37.61804583965916]]}]}"
6,"Aeschylus, lost play on Egyptian account of Artemis as daughter of Demeter",lost play of Aeschylus,,Aeschylus (tragedian),tragedy,,8.37.6,R-reference,,Sanctuary of Despoina at Lykosoura,"{""type"": ""Point"", ""coordinates"": [22.03143, 37.38957]}"
7,"Aeschylus, Seven Against Thebes (passim) as Argive source",Aeschylus' Seven Against Thebes,Q506546,Aeschylus (tragedian),tragedy,,2.20.5,R-reference,,Argos (Argolid),"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
8,"Aeschylus, statement on his vision with Dionysus",Aeschylus' account of learning to write tragedies,,Aeschylus (tragedian),history,lost,1.21.2,R-paraphrase,,Theater of Dionysus Eleuthereus,"{""type"": ""Point"", ""coordinates"": [23.72775, 37.970278]}"
9,Aeschylus's obituary on the battle of Marathon,Aeschylus's obituary,,Aeschylus (tragedian),elegiac poem,lost,1.14.5,R-paraphrase,,"Temple of Eukleia, Athens","{""type"": ""Point"", ""coordinates"": [23.726464, 37.971687]}"
10,"Alcaeus, Proemium to Apollo: citing Castalia as daughter of Cephisus",Proemium to Apollo by Alcaeus,,Alcaeus of Mytilene,hymn,lost,10.8.10,R-paraphrase,,Castalian spring,"{""type"": ""Point"", ""coordinates"": [22.505528, 38.483082]}"
11,"Hymn to Hermes by Alcaeus (fr. 308c Campbell, fr.7 Bergk)on cattle of Apollo",Hymn to Hermes by Alcaeus,,Alcaeus of Mytilene,hymn,,7.20.4,R-paraphrase,,Sanctuary of Apollo in agora of Patrae,"{""type"": ""Point"", ""coordinates"": [21.7404, 38.2434]}"
12,Alcman on Cleta and Phaenna as the Graces,poem by Alcman,,Alcman,poem (unspecified),lost,3.18.6,R-paraphrase,,road Sparta to Amyclae,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[22.425842220333095, 37.079933014569335], [22.432357985380776, 37.069073679259006], [22.438873750428456, 37.03660192623954], [22.447983833072612, 37.03595859102401], [22.449933794133955, 37.036286289547576]]}]}"
13,Alcman on the Dioscouri capturing Athens with Theseus absent,Song by Alcman on the Dioscouri,,Alcman,hymn,lost,1.41.4,R-paraphrase,,temple of Apollo Agraios and Artemis Agrotera in Megara,"{""type"": ""Point"", ""coordinates"": [23.34285, 37.997]}"
14,Alcman on the Dioscouri on Pephnos rock,Song by Alcman on the Dioscouri,,Alcman,hymn,lost,3.26.2,R-reference,,Pephnos,"{""type"": ""Point"", ""coordinates"": [22.296786, 36.812375]}"
15,Alexandros of Pleuron on Theseus as father of Iphigeneia (agreeing with the Argives),poem by Alexandros of Pleuron,,Alexander of Pleuron,epic poem,lost,2.22.7,R-reference,,Sanctuary of Eileithyia at Argos founded by Helen,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
16,Anaximenes' account of his saving the Lampsacenes from Alexander,History of Greece by Anaximenes,,Anaximenes of Lampsacus,history,,6.18.3,R-paraphrase,,Olympia,"{""type"": ""Point"", ""coordinates"": [21.630126, 37.637849]}"
17,"Anaximenes?, poem on Alexander the Great: Pausanias opines Anaximenes not the author",epic poem on deeds of Alexander the Great,,Anaximenes of Lampsacus,epic poem,,6.18.6,R-reference,,Olympia,"{""type"": ""Point"", ""coordinates"": [21.630126, 37.637849]}"
18,"Anaximenes, ascribed to Theopompus: on his character",scurrilous history by Anaximenes he ascribed to Theopompus,,Anaximenes of Lampsacus,history,,6.18.5,R-reference,,Olympia,"{""type"": ""Point"", ""coordinates"": [21.630126, 37.637849]}"
19,"Androtion, Atthis on death of Dorieus",Atthis of Androtion,Q118551032,Androtion,history,lost,6.7.6,R-paraphrase,,Olympia,"{""type"": ""Point"", ""coordinates"": [21.630126, 37.637849]}"
20,"Androtion, Atthis on origin of the name Amphictyons",Atthis of Androtion,Q118551032,Androtion,history,lost,10.8.1,R-paraphrase,,Entry to Delphi from Chaironea road,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.50908625671846, 38.4807561049775], [22.508670068724086, 38.47934011797474], [22.509390394099455, 38.47916468402025], [22.509790574863842, 38.48064332827158], [22.50908625671846, 38.4807561049775]]]}]}"
21,"Antimachus, Thebais (fr. 6A Davies): on Adrastus fleeing Thebes with Areion","Antimachus, Thebais",,Antimachus of Colophon,epic poem,,8.25.8,R-quotation,,Sanctuary of Demeter Erinys in Onkeion on the Ladon,"{""type"": ""Point"", ""coordinates"": [21.87884, 37.710489]}"
22,"Antimachus, Thebais fr. 32 on Earth as mother of Areion","Antimachus, Thebais",,Antimachus of Colophon,epic poem,,8.25.8,R-quotation,,Sanctuary of Demeter Erinys in Onkeion on the Ladon,"{""type"": ""Point"", ""coordinates"": [21.87884, 37.710489]}"
23,"Antimachus, Thebais fr. 33 Wyss on Adrastus third to tame Areion","Antimachus, Thebais",,Antimachus of Colophon,epic poem,,8.25.10,R-quotation,,Sanctuary of Demeter Erinys in Onkeion on the Ladon,"{""type"": ""Point"", ""coordinates"": [21.87884, 37.710489]}"
24,"Antimachus, Thebais fr. 35 Wyss on Demeter Erinys","Antimachus, Thebais",,Antimachus of Colophon,epic poem,,8.25.4,R-quotation,,Sanctuary of Demeter Erinys in Onkeion on the Ladon,"{""type"": ""Point"", ""coordinates"": [21.87884, 37.710489]}"
25,"Antimachus, Thebais on Charites","Antimachus, Thebais",,Antimachus of Colophon,epic poem,lost,9.35.5,R-paraphrase,,Orchomenos (Boeotia),"{""type"": ""Point"", ""coordinates"": [22.959486, 38.495082]}"
26,"Antiochos, Sikeliot history on founding of Lipara",Sikeliot history by Antiochos,,Antiochus of Syracuse,history,lost,10.11.3,R-reference,,Sikyonian Treasury at Delphi,"{""type"": ""Point"", ""coordinates"": [22.500741, 38.482335]}"
27,Oracles of Clarian Apollo on moving site of Smyrna,Oracles of Clarian Apollo,,Apollo,prophecy,"“Thrice, yes, four times blest will those men be Who shall dwell in Pagus beyond the sacred Meles.”",7.5.3,R-quotation,,Eleia - Achaia border at Larisos river,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[21.417484105225526, 38.10291174798513], [21.42525995805383, 38.09244438760399], [21.429829800275428, 38.095387083549724], [21.42206202659756, 38.10509343476093], [21.417484105225526, 38.10291174798513]]]}]}"
28,"Apollonius, Argonautica 1.115-1.117 on descent of Phlias",Argonautica of Apollonius of Rhodes,Q739529,Apollonius Rhodius,epic poem,"§ 1.115  After them came Phlias from Araethyrea, where he dwelt in affluence by the favour of his father Dionysus, in his home by the springs of Asopus.",2.12.6,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.115-1.117/,Phlious,"{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}"
29,Arcadian common decision to found Megalopolis doesn't list Tritaia,Arcadian common decision to found Megalopolis,,Arcadians,decree,,6.12.8,R-reference,,Olympia,"{""type"": ""Point"", ""coordinates"": [21.630126, 37.637849]}"
30,Archilochus on stone of Tantalus fr. 91.15 (Page),poem by Archilochus mentioning stone of Tantalus,,Archilochus,lyric poem,neither let the stone of Tantalos hang over this island,10.31.12,R-reference,https://stephanus.tlg.uci.edu/Iris/inst/browser.jsp#doc=tlg&aid=0232&wid=001&st=13920&et=13934&hl=%7B%22hl%22%3A%5B%7B%22start%22%3A13920%2C%22end%22%3A13934%2C%22color%22%3A%22HI1%22%2C%22backToStartSnippet%22%3Afalse%2C%22forwardToEndSnippet%22%3Afalse%2C%22outOfSnippet%22%3Afalse%7D%5D%7D&type=browser,Lesche of the Knidians,"{""type"": ""Point"", ""coordinates"": [22.5011, 38.48304]}"
31,"Pausanias 1.24.6: Aristeas, poem on Hyperboreans, describes Arimaspi and griffins",poem by Aristeas of Proconnesus on Hyperboreans,,Aristeas,epic poem,"These griffins, Aris­teas of Pro­con­nesus says in his poem, fight for the gold with the Ari­maspi be­yond the Isse­dones. The gold which the griffins guard, he says, comes out of the earth; the Ari­maspi are men all born with one eye; griffins are beasts like li­ons, but with the beak and wings of an ea­gle. I will say no more about the griffins.",1.24.6,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0525.tlg001.perseus-eng2:1.24.6,Parthenon of Athens,"{""type"": ""Point"", ""coordinates"": [23.72658434, 37.97155767]}"
32,"Aristeas, poem on the Hyperboreans, visits Issedones (Paus. 5.7.9)",poem by Aristeas of Proconnesus on Hyperboreans,,Aristeas,epic poem,"And Aris­teas of Pro­con­nesus — for he too made men­tion of the Hy­per­bore­ans — may per­haps have learnt even more about them from the Isse­dones, to whom he says in his poem that he came.",5.7.9,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0525.tlg001.perseus-eng2:5.7.9,Olympia,"{""type"": ""Point"", ""coordinates"": [21.630126, 37.637849]}"
33,"Aristophanes, Aves 148-150: calling Lepreon a town of Elis",Aves (Birds) of Aristophanes,Q1164079,Aristophanes,comedy,"Oh, no. Not a sea-port, where some fine morning the Salaminian galley can appear, bringing a process-server along. Have you no Greek town you can propose to us?<br>Epops: Why not choose Lepreum in Elis for your settlement?<br>Euelpides: By Zeus! I could not look at Lepreum without disgust, because of Melanthius.",5.5.3,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0019.tlg006.perseus-grc2:148-152/,Lepreon,"{""type"": ""Point"", ""coordinates"": [21.724777, 37.439599]}"
34,"Asius, Genealogies fr. 1 West on Amphion and Zethus as sons of Antiope",Genealogies of Asius,,Asius of Samos,epic poem,,2.6.4,R-quotation,,Corinthia - Sikyonia border,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.753523301404158, 37.94270323795715], [22.817206413472263, 37.94270323795715], [22.817206413472263, 37.95544470099276], [22.753523301404158, 37.95544470099276], [22.753523301404158, 37.94270323795715]]]}]}"
35,"Asius, Genealogies fr. 11 West on Sicyon as son of Metion",Genealogies of Asius,,Asius of Samos,epic poem,,2.6.5,R-paraphrase,,Corinthia - Sikyonia border,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.753523301404158, 37.94270323795715], [22.817206413472263, 37.94270323795715], [22.817206413472263, 37.95544470099276], [22.753523301404158, 37.95544470099276], [22.753523301404158, 37.94270323795715]]]}]}"
36,"Asius, Genealogies fr. 3 West on Ptous as son of Athamas",Genealogies of Asius,,Asius of Samos,epic poem,,9.23.6,R-paraphrase,,Apollo Ptoios sanct. (Boeotia),"{""type"": ""Point"", ""coordinates"": [23.25193, 38.45915]}"
37,"Asius, Genealogies fr. 4 West on Alcmene as daughter of Amphiaraus and Eriphyle",Genealogies of Asius,,Asius of Samos,epic poem,,5.17.8,R-paraphrase,,Temple of Hera at Olympia,"{""type"": ""Point"", ""coordinates"": [21.62976, 37.63887]}"
38,"Asius, Genealogies fr. 5 West on Panopeus and Crisus as sons of Phocus",Genealogies of Asius,,Asius of Samos,epic poem,,2.29.4,R-paraphrase,,Aigina island Bk2,"{""type"": ""Point"", ""coordinates"": [23.42372, 37.74991]}"
39,"Asius, Genealogies fr. 6 West on Thestius as son of Agenor son of Pleuron",Genealogies of Asius,,Asius of Samos,epic poem,,3.13.8,R-paraphrase,,Heroon of Pleuron at Sparta,"{""type"": ""Point"", ""coordinates"": [22.4237, 37.0821]}"
40,"Asius, Genealogies fr. 7 West on Astypalaea and Europe as daughters of Phoenix",Genealogies of Asius,,Asius of Samos,epic poem,,7.4.1,R-paraphrase,,Eleia - Achaia border at Larisos river,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[21.417484105225526, 38.10291174798513], [21.42525995805383, 38.09244438760399], [21.429829800275428, 38.095387083549724], [21.42206202659756, 38.10509343476093], [21.417484105225526, 38.10291174798513]]]}]}"
41,"Asius, Genealogies fr. 8 West on Pelasgus as king",Genealogies of Asius,,Asius of Samos,epic poem,,8.1.4,R-quotation,,Argolid - Arkadia border near Mt. Artemision,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.475774354441114, 37.654310963973046], [22.507440284004105, 37.571411550419754], [22.521537982781183, 37.57134643717862], [22.488651704535528, 37.65540068883523], [22.475774354441114, 37.654310963973046]]]}]}"
42,"Asius, Genealogies of Asius on children of Polycaon and Messene",Genealogies of Asius,,Asius of Samos,epic poem,lost,4.2.1,R-reference,,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
43,"Bacis, Oracles on grave of Phocus and Antiope",Oracles of Bacis,,Bacis of Boeotia,prophecy,lost,10.32.11,R-paraphrase,,Tithorea/Neon,"{""type"": ""Point"", ""coordinates"": [22.66931, 38.58344]}"
44,"Bacis, Oracles on refounding of Messene",Oracles of Bacis,,Bacis of Boeotia,prophecy,"“Then indeed shall the bright bloom of Sparta perish and Messene again shall be inhabited for all time.” <br>I have discovered that Bacis also told in what manner Eira would be captured, and this too is one of his oracles: “The men of Messene o'ercome by the thunder's roll and spouting rain.”",4.27.4,R-quotation,,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
45,"Bacis, Oracles on the name of Tithorea",Oracles of Bacis,,Bacis of Boeotia,prophecy,lost,10.32.8,R-reference,,road Delphi to Tithorea over Parnassos,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[22.49757320861943, 38.63427591700432], [22.492173394107937, 38.61668885455731], [22.497622239309806, 38.60880543271463], [22.486962431315987, 38.59318981517825], [22.491630055951788, 38.582891191523885], [22.508528560545216, 38.56801710182717], [22.529823208333568, 38.54161058383144], [22.537227832824442, 38.52209786355664], [22.526055024698763, 38.500052115470965], [22.505416159440102, 38.48110508114104], [22.496980827020536, 38.47716952238588], [22.497730532685978, 38.47509837924886]]}]}"
46,"Bacis, Oracles predicting Persian invasion",Oracles of Bacis,,Bacis of Boeotia,prophecy,,10.14.6,R-reference,,Sanctuary of Pythian Apollo at Delphi,"{""type"": ""Point"", ""coordinates"": [22.50151, 38.48254]}"
47,"Boeo, Hymn on Hyperboreans at Delphi",Hymn of Boeo at Delphi,,Boeo,hymn,"lost “Here in truth a mindful oracle was built By the sons of the Hyperboreans, Pagasus and divine Agyieus.” After enumerating others also of the Hyperboreans, at the end of the hymn she names Olen: “And Olen, who became the first prophet of Phoebus, And first fashioned a song of ancient verses.”",10.5.7,R-quotation,,Entry to Delphi from Chaironea road,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.50908625671846, 38.4807561049775], [22.508670068724086, 38.47934011797474], [22.509390394099455, 38.47916468402025], [22.509790574863842, 38.48064332827158], [22.50908625671846, 38.4807561049775]]]}]}"
48,"Callinus, lost work on Homer as author of the Thebais",lost work of Callinus,,Callinus,poem (unspecified),,9.9.5,R-paraphrase,,Electran Gate (Thebes),"{""type"": ""Point"", ""coordinates"": [23.3201, 38.3175]}"
49,"Callippus, History of Boeotian Orchomenos quoting Chersias's poetry",History of Boeotian Orchomenos by Callippus,,Callippus of Corinth,history,lost,9.38.10,R-reference,,Orchomenos (Boeotia),"{""type"": ""Point"", ""coordinates"": [22.959486, 38.495082]}"
50,"Callippus, History of Boeotian Orchomenos quoting Hegesinus",History of Boeotian Orchomenos by Callippus,,Callippus of Corinth,history,lost,9.29.2,R-reference,,"Askre, Askra","{""type"": ""Point"", ""coordinates"": [23.074249, 38.327032]}"
51,Naupaktia fr. 9 West: Jason moves to Corcyra,Naupaktia,Q3337166,Carcinus of Naupactus,epic poem,,2.3.9,R-paraphrase,,Glauke fountain (Corinth),"{""type"": ""Point"", ""coordinates"": [22.87812, 37.90562]}"
52,Naupaktia on children of Polycaon,Naupaktia,Q3337166,Carcinus of Naupactus,epic poem,lost,4.2.1,R-reference,,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
53,Naupaktia: Naupaktia and its authorship,Naupaktia,Q3337166,Carcinus of Naupactus,epic poem,lost,10.38.11,R-reference,,Naupaktos,"{""type"": ""Point"", ""coordinates"": [21.8313, 38.3997]}"
54,Charon son of Pythes on author of the Naupactia,work of Charon son of Pythes,,Charon of Lampsacus,literary criticism,lost,10.38.11,R-paraphrase,,Naupaktos,"{""type"": ""Point"", ""coordinates"": [21.8313, 38.3997]}"
55,Chersias epigram on tomb of Hesiod at Orchomenos: Chersias' epigram on Hesiod,epigram by Chersias on tomb of Hesiod at Orchomenos,,Chersias,epigram,"(lost): Elegiac verses are inscribed on the tomb: <br>“Ascra rich in corn was his native land, but when Hesiod died, <br>The land of the horse-striking Minyans holds his bones, <br>Whose fame will rise very high in Greece <br>When men are judged by the touchstone of artistry.",9.38.4,R-quotation,,Tomb of Hesiod in Orchomenos with inscription,"{""type"": ""Point"", ""coordinates"": [22.959486, 38.495082]}"
56,"Chersias of Orchomenos fr. 1 West: epic poem of Chersias on parentage of Aspledon, quoted by Callippus",poem by Chersias of Orchomenos,,Chersias,epic poem,To Poseidon and glorious Mideia was born Aspledon in the spacious city.,9.38.9,R-quotation,,Kephisian lake,"{""type"": ""Point"", ""coordinates"": [23.0687, 38.4471]}"
57,Alope of Choerilus on genealogy of Cercyon and Triptolemus,Alope of Choerilus,,Choerilus,tragedy,lost,1.14.3,R-paraphrase,,City Eleusinion at Athens,"{""type"": ""Point"", ""coordinates"": [23.7247805, 37.9728361]}"
58,"Cinaethon, Genealogies fr. 2 West on Jason and Medea's children Medeus and Eriopis",Genealogies of Cinaethon,,Cinaethon of Sparta,epic poem,,2.3.9,R-paraphrase,,Glauke fountain (Corinth),"{""type"": ""Point"", ""coordinates"": [22.87812, 37.90562]}"
59,"Cinaethon, Genealogies fr. 4 West on Erigone",Genealogies of Cinaethon,,Cinaethon of Sparta,epic poem,,2.18.6,R-reference,,Gate of Eileithyia in Argos,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
60,"Cinaethon, Genealogies omits children of Polycaon",Genealogies of Cinaethon,,Cinaethon of Sparta,epic poem,lost,4.2.1,R-reference,,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
61,"Cinaethon, Genealogieson Rhadamanthys as son of Hephaestus",Genealogies of Cinaethon,,Cinaethon of Sparta,epic poem,lost,8.53.5,R-paraphrase,,"Monument to Apollo Agyieus, Tegea","{""type"": ""Point"", ""coordinates"": [22.429, 37.464]}"
62,"Cleitodemus, Atthis on gold at Delphi stripped by crows",Atthis of Cleitodemus,,Cleidemus,history,lost,10.15.5,R-paraphrase,,Sanctuary of Pythian Apollo at Delphi,"{""type"": ""Point"", ""coordinates"": [22.50151, 38.48254]}"
63,"Corinna, Hymns fr.654 COL.ii-iv PMG): on Tanagra as daughter of Asopus",Hymns of Corinna,,Corinna,lyric poem,,9.20.1,R-paraphrase,,Delion sanctuary (Boeotia),"{""type"": ""Point"", ""coordinates"": [23.6765, 38.34]}"
64,"Creophylus, Heracleia fr. 2 West on location of Oechalia near Eretria",Heracleia of Creophylus,Q3403804,Creophylus of Samos,epic poem,"lost, attributed by him to capture of Oechalia)):",4.2.3,R-reference,,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
65,"Ctesias, Indica on mantichoras",Ctesias' Indica,Q17056177,Ctesias,history,(lost):,9.21.4,R-paraphrase,,Temple of Dionysos at Tanagra,"{""type"": ""Point"", ""coordinates"": [23.5841, 38.3074]}"
66,Sibylline oracles on Athenian defeat at Aegospotami,Sibylline oracles,,Delphic Sibyl,prophecy,"And then on the Athenians will be laid grievous troubles By Zeus the high-thunderer, whose might is the greatest, On the war-ships battle and fighting, As they are destroyed by treacherous tricks, through the baseness of the captains.",10.9.11,R-quotation,,Sanctuary of Pythian Apollo at Delphi,"{""type"": ""Point"", ""coordinates"": [22.50151, 38.48254]}"
67,Sibylline oracles on drawn battle at Thyrea,Sibylline oracles,,Delphic Sibyl,prophecy,lost,10.9.12,R-paraphrase,,Sanctuary of Pythian Apollo at Delphi,"{""type"": ""Point"", ""coordinates"": [22.50151, 38.48254]}"
68,Sibylline oracles on older and younger Philip of Macedon,Sibylline oracles,,Delphic Sibyl,prophecy,,7.8.8,R-quotation,,Eleia - Achaia border at Larisos river,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[21.417484105225526, 38.10291174798513], [21.42525995805383, 38.09244438760399], [21.429829800275428, 38.095387083549724], [21.42206202659756, 38.10509343476093], [21.417484105225526, 38.10291174798513]]]}]}"
69,Oracle of Dionysus from unlocated oracle in Thrace,Oracle of Dionysus from unlocated oracle in Thrace,,Dionysus,prophecy,,9.30.9,R-reference,,,
70,Elean Olympic victor lists on Ladas the runner,Elean lists of Olympic victors,,Eleans,epigram,lost,3.21.1,R-paraphrase,,"Tomb of Ladas, near Eurotas","{""type"": ""Point"", ""coordinates"": [22.373, 37.157]}"
71,Elean Olympic victor lists on Lichas of Sparta,Elean lists of Olympic victors,,Eleans,epigram,lost,6.2.3,R-paraphrase,,Olympia,"{""type"": ""Point"", ""coordinates"": [21.630126, 37.637849]}"
72,Elean Olympic victor lists on sons of Pheidolas with one victory,Elean lists of Olympic victors,,Eleans,epigram,lost,6.13.10,R-paraphrase,,Olympia,"{""type"": ""Point"", ""coordinates"": [21.630126, 37.637849]}"
73,"Elean Olympic victor lists: Elean list of Olympiads not including 8th, 34th, 104th",Elean lists of Olympic victors,,Eleans,epigram,lost,6.22.3,R-paraphrase,,Pisa (Eleia),"{""type"": ""Point"", ""coordinates"": [21.653, 37.6395]}"
74,Elean Olympic victor lists: Elean Olympic victor lists for 211th Olympiad,Elean lists of Olympic victors,,Eleans,epigram,lost,10.36.9,R-reference,,Antikyra,"{""type"": ""Point"", ""coordinates"": [22.626059, 38.375439]}"
75,Elean Olympic victors: on Iphitus as son of Iphitus,Elean lists of Olympic victors,,Eleans,epigram,lost,5.4.6,R-paraphrase,,Messenia-Eleia border at Neda river,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[21.679447516607297, 37.377855796409506], [21.69308574928442, 37.383549915396586], [21.70656257510359, 37.3919005637385], [21.73281320051933, 37.392128991291955], [21.736408366160447, 37.390560791808994], [21.765853660145467, 37.39367544934754], [21.7695169571287, 37.400983291326355], [21.733481582057408, 37.39813684282345], [21.704581740057193, 37.39765182548311], [21.676920510091378, 37.386169691588165], [21.679447516607297, 37.377855796409506]]]}]}"
76,Epimenides fr. 7 Fowler on Styx as mother of Echidna to Peiras,verses of Epimenides,,Epimenides of Crete,prophecy,,8.18.2,R-paraphrase,,Styx river (Achaia),"{""type"": ""Point"", ""coordinates"": [22.21, 37.98]}"
