person,personLabel,genderLabel,personDescription,entityLabel,death,fatherLabel,motherLabel,birthplaceLabel,article,father,mother,birthplace,gender,periodLabel
http://www.wikidata.org/entity/Q107043607,Boutas statue at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,classical antiquity
http://www.wikidata.org/entity/Q311742,Brasidas,male,5th century BC Spartan general,human,-0421-01-01T00:00:00Z,,Argileonis,Sparta,https://en.wikipedia.org/wiki/Brasidas,,http://www.wikidata.org/entity/Q3622417,http://www.wikidata.org/entity/Q5690,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q56152358,Brauronia,,"epithet of Artemis, of Brauron",Greek deity,,,,,,,,,,
http://www.wikidata.org/entity/Q56152358,Brauronia,,"epithet of Artemis, of Brauron",epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q20051146,Brimias of Elis,male,ancient Olympic boxer,human,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q107043585,Brimias statue at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,classical antiquity
http://www.wikidata.org/entity/Q107043510,Bronze chariot with Hieron at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,classical antiquity
http://www.wikidata.org/entity/Q122196,Bryaxis,male,4th-century BC Greek sculptor,human,-0360-01-01T00:00:00Z,,,Caria,https://en.wikipedia.org/wiki/Bryaxis,,,http://www.wikidata.org/entity/Q193214,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q91121927,Bulon,male,founder of Bulis,mythological Greek character,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q91121927,Bulon,male,founder of Bulis,eponymous hero,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q56224244,Bunaea,,epithet of Hera,epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q852011,Bupalus,male,sculptor and temple architect,human,,Archermus,,Chios,https://en.wikipedia.org/wiki/Bupalus,http://www.wikidata.org/entity/Q731017,,http://www.wikidata.org/entity/Q160483,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q4998063,Bura,female,mythical daughter of Ion,mythological Greek character,,Ion son of Xuthus,Helice,,https://en.wikipedia.org/wiki/Bura_(mythology),http://www.wikidata.org/entity/Q853462,http://www.wikidata.org/entity/Q20100712,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q4998063,Bura,female,mythical daughter of Ion,mythological Greek character,,Zeus,Helice,,https://en.wikipedia.org/wiki/Bura_(mythology),http://www.wikidata.org/entity/Q34201,http://www.wikidata.org/entity/Q20100712,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q56055038,Buraicus,,"epithet of Heracles at the Bouraikos river, Greece",epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q124616336,Burial of Semele at Brasiai,,Ancient place in Lakonia attested by Pausanias (3.24.3),tomb,,,,,,,,,,
