Lon,Lat,Name,Region,Part_of,Type,Passages,Location,Pleiades,ToposText,Wikidata,Manto,Altname,URL,Arachne
21.9195,37.1779,"Gymnasium of Messene","Messenia Bk4","Messene (Messenia)",['gymnasion'],['4.32.1'],"Messene (Messenia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.42338,37.08265,"Athena Chalkioikos sanctuary on acropolis of Sparta","Lakonia Bk3","Acropolis of Sparta",['hieron'],"['10.5.11','3.17.2','3.17.7','4.15.5']",NULL,NULL,https://topostext.org/place/371224SACh,https://wikidata.org/wiki/Q57302774,https://resource.manto.unh.edu/10150378,NULL,NULL,NULL
22.5152,38.4915,"Lykoreia (Phokis)","Phokis Bk10","Phokis Bk10",['settlement'],"['10.6.2','10.6.3','4.34.9']",NULL,NULL,https://topostext.org/place/385225ULyk,https://wikidata.org/wiki/Q5975192,NULL,Lycoreia,NULL,NULL
21.8,37.2,"Messenia Bk4",NULL,Peloponnesos,['chora'],"['2.18.7','2.18.8','3.1.4','3.13.1','3.14.4','3.2.6','3.26.6','3.26.7','3.3.2','3.7.5','4.1.2','4.12.1','4.12.7','4.14.3','4.14.4','4.14.7','4.15.8','4.16.9','4.17.1','4.18.2','4.19.4','4.19.5','4.2.5','4.20.2','4.21.1','4.23.1','4.24.4','4.28.2','4.29.11','4.3.10','4.3.2','4.3.3','4.3.4','4.3.5','4.30.1','4.31.1','4.34.9','4.36.7','4.4.2','4.4.3','4.5.8','4.5.9','4.6.4','4.7.1','4.7.4','5.6.3','8.1.1','8.1.2','8.27.15','8.35.2']",NULL,https://pleiades.stoa.org/places/570480,https://topostext.org/place/372218RMes,https://wikidata.org/wiki/Q1247159,NULL,NULL,NULL,NULL
8.895951167,40.06802462,"Sardinia (island)","Internum Mare","Internum Mare",['nesos'],"['1.29.5','10.17.1','10.17.10','10.17.11','10.17.13','10.17.2','10.17.3','10.17.4','10.17.5','10.17.6','10.17.8','10.17.9','4.23.5','7.17.3','7.2.2','9.23.1']",NULL,https://pleiades.stoa.org/places/472014,NULL,https://wikidata.org/wiki/Q3760293,NULL,NULL,NULL,NULL
21.9133,37.1868,"Arcadian Gate of Messene","Messenia Bk4","City walls of Messene",['pylai'],['4.33.3'],NULL,https://pleiades.stoa.org/places/435916987,NULL,https://wikidata.org/wiki/Q38279515,NULL,NULL,NULL,NULL
22.05141,37.11343,"temple of the Syrian goddess at Thouria","Messenia Bk4",Thouria,['hieron'],['4.31.2'],Thouria,NULL,NULL,https://wikidata.org/wiki/Q134036933,NULL,NULL,NULL,NULL
21.695,37.027,"Tomb of Thrasymedes outside Pylos","Messenia Bk4","Pylos/Palace of Nestor (Messenia)",['mnema'],['4.36.2'],"Pylos/Palace of Nestor (Messenia)",NULL,NULL,NULL,https://resource.manto.unh.edu/10146598,NULL,NULL,NULL
22.7145,37.9834,"Sicyon (Sikyonia)","Sikyonia Bk2","Sikyonia Bk2",['polis'],"['1.25.4','1.27.5','10.11.6','10.8.5','2.1.1','2.10.1','2.10.6','2.11.2','2.11.3','2.11.5','2.12.2','2.12.3','2.13.1','2.15.1','2.25.5','2.25.6','2.3.10','2.3.6','2.4.4','2.5.2','2.5.5','2.5.6','2.5.8','2.6.2','2.6.5','2.6.6','2.6.7','2.7.1','2.7.2','2.7.3','2.7.6','2.7.7','2.7.9','2.8.1','2.9.2','2.9.4','4.10.6','4.11.8','4.14.1','4.15.7','5.18.7','5.21.3','6.3.3','7.1.1','7.23.8','7.26.12','7.26.13','7.26.2','7.26.6','7.27.12','7.6.1','8.1.2']",NULL,https://pleiades.stoa.org/places/570668,https://topostext.org/place/380227PSik,https://wikidata.org/wiki/Q368628,NULL,Sikyon,NULL,NULL
21.879,37.272,"Koios (river)","Messenia Bk4","Messenia Bk4",['potamos'],['4.33.6'],NULL,https://pleiades.stoa.org/places/570365,NULL,NULL,NULL,NULL,NULL,NULL
31.3343727,47.5349319,"Hypanis (river)",Europe,"Scythia (Europe)",['potamos'],"['4.35.11','8.28.2']",NULL,https://pleiades.stoa.org/places/226630,NULL,https://wikidata.org/wiki/Q188940,NULL,NULL,NULL,NULL
21.9195,37.1779,"Sanctuary of Poseidon in Messene","Messenia Bk4","Messene (Messenia)",['hieron'],['4.31.6'],"Messene (Messenia)",NULL,NULL,https://wikidata.org/wiki/Q134036886,NULL,NULL,NULL,NULL
21.927944,36.954171,"Temple of Artemis Paidotrophos, Asclepius and Dionysus at Korone","Messenia Bk4",Korone,['naos'],['4.34.6'],Korone,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.9191,36.863,"Apollo Korythos sanct. (Messenia)","Messenia Bk4","Messenia Bk4",['hieron'],['4.34.7'],NULL,https://pleiades.stoa.org/places/570096,https://topostext.org/place/369219SApo,https://wikidata.org/wiki/Q25164241,https://resource.manto.unh.edu/10152263,NULL,NULL,NULL
