Lon,Lat,Name,Region,Part_of,Type,Passages,Location,Pleiades,ToposText,Wikidata,Manto,Altname,URL,Arachne
21.998,37.134,"Balyra river (Messenia)","Messenia Bk4","Messenia Bk4",['potamos'],['4.33.3'],NULL,https://pleiades.stoa.org/places/570146,https://topostext.org/place/373218WBal,https://wikidata.org/wiki/Q25018997,NULL,NULL,NULL,NULL
22.756111,37.730833,"Tomb of Electra in Mycenae","Argolid Bk2",Mycenae,['mnema'],['2.16.7'],Mycenae,NULL,NULL,NULL,https://resource.manto.unh.edu/10159507,NULL,NULL,NULL
22.2805645,37.029321,Pharis,"Lakonia Bk3","Lakonia Bk3",['settlement'],"['3.2.6','3.20.3','4.16.8','4.31.1']",NULL,https://pleiades.stoa.org/places/570591,NULL,https://wikidata.org/wiki/Q16566337,NULL,NULL,NULL,NULL
22.1741,37.5395,Knauson,"Arcadia Bk8",Eutresia,['settlement'],['8.27.3'],Eutresia,https://pleiades.stoa.org/places/573293,NULL,https://wikidata.org/wiki/Q39081812,NULL,NULL,NULL,NULL
22.7214,37.6305,"Tomb of Gorgophone in Argos agora","Argolid Bk2","Agora of Argos",['mnema'],['2.21.7'],"Agora of Argos",NULL,NULL,NULL,https://resource.manto.unh.edu/10185383,NULL,NULL,NULL
23.243591,37.385218,"Temple of Isis in Hermione","Hermionis Bk2",Hermione,['naos'],['2.34.10'],Hermione,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.354208,40.296525,Olynthos,"Macedonia (Europe)","Chalcidike region (Chalkidike)",['settlement'],"['1.29.7','3.5.9','6.17.5']",NULL,https://pleiades.stoa.org/places/491678,NULL,https://wikidata.org/wiki/Q1141669,NULL,NULL,NULL,NULL
22.704926,38.554265,Tronis,"Phokis Bk10","Phokis Bk10",['chora'],['10.4.10'],NULL,https://pleiades.stoa.org/places/541015,NULL,https://wikidata.org/wiki/Q17563248,NULL,Patronis,NULL,NULL
21.3746,37.8917,"south stoa of Elis agora, Doric, three sections divided by columns","Eleia Bk5 Bk6","Agora of Elis",['stoa'],['6.24.2'],"Agora of Elis",NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.545847,38.415804,"Sanctuary of Demeter Mykalêsia between Mykalessos and the sea.","Boiotia Bk9",Mykalessos,['hieron'],['9.19.5'],Mykalessos,https://pleiades.stoa.org/places/543678,NULL,https://wikidata.org/wiki/Q134040027,https://resource.manto.unh.edu/10773521,NULL,NULL,NULL
23.34285,37.997,"Pandion hero shrine in Megara","Megarid Bk1","Megara (Megarid)",['heroon'],"['1.39.4','1.41.6']","Megara (Megarid)",NULL,NULL,https://wikidata.org/wiki/Q124644626,NULL,NULL,NULL,NULL
27.517573,38.5829,"sanctuary of Meter Plastena near Magnesia","Asia Minor (Asia)","Magnesia ad Sipylum",['hieron'],['5.13.7'],NULL,https://pleiades.stoa.org/places/550736,NULL,https://wikidata.org/wiki/Q1404385,NULL,NULL,NULL,NULL
22.747,37.624,"Pyramid-shaped structure on Argos-Epidauros road, on the right","Argolid Bk2","road Argos to Epidaurus","['oikema','polyandrion']",['2.25.7'],NULL,NULL,NULL,NULL,NULL,"with Argive shields",NULL,NULL
22.478,36.979,"Temple of Dionysos at Brysiai","Lakonia Bk3","Bryseai (Lakonia)",['naos'],['3.20.3'],"Bryseai (Lakonia)",NULL,NULL,https://wikidata.org/wiki/Q124616513,NULL,NULL,NULL,NULL
21.7404,38.2434,"Tomb of Patreus in agora of Patrae","Achaia Bk7","Agora of Patrae",['mnema'],['7.20.5'],"Agora of Patrae",NULL,NULL,NULL,https://resource.manto.unh.edu/10274389,NULL,NULL,NULL
22.7214,37.6305,"Temple of Hera Antheia at Argos agora","Argolid Bk2","Agora of Argos",['naos'],['2.22.1'],"Agora of Argos",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.31536,37.724716,"Sanctuary of Aphrodite at Orchomenos, Arkadia","Arcadia Bk8","Orchomenos (Arcadia)",['hieron'],['8.13.2'],"Orchomenos (Arcadia)",NULL,NULL,https://wikidata.org/wiki/Q134037113,NULL,NULL,NULL,NULL
22.607216,39.290562,"Eretria (Thessaly)","Hellas (Europe)",Thessalia,['chora'],['7.10.2'],NULL,https://pleiades.stoa.org/places/540767,NULL,https://wikidata.org/wiki/Q42114739,NULL,NULL,NULL,NULL
25.738816,35.257679,Olous,Crete,Crete,['polis'],['9.40.3'],NULL,https://pleiades.stoa.org/places/589959,NULL,https://wikidata.org/wiki/Q2215268,NULL,NULL,NULL,NULL
27.6022,40.2674,"Tomb of Memnon near Aisepos river in Hellespont, visited by Memnonides birds","Asia Minor (Asia)",Hellespontus,['mnema'],['10.31.6'],NULL,NULL,NULL,NULL,https://resource.manto.unh.edu/10274627,NULL,NULL,NULL
26.117749999999997,39.536211,"Fountain at Smintheion shrine in Troad, by tomb of Sibylla","Asia Minor (Asia)",Smintheion,['pege'],['10.12.6'],Smintheion,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.7257,37.9717,"Acropolis slope where Persians entered","Athenai Bk1","Athenian Acropolis (Athens)","['mythic site']",['1.18.2'],"Athenian Acropolis (Athens)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.62932,37.63923,"Banqueting room of the Eleans inside the Prytaneion, opposite the room of the Hearth.","Eleia Bk5 Bk6","Prytaneion (Olympia)",['thalamos'],['5.15.12'],"Prytaneion (Olympia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.7195,37.6316,"Tomb of Deianeira in Argos","Argolid Bk2","Argos (Argolid)",['mnema'],['2.23.5'],"Argos (Argolid)",NULL,NULL,NULL,https://resource.manto.unh.edu/10187127,NULL,NULL,NULL
