Lon,Lat,Name,Region,Part_of,Type,Passages,Location,Pleiades,ToposText,Wikidata,Manto,Altname,URL,Arachne
23.717999999999996,37.981,"Tomb of Nikias son of Nikomedes, Athens","Athenai Bk1","Athenai Bk1",['taphos'],['1.29.15'],NULL,NULL,https://topostext.org/binder/JB2206,NULL,NULL,NULL,NULL,NULL
23.58944,38.46276,Euripos,"Euboea (island)","Euboian Gulf",['settlement'],"['1.23.3','1.38.1','2.24.6','5.23.2','6.13.8','7.7.6','9.12.6','9.19.6','9.22.5','9.31.3']",NULL,https://pleiades.stoa.org/places/540783,NULL,https://wikidata.org/wiki/Q1137741,NULL,NULL,NULL,NULL
23.42372,37.74991,"Aigina polity","Aigina island Bk2","Aigina island Bk2",['polis'],"['1.44.9','2.29.6','6.9.3','7.5.5']",NULL,https://pleiades.stoa.org/places/579853,https://topostext.org/place/378234PAig,https://wikidata.org/wiki/Q191082,NULL,"Aegina polis",NULL,NULL
23.7186181,38.1752735,"Altar of Zeus Semaleos, mount Parnes","Attica Bk1","Parnes or Parnitha mountain",['bomos'],['1.32.2'],"Parnes or Parnitha mountain",NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.7205,37.9798,"Demosion Sema, Corinth, Athens","Athenai Bk1","Demosion Sema war graves, Athens",['taphos'],['1.29.11'],NULL,NULL,https://topostext.org/binder/JB1047,NULL,NULL,NULL,NULL,NULL
23.625,37.875,"Phaleron Limen","Attica Bk1","Attica Bk1",['epineion'],"['1.1.2','1.1.4']",NULL,https://pleiades.stoa.org/places/580071,NULL,NULL,NULL,NULL,NULL,NULL
23.718611,37.978333,"Stoas, between the gate and Kerameikos","Athenai Bk1",Kerameikos,['stoa'],['1.2.4'],Kerameikos,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.43516,38.9046,Lamia,"Hellas (Europe)",Phthiotis,['settlement'],"['1.1.3','1.4.3','1.8.2','10.3.4','6.4.7','7.10.4','7.10.5','7.15.2','7.6.5']",NULL,https://pleiades.stoa.org/places/540902,NULL,https://wikidata.org/wiki/Q192980,NULL,NULL,NULL,NULL
27.52785,37.8507,"Magnesia ad Maeandrum/Leukophrys","Asia Minor (Asia)","Ionia (region)",['settlement'],"['1.1.2','5.21.10','6.17.3']",NULL,https://pleiades.stoa.org/places/599778,NULL,https://wikidata.org/wiki/Q1432674,NULL,NULL,NULL,NULL
22.72926,38.50665,Daulis,"Phokis Bk10","Phokis Bk10",['settlement'],"['1.41.8','10.3.1','10.35.8','10.4.10','10.4.7','10.4.8','10.5.1']",NULL,https://pleiades.stoa.org/places/540723,NULL,https://wikidata.org/wiki/Q1172948,NULL,NULL,NULL,NULL
23.8068,38.0263,Phlya,"Attica Bk1","Attica Bk1",['demos'],['1.31.4'],NULL,https://pleiades.stoa.org/places/580076,NULL,https://wikidata.org/wiki/Q13424335,NULL,NULL,NULL,NULL
-7.9149035,31.0597925,"Atlas Mons/Atlas Montes","Libya (Africa)","Libya (Africa)",['oros'],"['1.33.5','1.33.6','8.43.3']",NULL,https://pleiades.stoa.org/places/846,NULL,https://wikidata.org/wiki/Q130135,NULL,NULL,https://imperium.ahlfeldt.se/places/44459,NULL
8.895951167,40.06802462,"Sardinia (island)","Internum Mare","Internum Mare",['nesos'],"['1.29.5','10.17.1','10.17.10','10.17.11','10.17.13','10.17.2','10.17.3','10.17.4','10.17.5','10.17.6','10.17.8','10.17.9','4.23.5','7.17.3','7.2.2','9.23.1']",NULL,https://pleiades.stoa.org/places/472014,NULL,https://wikidata.org/wiki/Q3760293,NULL,NULL,NULL,NULL
23.844643,38.290623,"Spring of Amphiaraos","Attica Bk1","Amphiareion near Oropos",['pege'],['1.34.4'],"Amphiareion near Oropos",NULL,NULL,https://wikidata.org/wiki/Q124644581,https://resource.manto.unh.edu/10160001,NULL,NULL,NULL
23.72512,37.97207,"Klepsydra spring (Athens Acropolis)","Athenai Bk1","Athenian Acropolis (Athens)",['pege'],['1.28.4'],NULL,https://pleiades.stoa.org/places/538107005,https://topostext.org/place/380237WKle,https://wikidata.org/wiki/Q12879136,NULL,NULL,NULL,NULL
23.7976,37.8300155,"sanctuary of Mother of the Gods, Anagyros","Attica Bk1",Anagyrous,['hieron'],['1.31.1'],Anagyrous,NULL,NULL,https://wikidata.org/wiki/Q124644564,NULL,NULL,NULL,NULL
35.01,13.01,"Aethiopia (Africa)","Libya (Africa)",NULL,"['major region']","['1.33.4','1.42.3','10.31.7','2.5.3','5.12.3','5.7.4','8.38.6','9.21.6']",NULL,https://pleiades.stoa.org/places/39274,NULL,https://wikidata.org/wiki/Q410453,NULL,NULL,NULL,NULL
23.725000000000005,37.975,"Cenotaph of Euripides, Athens","Athenai Bk1","Athenai Bk1",['mnema'],['1.2.2'],NULL,NULL,https://topostext.org/binder/JB1381,NULL,NULL,NULL,NULL,NULL
23.682,37.992,"Tomb of Heliodoros Halis on Sacred Way","Attica Bk1","Sacred Way from Athens to Eleusis",['mnema'],['1.37.1'],NULL,NULL,https://topostext.org/binder/JB1493,NULL,NULL,NULL,NULL,NULL
24.055816,37.789855,Potamoi,"Attica Bk1","Attica Bk1",['demos'],"['1.31.3','7.1.5']",NULL,https://pleiades.stoa.org/places/580087,NULL,https://wikidata.org/wiki/Q13464976,NULL,"Potamos Deiradiotes",NULL,NULL
23.727929999999997,37.9718,"Sanctuary of Aigeus, Athens","Athenai Bk1","Athenai Bk1",['heroon'],['1.22.5'],NULL,NULL,https://topostext.org/binder/JB0086,NULL,NULL,NULL,NULL,NULL
23.690438,37.958453,"Long walls of Athens","Athenai Bk1","Athenai Bk1",['teichos'],['1.20.6'],NULL,https://pleiades.stoa.org/places/585128,NULL,https://wikidata.org/wiki/Q1163616,NULL,NULL,NULL,NULL
