Lon,Lat,Name,Region,Part_of,Type,Passages,Location,Pleiades,ToposText,Wikidata,Manto,Altname,URL,Arachne
22.42338,37.08265,"Athena Chalkioikos sanctuary on acropolis of Sparta","Lakonia Bk3","Acropolis of Sparta",['hieron'],"['10.5.11','3.17.2','3.17.7','4.15.5']",NULL,NULL,https://topostext.org/place/371224SACh,https://wikidata.org/wiki/Q57302774,https://resource.manto.unh.edu/10150378,NULL,NULL,NULL
22.5152,38.4915,"Lykoreia (Phokis)","Phokis Bk10","Phokis Bk10",['settlement'],"['10.6.2','10.6.3','4.34.9']",NULL,NULL,https://topostext.org/place/385225ULyk,https://wikidata.org/wiki/Q5975192,NULL,Lycoreia,NULL,NULL
22.30245,39.50051,Krannon/Ephyra,"Hellas (Europe)",Thessalia,['polis'],"['10.3.4','5.8.8']",NULL,https://pleiades.stoa.org/places/540886,NULL,https://wikidata.org/wiki/Q56427665,NULL,NULL,NULL,NULL
22.663,38.4296,"level place Ambrossos-Antikyra road, 2 stadia uphill from Ambrossos","Phokis Bk10","Phokis Bk10",['chorion'],['10.36.5'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.68143,38.47571,"Tomb of Laios and his servant at three-way junction","Phokis Bk10","Three-way junction on the Schiste hodos",['mnema'],['10.5.4'],"Three-way junction on the Schiste hodos",NULL,NULL,NULL,https://resource.manto.unh.edu/10269073,NULL,NULL,NULL
22.450621,38.428937,"Sacred lands of Apollo, near Delphi, Cirra's territory dedicated after Sacred War","Phokis Bk10",Kirra,['chora'],['10.15.1'],Kirra,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25.336030000000004,36.7136,"Tomb of Clymene, mother of Homer, somewhere on Ios","Aegean Sea (Hellas)","Ios (island)",['mnema'],['10.24.2'],"Ios (island)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.43516,38.9046,Lamia,"Hellas (Europe)",Phthiotis,['settlement'],"['1.1.3','1.4.3','1.8.2','10.3.4','6.4.7','7.10.4','7.10.5','7.15.2','7.6.5']",NULL,https://pleiades.stoa.org/places/540902,NULL,https://wikidata.org/wiki/Q192980,NULL,NULL,NULL,NULL
22.9154,38.58006,"Agora of Abai","Phokis Bk10",Abai,['agora'],['10.35.4'],Abai,NULL,NULL,https://wikidata.org/wiki/Q133963428,NULL,NULL,NULL,NULL
22.72926,38.50665,Daulis,"Phokis Bk10","Phokis Bk10",['settlement'],"['1.41.8','10.3.1','10.35.8','10.4.10','10.4.7','10.4.8','10.5.1']",NULL,https://pleiades.stoa.org/places/540723,NULL,https://wikidata.org/wiki/Q1172948,NULL,NULL,NULL,NULL
