Lon,Lat,Name,Region,Part_of,Type,Passages,Location,Pleiades,ToposText,Wikidata,Manto,Altname,URL,Arachne
21.374,37.89,"Temple of Hades at Elis","Eleia Bk5 Bk6","Sanctuary of Hades at Elis",['naos'],['6.25.2'],"Sanctuary of Hades at Elis",NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.63754,37.64094,"Sanctuary of Demeter Chamyne at Olympia","Eleia Bk5 Bk6",Olympia,['hieron'],['6.21.1'],NULL,https://pleiades.stoa.org/places/469444289,https://topostext.org/place/376216SDCh,https://wikidata.org/wiki/Q97446599,https://resource.manto.unh.edu/10268821,NULL,NULL,NULL
23.58944,38.46276,Euripos,"Euboea (island)","Euboian Gulf",['settlement'],"['1.23.3','1.38.1','2.24.6','5.23.2','6.13.8','7.7.6','9.12.6','9.19.6','9.22.5','9.31.3']",NULL,https://pleiades.stoa.org/places/540783,NULL,https://wikidata.org/wiki/Q1137741,NULL,NULL,NULL,NULL
23.42372,37.74991,"Aigina polity","Aigina island Bk2","Aigina island Bk2",['polis'],"['1.44.9','2.29.6','6.9.3','7.5.5']",NULL,https://pleiades.stoa.org/places/579853,https://topostext.org/place/378234PAig,https://wikidata.org/wiki/Q191082,NULL,"Aegina polis",NULL,NULL
22.43516,38.9046,Lamia,"Hellas (Europe)",Phthiotis,['settlement'],"['1.1.3','1.4.3','1.8.2','10.3.4','6.4.7','7.10.4','7.10.5','7.15.2','7.6.5']",NULL,https://pleiades.stoa.org/places/540902,NULL,https://wikidata.org/wiki/Q192980,NULL,NULL,NULL,NULL
21.631,37.641,"summit of Kronion Mt. at Olympia","Eleia Bk5 Bk6",Kronion,['koryphe'],['6.20.1'],Kronion,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27.52785,37.8507,"Magnesia ad Maeandrum/Leukophrys","Asia Minor (Asia)","Ionia (region)",['settlement'],"['1.1.2','5.21.10','6.17.3']",NULL,https://pleiades.stoa.org/places/599778,NULL,https://wikidata.org/wiki/Q1432674,NULL,NULL,NULL,NULL
21.374,37.89,"small building for Sosipolis on left of Tyche in Elis","Eleia Bk5 Bk6","Elis polis",['oikema'],['6.25.4'],"Elis polis",NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,19.5,"Seria island in the Red Sea","Asia (continent)","Erythraeum Mare",['nesos'],['6.26.9'],"Erythraeum Mare",NULL,NULL,NULL,NULL,NULL,NULL,NULL
26.858519999999995,39.69936,"Ida (mountain)","Asia Minor (Asia)",Troas,['oros'],"['10.12.3','10.12.4','3.13.5','6.4.9','7.3.8']",NULL,https://pleiades.stoa.org/places/550592,NULL,https://wikidata.org/wiki/Q1127771,NULL,NULL,NULL,NULL
21.630126,37.637849,"Stele of Chionis at Olympia","Eleia Bk5 Bk6",Olympia,['stele'],['6.13.5'],Olympia,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16.25,39.25,"Sabutus (river)","Italia (Europe)","Italia (Europe)",['potamos'],['6.6.11'],NULL,https://pleiades.stoa.org/places/452424,NULL,https://wikidata.org/wiki/Q605363,NULL,NULL,NULL,NULL
15.002988,37.279759,"Leontini, Lentini","Sicilia (island)","Sicilia (island)",['polis'],['6.17.9'],NULL,https://pleiades.stoa.org/places/462279,NULL,https://wikidata.org/wiki/Q3830644,NULL,NULL,NULL,NULL
42.5,12.5,Abasa,"Asia (continent)","Erythraeum Mare",['nesos'],['6.26.9'],NULL,https://pleiades.stoa.org/places/39262,NULL,NULL,NULL,Abasenoi?,NULL,NULL
22.305,37.533,Mainalos,"Arcadia Bk8","Arcadia Bk8",['polis'],"['5.27.1','6.6.1','6.6.3','6.8.5','8.27.3','8.3.4','8.36.5','8.36.8','8.9.3','8.9.4']",NULL,https://pleiades.stoa.org/places/570451,NULL,https://wikidata.org/wiki/Q11936450,NULL,NULL,NULL,NULL
21.6296,37.638,"Hippodamion at Olympia","Eleia Bk5 Bk6","Altis sacred grove (Olympia)","['hieron','mnema']","['5.22.2','6.20.7']",NULL,NULL,https://topostext.org/place/376216SHpd,https://wikidata.org/wiki/Q1619976,https://resource.manto.unh.edu/10217964,NULL,NULL,NULL
