BookID,Place,Links,Lat,Lon,Type,Description
6.1.3,"ἀνδρὸς εἰκὼν παλαιστοῦ",http://arachne.dainst.org/entity/3586509,37.638043,21.630599,NULL," - "
6.1.3,Ἀργείου,http://pleiades.stoa.org/places/570106,37.631561,22.719464,settlement," - "
6.1.3,Ἀρκάδων,http://pleiades.stoa.org/places/570102,37.567419268449626,22.165323097346306,region," - "
6.1.3,"ἐφεξῆς δὲ",http://arachne.dainst.org/entity/3586511,37.638043,21.630599,NULL," - "
6.1.3,Ἠλεῖος,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.1.3,"ναοῦ τῆς Ἥρας",http://topostext.org/place/376216SOHe,37.63886,21.62998,NULL," - "
6.1.3,"παρὰ δὲ αὐτὸν",http://arachne.dainst.org/entity/3586510,37.638043,21.630599,NULL," - "
6.1.3,Σικυώνιος,http://pleiades.stoa.org/places/570668,37.98336,22.71135,settlement," - "
6.1.3,Φενεοῦ,http://pleiades.stoa.org/places/570595,37.91045,22.30692,settlement," - "
6.1.4,Ἤλιδος,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.1.4,Κλεογένους,http://arachne.dainst.org/entity/3586512,37.638043,21.630599,NULL," - "
6.1.5,ἀνδριάντα,http://arachne.dainst.org/entity/3586514,37.638043,21.630599,NULL," - "
6.1.5,εἰκών,http://arachne.dainst.org/entity/3586513,37.638043,21.630599,NULL," - "
6.1.5,Ἠλείοις,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.1.5,Σικυωνίου,http://pleiades.stoa.org/places/570668,37.98336,22.71135,settlement," - "
6.1.6,"ἀνδριάντα τοῦ Τρωίλου",http://arachne.dainst.org/entity/3586514,37.638043,21.630599,NULL," - "
6.1.6,Λακεδαιμονίων,http://pleiades.stoa.org/places/570406,37.07624042080912,22.46082645177671,region," - "
6.1.6,"λίθου κρηπὶς καὶ ἅρμα τε ἵππων καὶ ἀνὴρ ἡνίοχος καὶ αὐτῆς Κυνίσκας εἰκών",http://arachne.dainst.org/entity/4020527,37.638043,21.630599,NULL," - "
6.1.6,Ὀλυμπίᾳ,http://pleiades.stoa.org/places/570531,37.637849,21.630126,"palaistra,sanctuary,temple-2",NULL
6.1.7,"ἡ δὲ εἰκὼν",http://arachne.dainst.org/entity/4020528,37.638043,21.630599,NULL," - "
6.1.7,Κυνίσκᾳ,http://arachne.dainst.org/entity/4020527,37.638043,21.630599,NULL," - "
6.1.7,Λακεδαιμόνιοι,http://pleiades.stoa.org/places/570406,37.07624042080912,22.46082645177671,region," - "
6.1.7,"τὸ δὲ ἐπίγραμμά",http://arachne.dainst.org/entity/3586515,37.638043,21.630599,NULL," - "
6.1.8,Νεμέᾳ,http://pleiades.stoa.org/places/570504,37.808904,22.7108171,"sanctuary,temple-2"," - Q527006Nemean Games"
6.1.8,Πυθοῖ,http://pleiades.stoa.org/places/540726,38.482289,22.501169,"sanctuary,settlement"," - Q649128Pythian Games"
6.2.1,Ἀκαρνᾶνος,http://pleiades.stoa.org/places/530767,38.672287499999996,21.317874500000002,region," - "
6.2.1,Ἀκαρνάνων,http://pleiades.stoa.org/places/530767,38.672287499999996,21.317874500000002,region," - "
6.2.1,ἀνδριάντα,http://arachne.dainst.org/entity/3586516,37.638043,21.630599,NULL," - "
6.2.1,Ἑλλήνων,http://pleiades.stoa.org/places/1001896,37.5,22.5,province," - "
6.2.1,Λακεδαιμόνιοι,http://pleiades.stoa.org/places/570406,37.07624042080912,22.46082645177671,region," - "
6.2.1,Μήδου,http://pleiades.stoa.org/places/903080,34.5,46.5,region," - "
6.2.1,Ξενάρκης,http://arachne.dainst.org/entity/3586517,37.638043,21.630599,NULL," - "
6.2.1,Σπάρτης,http://pleiades.stoa.org/places/570685,37.08149,22.42454,"theatre,temple,settlement,temple-2"," - "
6.2.1,Στράτου,http://pleiades.stoa.org/places/531104,38.67111,21.31578,settlement," - "
6.2.2,Ἀθηναίου,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement," - "
6.2.2,ἀνδριάντας,http://arachne.dainst.org/entity/3586518,37.638043,21.630599,NULL," - object|andriastwo statues"
6.2.2,Ἄργει,http://pleiades.stoa.org/places/570106,37.631561,22.719464,settlement," - agônNemean Games"
6.2.2,Δελφοῖς,http://pleiades.stoa.org/places/540726,38.482289,22.501169,"sanctuary,settlement"," - "
6.2.2,Θηβαίων,http://pleiades.stoa.org/places/541138,38.318092,23.255096,"sanctuary,settlement"," - "
6.2.2,Κορίνθῳ,http://pleiades.stoa.org/places/570182,37.906045,22.878721,"sanctuary,settlement,fort",NULL
6.2.2,Λακεδαιμονίων,http://pleiades.stoa.org/places/570406,37.07624042080912,22.46082645177671,region," - "
6.2.2,Λίχαν,http://arachne.dainst.org/entity/3586520,37.638043,21.630599,NULL," - "
6.2.2,Ὀλυμπίαν,http://pleiades.stoa.org/places/570531,37.637849,21.630126,"palaistra,sanctuary,temple-2",NULL
6.2.2,"τῷ δὲ",http://arachne.dainst.org/entity/3586519,37.638043,21.630599,NULL," - object|statueArkesilaos statue"
6.2.3,Ἄλτεως,http://topostext.org/place/376216SAlt,37.63754,21.62975,NULL," - "
6.2.3,εἰκόνα,http://arachne.dainst.org/entity/3586520,37.638043,21.630599,NULL," - "
6.2.3,Ἠλείους,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.2.3,Ἠλείων,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.2.3,Θηβαίων,http://pleiades.stoa.org/places/541138,38.318092,23.255096,"sanctuary,settlement"," - "
6.2.3,Λακεδαιμονίων,http://pleiades.stoa.org/places/570406,37.07624042080912,22.46082645177671,region," - "
6.2.4,Ἠλεῖος,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.2.4,Λακεδαιμονίων,http://pleiades.stoa.org/places/570406,37.07624042080912,22.46082645177671,region," - "
6.2.4,Μαντινεῦσιν,http://pleiades.stoa.org/places/570459,37.618138,22.393259,settlement," - "
6.2.4,"πλησίον μάντις ἕστηκεν",http://arachne.dainst.org/entity/3586521,37.638043,21.630599,NULL," - "
6.2.5,Κύπριοι,http://pleiades.stoa.org/places/707498,35.040883529816504,33.27533716422018,island," - "
6.2.6,εἰκόνα,http://arachne.dainst.org/entity/3586522,37.638043,21.630599,NULL," - "
6.2.6,εἰκόνι,http://arachne.dainst.org/entity/3586524,37.638043,21.630599,NULL," - "
6.2.6,Ἠλεῖος,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.2.6,Θρασυβούλου,http://arachne.dainst.org/entity/3586521,37.638043,21.630599,NULL," - "
6.2.6,Ἰώνων,http://pleiades.stoa.org/places/550597,38.258572855555556,27.36601213333333,region," - "
6.2.6,Μιλήσιον,http://pleiades.stoa.org/places/599799,37.5292362,27.2774885,"theatre,settlement,port"," - "
6.2.6,Μιλήσιος,http://pleiades.stoa.org/places/599799,37.5292362,27.2774885,"theatre,settlement,port"," - "
6.2.6,Ὀλυμπίαν,http://pleiades.stoa.org/places/570531,37.637849,21.630126,"palaistra,sanctuary,temple-2",NULL
6.2.6,Συρακοσίων,http://pleiades.stoa.org/places/462503,37.05963,15.29382,settlement," - "
6.2.6,Συρακουσῶν,http://pleiades.stoa.org/places/462503,37.05963,15.29382,settlement," - "
6.2.7,ἄγαλμα,http://arachne.dainst.org/entity/3586523,36.20655,36.15722,NULL," - object|agalmaTyche of Antioch"
6.2.7,Ὀρόντῃ,http://pleiades.stoa.org/places/658560,35.2728339,36.4825754,river," - "
6.2.7,Σικυώνιος,http://pleiades.stoa.org/places/570668,37.98336,22.71135,settlement," - "
6.2.7,Σύροις,http://pleiades.stoa.org/places/991407,37.5,37.5,province," - "
6.2.8,Ἄλτει,http://topostext.org/place/376216SAlt,37.63754,21.62975,NULL," - "
6.2.8,Ἠλείοις,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.2.8,"παιδίον ἐπὶ ἵππῳ καθήμενον",http://arachne.dainst.org/entity/4020529,37.638043,21.630599,NULL," - "
6.2.8,Σικυώνιος,http://pleiades.stoa.org/places/570668,37.98336,22.71135,settlement," - "
6.2.8,"Τιμοσθένους ἀνδριάντα",http://arachne.dainst.org/entity/3586522,37.638043,21.630599,NULL," - "
6.2.8,τρόπαιον,http://arachne.dainst.org/entity/3586507,37.638043,21.630599,NULL," - object|tropaion|PausTrophy Eleans against Spartans in Altis"
6.2.9,ἐπίγραμμα,http://arachne.dainst.org/entity/3586525,37.638043,21.630599,NULL," - object|unnamed|epigramma|workSamian pyktes, no name"
6.2.9,Ἰώνων,http://pleiades.stoa.org/places/550597,38.258572855555556,27.36601213333333,region," - "
6.2.9,Σάμιοι,http://pleiades.stoa.org/places/599641,37.73,26.84,"island,sanctuary,settlement,temple-2"," - "
6.2.9,Σαμίῳ,http://pleiades.stoa.org/places/599641,37.73,26.84,"island,sanctuary,settlement,temple-2"," - "
6.2.10,"ἐπὶ πορθμῷ Μεσσηνίων",http://pleiades.stoa.org/places/462538,38.1923323,15.5555232,settlement," - "
6.2.10,Ζαγκλαίων,http://pleiades.stoa.org/places/462538,38.1923323,15.5555232,settlement," - "
6.2.10,Μεσσήνιος,http://pleiades.stoa.org/places/570480,37.06945533333334,21.9323415,region," - "
6.2.10,Μεσσηνίους,http://pleiades.stoa.org/places/570480,37.06945533333334,21.9323415,region," - "
6.2.10,Ναυπάκτου,http://pleiades.stoa.org/places/540960,38.41224,22.315807,"city-wall,settlement"," - "
6.2.10,Ὀλυμπίᾳ,http://pleiades.stoa.org/places/570531,37.637849,21.630126,"palaistra,sanctuary,temple-2",NULL
6.2.10,Πελοποννήσου,http://pleiades.stoa.org/places/570577,37.25289777692308,22.312752688461543,"peninsula,region"," - "
6.2.10,Σικελιῶται,http://pleiades.stoa.org/places/462492,37.53667611952188,14.08648464579389,island," - "
6.2.10,Σικελιώτης,http://pleiades.stoa.org/places/462492,37.53667611952188,14.08648464579389,island," - "
6.2.11,Ἠλείων,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.2.11,Μεσσήνης,http://pleiades.stoa.org/places/570479,37.175491,21.920439,"sanctuary,settlement,fort"," - "
6.2.11,Νεμέᾳ,http://pleiades.stoa.org/places/570504,37.808904,22.7108171,"sanctuary,temple-2"," - Q527006Nemean Games"
6.2.11,Πελοπόννησον,http://pleiades.stoa.org/places/570577,37.25289777692308,22.312752688461543,"peninsula,region",NULL
6.3.1,Αἰγύπτου,http://pleiades.stoa.org/places/981503,19.211408766666665,30.567329633333333,region," - "
6.3.1,ἀνάθημά,http://arachne.dainst.org/entity/3586527,37.638043,21.630599,NULL," - "
6.3.1,ἀνδριάντα,http://arachne.dainst.org/entity/3586528,37.638043,21.630599,NULL," - "
6.3.1,Δαμίσκου,http://arachne.dainst.org/entity/3586526,37.638043,21.630599,NULL," - "
6.3.1,Μακεδόνα,http://pleiades.stoa.org/places/491656,41.25,21.75,unknown," - "
6.3.1,Σικυωνίῳ,http://pleiades.stoa.org/places/570668,37.98336,22.71135,settlement," - "
6.3.2,ἀνὴρ,http://arachne.dainst.org/entity/3586530,37.638043,21.630599,NULL," - "
6.3.2,Ἠλείοις,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.3.2,Ἠλεῖος,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.3.2,Μεσσήνιός,http://topostext.org/place/372218RMes,37.2,21.8,NULL," - "
6.3.2,Ὀλυμπίᾳ,http://pleiades.stoa.org/places/570531,37.637849,21.630126,"palaistra,sanctuary,temple-2",NULL
6.3.2,παῖς,http://arachne.dainst.org/entity/3586529,37.638043,21.630599,NULL," - "
6.3.2,Χαιρέαν,http://arachne.dainst.org/entity/3586528,37.638043,21.630599,NULL,NULL
6.3.3,Βοιωτίας,http://pleiades.stoa.org/places/540689,38.34668803333333,23.184677533333332,region," - "
6.3.3,Ἠλεῖοί,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.3.3,Ἠλείων,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.3.3,Θηβαίων,http://pleiades.stoa.org/places/541138,38.318092,23.255096,"sanctuary,settlement"," - "
6.3.3,Λακεδαιμονίων,http://pleiades.stoa.org/places/570406,37.07624042080912,22.46082645177671,region," - "
6.3.3,Λεύκτροις,http://topostext.org/place/383231ULeu,38.2647,23.1743,NULL," - "
6.3.3,Σικυῶνα,http://pleiades.stoa.org/places/570668,37.98336,22.71135,settlement,NULL
6.3.3,Σικυωνίων,http://pleiades.stoa.org/places/570668,37.98336,22.71135,settlement," - "
6.3.3,Σικυῶνος,http://pleiades.stoa.org/places/570668,37.98336,22.71135,settlement," - "
6.3.4,εἰκών,http://arachne.dainst.org/entity/3586532,37.638043,21.630599,NULL," - "
6.3.4,Ἠλείων,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.3.4,Ἤλιδος,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.3.4,Λεπρέου,http://pleiades.stoa.org/places/570423,37.439599,21.724777,settlement," - "
6.3.4,Πυθοῖ,http://pleiades.stoa.org/places/540726,38.482289,22.501169,"sanctuary,settlement"," - Q649128Pythian Games"
6.3.4,πύκτης,http://arachne.dainst.org/entity/3586531,37.638043,21.630599,NULL," - "
6.3.4,Σικυωνίου,http://pleiades.stoa.org/places/570668,37.98336,22.71135,settlement," - "
6.3.5,Ἀττικὸν,http://pleiades.stoa.org/places/579888,38.051998833333336,23.818991099999998,region," - "
6.3.5,Ἠλεῖον,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.3.5,Καλαυρείας,http://pleiades.stoa.org/places/570325,37.52255,23.48041,island," - "
6.3.5,Κορκυραῖος,http://pleiades.stoa.org/places/530834,39.60733,19.92178,settlement," - "
6.3.5,κρατήσαντα,http://arachne.dainst.org/entity/3586533,37.638043,21.630599,NULL," - "
6.3.5,Σικυώνιος,http://pleiades.stoa.org/places/570668,37.98336,22.71135,settlement," - "
6.3.6,Αἰγείρας,http://topostext.org/place/381224PAig,38.1286,22.3777,NULL," - "
6.3.6,ἀνδριάντα,http://arachne.dainst.org/entity/3586534,37.638043,21.630599,NULL," - "
6.3.6,Ἀχαιῶν,http://pleiades.stoa.org/places/570028,38.102121472776034,22.224585911364017,region," - "
6.3.6,Ἠλείων,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.3.6,Σικυώνιος,http://pleiades.stoa.org/places/570668,37.98336,22.71135,settlement," - "
6.3.7,Ἀμβρακιώτῃ,http://pleiades.stoa.org/places/530794,39.04107,20.95316,settlement," - "
6.3.7,εἰκόνα,http://arachne.dainst.org/entity/3586535,37.638043,21.630599,NULL," - "
6.3.7,Ἠλείου,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement"," - "
6.3.7,Σικυώνιος,http://pleiades.stoa.org/places/570668,37.98336,22.71135,settlement," - "
6.3.8,ἀνδριάντα,http://arachne.dainst.org/entity/3586536,37.638043,21.630599,NULL," - "
