BookID,Place,Links,Lat,Lon,Type,Label,Tags,Comments
3.1.1,Ἑρμᾶς,http://pleiades.stoa.org/places/570291,37.32399,22.543094,temple,"Hermai, Phonemenoi|Hermai","built|monument|Paus|37.3091 22.5324","DAI3652686 Hermai border monuments"
3.1.1,Εὐρώταν,http://pleiades.stoa.org/places/570248,37.1615197,22.3334931,river,"Eurotas (river)",physical|potamos,NULL
3.1.1,θάλασσαν,http://topostext.org/place/367227WLac,36.66,22.71,NULL,"Laconian Gulf (Lakonia)",thalassa,"Lakonian gulf"
3.1.1,Λακεδαιμόνιοι,http://pleiades.stoa.org/places/570406,37.07624042080912,22.46082645177671,region,Lacedaemon/Laconia,historical|Lakedaimonians|proxy,NULL
3.1.1,Λακωνικὴ,http://pleiades.stoa.org/places/570406,37.07624042080912,22.46082645177671,region,Lacedaemon/Laconia,regional,NULL
3.1.2,ὄρος,http://pleiades.stoa.org/places/570706,36.9528148,22.3503405,mountain,"Taygetos Mons, Taygetos|Taygetos M.",physical|oros,NULL
3.1.2,Σπάρτη,http://dare.ht.lu.se/places/21911,37.08149,22.42454,"theatre,temple,settlement,temple-2","Sparta/Sparte, Sparti|Sparta",built|polis,NULL
3.1.3,"ἄγαλμα τοῦ Ἀπόλλωνος",http://arachne.dainst.org/entity/3586274,37.02692,22.43636,NULL,"Cult image: Apollo Amyklaios  Amykles (Paus. 3.1.3; Paus. 3.10.8; Paus. 3.16.2; Paus. 3.19.1-3)",object|agalma|Apollo,NULL
3.1.3,Ἀμύκλαις,http://pleiades.stoa.org/places/570074,35.0133,24.76084,"settlement,port","Amyklaion?, Kommos|Amyklai/Amyclae, Agia Kyriaki, Amykles|Amyklai|Amyklaion?",built,NULL
3.1.3,Ἀμύκλας,http://pleiades.stoa.org/places/570074,35.0133,24.76084,"settlement,port","Amyklaion?, Kommos|Amyklai/Amyclae, Agia Kyriaki, Amykles|Amyklai|Amyklaion?",built,NULL
3.1.3,Λακωνικῇ,http://pleiades.stoa.org/places/570406,37.07624042080912,22.46082645177671,region,Lacedaemon/Laconia,regional,NULL
