"nodegoat ID",Identifier,Sort_order,"[AnimationClock] Location Reference","[AnimationClock] Date Start","[Location] Geometry"
ngSZ0q687SJSfSfm9UL49BZPWDLG1AfHHS6c0WZm,1.6.2,29,"Monument of the Eponymous Heroes in Agora of Athens",29-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}"
ngTA0L788TqT7Tgn0Ts5dCAIXUMIjBgMITrd7XAn,1.6.3,30,"Monument of the Eponymous Heroes in Agora of Athens",30-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}"
ngUB0M889UBU8UhC1WD68DBDYVtJkChNJUCe8YBC,1.6.4,31,"Monument of the Eponymous Heroes in Agora of Athens",31-07-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}"
ngVC0H980VsViViZ2WO73ECAZGOJ1DiSKV9f9ZCZ,1.6.5,32,"Monument of the Eponymous Heroes in Agora of Athens",01-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}"
ngWD1E081WtWiWjA3Wv80FDrAHPK1EjTLWug0ADS,1.6.6,33,"Monument of the Eponymous Heroes in Agora of Athens",02-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}"
ngXE1r182XEXkXkX4ZQ93GEsBIQL5FkQMX1hkBEr,1.6.7,34,"Monument of the Eponymous Heroes in Agora of Athens",03-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}"
ngYF1o283YFY4Yls5ZH07HFVCJRM5GlRNZwi6CFG,1.6.8,35,"Monument of the Eponymous Heroes in Agora of Athens",04-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}"
ngZG1R384BGZ4ZmR6A416IGWDKSNkHmyOAHjkDGp,1.7.1,36,"Monument of the Eponymous Heroes in Agora of Athens",05-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}"
ngAH1S485BHAmAnO7AT28JJlEAJO5InXPASkkEHu,1.7.2,37,"Monument of the Eponymous Heroes in Agora of Athens",06-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}"
ngBI1B586BoBmBoz8C63oKIYFMUPoJoCQBJl0FIr,1.7.3,38,"Monument of the Eponymous Heroes in Agora of Athens",07-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}"
ngCJ1Y687CzC1Cps9CL40LJHGNVQoKpZREKm9GJU,1.8.1,39,"Monument of the Eponymous Heroes in Agora of Athens",08-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}"
ngDK1D788DUD9DqH0Dc52MKcHEcStLqESDVn9HKH,1.8.2,40,"Agora of Athens",09-08-165,"{""type"": ""Point"", ""coordinates"": [23.723000000000003, 37.975]}"
