"nodegoat ID",Identifier,Sort_order,"[AnimationClock] Location Reference","[AnimationClock] Date Start","[Location] Geometry"
ngKR5W081LBK0KxK3LD83TRHOLDZaSxXZLCu0ORK,2.8.3,373,"Heroon of Aratos at Sicyon",08-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngLS5X182LyL1LyD4Lk9yUSMPMkAbTyYAL1v1PSD,2.8.4,374,"Heroon of Aratos at Sicyon",09-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngMT5Y283NjMzMzg5M304VThQNFBcUzZBNkwzQTg,2.8.5,375,"Heroon of Aratos at Sicyon",10-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngNU5Z384OUNaNaZ6PW14WUmRNmCdVaACOVxaRUZ,2.8.6,376,"Heroon of Aratos at Sicyon",11-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngOV5A485OFOzObW7On27XVTSQHDeWbBDOGyzSVW,2.9.1,377,"Heroon of Aratos at Sicyon",12-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngPW5B586PGP5PcP8Po30YWoTPoEfXcCEPHz5TWP,2.9.2,378,"Heroon of Aratos at Sicyon",13-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngQX5Y687SXQ6QdI9QJ46ZXDUQJFgYdZFSYa6UXI,2.9.3,379,"Heroon of Aratos at Sicyon",14-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngRY5D788RoR8Rep0SK50AYEVRKGhZeEGRpb8VYp,2.9.4,380,"Heroon of Aratos at Sicyon",15-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngSZ5E889SZSfSfE1T968BZPWULHiAfFHSAcfWZE,2.9.5,381,"Heroon of Aratos at Sicyon",16-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngTA5B980UqTeTgB2TM73CAUXTsIjBgCIUrdeXAB,2.9.6,382,"Stoa of Cleisthenes in Sicyon",17-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngUB6C081VBUfUhU3Vt83DBZYUNJkChDJVCefYBU,2.9.7,383,"Sanctuary of Apollo Lykios at Sicyon, in ruins",18-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngVC6D182XMViViJ4WO91ECSZWOKlDiEKXNfiZCJ,2.9.8,384,"Sanctuary of Apollo Lykios at Sicyon, in ruins",19-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngWD6E283XjW3WjA5XP0iFDrAXPLmEjFLX2g3ADA,2.10.1,385,"Sanctuary of Herakles at Sicyon",20-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngXE6F384XuXkXkX6YG15GEQBYwMnFkGMXvhkBEX,2.10.2,386,"Sanctuary of Asklepios at Sicyon",21-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngYF6G485YFYlYlo7AR28HFxCYxNoGlHNYGilCFo,2.10.3,387,"Sanctuary of Asklepios at Sicyon",22-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngZG6H586AQZlZmt8ZS36IGMDBSOpHmIOARjlDGt,2.10.4,388,"Sanctuary of Aphrodite at Sicyon",23-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngAH6I687AnAmAnq9AT4nJHPECTPqInJPA6kmEHq,2.10.5,389,"Sanctuary of Aphrodite at Sicyon",24-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngBI6v788BIB9BoP0DU5mKIGFCUQrJowQBJl9FIP,2.10.6,390,"Sanctuary of Aphrodite at Sicyon",25-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngCJ6w889CTC9Cps1D968LJVGCbRsKpxRCUm9GJs,2.10.7,391,"Gymnasium at Sicyon",26-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngDK6x980DqDnDqZ2FW70MKQHFWStLqySD9nnHKZ,2.11.1,392,"temple and altar of Athena at Sicyon, built by Epopeus",27-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngEL7y081EbEoErW3FX80NLJIFXTuMrzTEcooILW,2.11.2,393,"Temple of Apollo Karneios at Sicyon",28-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngFM7v182GcF4Fsd4F292OMUJGYUvNswUGdp4JMd,2.11.3,394,"Sanctuary of Demeter Prostasia and Kore, on the left of the road from Sicyon to Phlious, and just about 10 stades from it",29-07-166,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
ngGN7w283HNG3GtU5IP0rPNZKHfVwOtxVHOq3KNU,2.11.4,395,"Temple of the Eumenides on Sicyon-Titane road",30-07-166,"{""type"": ""Point"", ""coordinates"": [22.678, 37.96]}"
ngHO7x384JYH5Hub6JQ1rQOILHgWxPuyWJZr5LOb,2.11.5,396,Titane,31-07-166,"{""type"": ""Point"", ""coordinates"": [22.62501, 37.92049]}"
ngIP7y485JvI6IvU7Jh27RPRMJhXyQvzXJ4s6MPU,2.11.6,397,"Asclepieion of Titane",01-08-166,"{""type"": ""Point"", ""coordinates"": [22.62501, 37.92049]}"
ngJQ7z586JgJ8Jwz8J636SQGNJCYzRwaYJht8NQz,2.11.7,398,"Asclepieion of Titane",02-08-166,"{""type"": ""Point"", ""coordinates"": [22.62501, 37.92049]}"
ngKR7a687KRK9KxS9MT4xTRjOLjZaSxbZKSu9ORS,2.11.8,399,"Asclepieion of Titane",03-08-166,"{""type"": ""Point"", ""coordinates"": [22.62501, 37.92049]}"
ngLS7b788MCL2LyL0LU57USMPLkAbTycAMDv2PSL,2.12.1,400,"Sanctuary of Athena in Titane",04-08-166,"{""type"": ""Point"", ""coordinates"": [22.62501, 37.92049]}"
ngMT7c889MzM3MzA1MF61VTNQMlBcUzdBM8w3QTA,2.12.2,401,"highway Sicyon to Aristonautai",05-08-166,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[22.75206371546207, 38.00682761906015], [22.63056715731588, 38.0772845475189]]}]}"
ngNU7Z980PEN9NaJ2NW74WUWRNmCdVaACPFx9RUJ,2.12.3,402,"straight road Sicyon to Phlious",06-08-166,"{""type"": ""LineString"", ""coordinates"": [[22.726396, 37.982321], [22.725522, 37.980813], [22.726492, 37.978791], [22.725143, 37.977837], [22.722838, 37.975635], [22.722692, 37.975022], [22.721875, 37.974774], [22.717733, 37.972515], [22.71467, 37.972355], [22.709941, 37.972698], [22.706137, 37.972176], [22.703123, 37.972236], [22.701318, 37.972042], [22.696395, 37.968804], [22.693337, 37.969252], [22.691337, 37.969864], [22.69004, 37.96967], [22.689204, 37.969878], [22.688548, 37.96958], [22.686907, 37.969341], [22.685027, 37.967984], [22.684907, 37.967506], [22.682729, 37.965283], [22.682297, 37.964418], [22.681387, 37.963598], [22.681208, 37.962971], [22.679179, 37.96233], [22.678209, 37.960733], [22.677642, 37.960241], [22.677791, 37.959823], [22.678761, 37.959346], [22.679283, 37.9586], [22.678492, 37.956909], [22.678291, 37.954856], [22.678014, 37.953768], [22.678654, 37.953233], [22.67885, 37.952424], [22.679582, 37.952304], [22.680357, 37.951528], [22.680715, 37.950947], [22.680924, 37.950081], [22.681519, 37.94971], [22.68149, 37.949147], [22.68086, 37.948622], [22.681089, 37.947275], [22.681815, 37.94507], [22.681289, 37.94464], [22.679914, 37.944249], [22.678664, 37.943552], [22.678473, 37.942902], [22.676687, 37.941604], [22.67537, 37.939704], [22.670598, 37.938412], [22.669432, 37.936944], [22.666705, 37.935778], [22.663979, 37.935006], [22.663721, 37.93324], [22.662795, 37.932333], [22.658422, 37.930538], [22.657601, 37.929325], [22.656771, 37.9273], [22.656711, 37.926569], [22.656995, 37.925615], [22.657189, 37.923929], [22.656457, 37.923183], [22.655756, 37.922139], [22.655577, 37.921273], [22.65592, 37.920139], [22.655935, 37.919364], [22.655339, 37.918767], [22.654622, 37.91735], [22.654787, 37.916305], [22.654533, 37.914843], [22.654682, 37.91186], [22.65513, 37.910875], [22.655428, 37.908682], [22.655354, 37.907503], [22.655518, 37.905847], [22.654891, 37.904549], [22.654115, 37.90446], [22.652519, 37.90252], [22.651504, 37.900477], [22.651504, 37.900477], [22.649207, 37.898492], [22.648625, 37.896807], [22.648103, 37.896165], [22.64779, 37.894181], [22.648297, 37.892227], [22.648625, 37.891898], [22.649058, 37.88972], [22.649416, 37.889168], [22.651415, 37.88887], [22.651576, 37.888178], [22.651343, 37.887106], [22.650667, 37.886593], [22.65104, 37.884378], [22.650644, 37.882117], [22.651273, 37.881278], [22.652042, 37.879157], [22.652532, 37.875987], [22.653814, 37.874518], [22.653255, 37.873702], [22.652252, 37.873119], [22.652066, 37.871628], [22.65153, 37.870882], [22.651343, 37.869227], [22.650737, 37.868597], [22.650947, 37.867268], [22.650667, 37.866756], [22.650201, 37.866429], [22.650084, 37.86594], [22.650364, 37.865334], [22.649455, 37.864028], [22.648499, 37.863679], [22.648313, 37.862746], [22.647241, 37.860648], [22.645143, 37.858317], [22.644863, 37.856103], [22.6447, 37.850159], [22.645585, 37.846779]]}"
ngOV8A081PbO0ObG3OX83XVLSPHDeWbBDP0y0SVG,2.12.4,403,"Phlious Bk2",07-08-166,"{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}"
ngPW8f182PGP3PcT4PY9aYWITPoEfXcgEPHz3TWT,2.12.5,404,"Phlious Bk2",08-08-166,"{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}"
ngQX8g283QHQ7QdM5SZ03ZXFUSJFgYdhFQIa7UXM,2.12.6,405,"Phlious Bk2",09-08-166,"{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}"
ngRY8D384TYR8ReJ6SA1cAYmVSKGhZeEGTZb8VYJ,2.13.1,406,"Phlious Bk2",10-08-166,"{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}"
ngSZ8q485UJSeSfA7Sr29BZrWTrHiAfrHUKceWZA,2.13.2,407,"Phlious Bk2",11-08-166,"{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}"
ngTA8r586UgTfTgP8Us35CAQXUMIjBgsIU5dfXAP,2.13.3,408,"Sanctuary of Hebe on Phlious acropolis hill",12-08-166,"{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}"
ngUB8M687ULUeUhM9VN46DBZYWDIgC7fJUCeeYBI,2.13.4,409,"Sanctuary of Hebe on Phlious acropolis hill",13-08-166,"{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}"
ngVC8t788XCVgVip0W857ECqZXOKlDiuKXDfgZCp,2.13.5,410,"Hill of Phlious acropolis",14-08-166,"{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}"
ngWD8u889WjW3WjI1Wv60FDFAWvLmEjvLW8g3ADI,2.13.6,411,"Agora of Phlious",15-08-166,"{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}"
ngXE8v980XkXjXkL2Xw70GEMBYQMnFkwMX9hjBEL,2.13.7,412,"Agora of Phlious",16-08-166,"{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}"
ngYF9w081ZvYlYls3Zx81HFLCZRNoGlxNZwilCFs,2.13.8,413,"Building in memory of Kyathos in Phlious, next to the sanctuary of Apollo",17-08-166,"{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}"
ngZG9x182AGZmZmH4Ay9kIGEDASOpHmyOAHjmDGH,2.14.1,414,Keleai,18-08-166,"{""type"": ""Point"", ""coordinates"": [22.6465, 37.8446]}"
ngAH9u283CHA7AnE5Az04JHzEAzPqInvPCIk7EHE,2.14.2,415,Keleai,19-08-166,"{""type"": ""Point"", ""coordinates"": [22.6465, 37.8446]}"
ngBI9v384DSB8BoX6DU15KIUFCaQrJowQDTl8FIX,2.14.3,416,Keleai,20-08-166,"{""type"": ""Point"", ""coordinates"": [22.6465, 37.8446]}"
ngCJ9a485CzCmCpa7Db24LJtGDbRsKpbRCammGJa,2.14.4,417,Keleai,21-08-166,"{""type"": ""Point"", ""coordinates"": [22.6465, 37.8446]}"
ngDK9b586DKDnDqt8D630MKAHDWStLqcSDLnnHKt,2.15.1,418,Kleonai,22-08-166,"{""type"": ""Point"", ""coordinates"": [22.75372, 37.81708]}"
ngEL9y687FLEoEru9GN4pNLXIFdTuMrzTFMooILu,2.15.2,419,"Sanctuary of Nemean Zeus, Nemea",23-08-166,"{""type"": ""Point"", ""coordinates"": [22.7108, 37.8085]}"
ngFM9z788GWFpFsN0Ge59OMGJFeUvNsaUGXppJMN,2.15.3,420,"Sanctuary of Nemean Zeus, Nemea",24-08-166,"{""type"": ""Point"", ""coordinates"": [22.7108, 37.8085]}"
ngGN9a889HtGsGta1HP63PNbKIZVwOtbVH8qsKNa,2.15.4,421,"road Corinth to Argos via Tretos pass, vehicular",25-08-166,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[22.87929152488212, 37.90577400766536], [22.89430327638499, 37.896174316417046], [22.891941006444398, 37.88421796762594], [22.860740289572476, 37.87311662185431], [22.836011750880544, 37.86053935893521], [22.814732970911336, 37.842537434325195], [22.777213949517034, 37.82289355167367], [22.77164164093628, 37.81738479248688], [22.74858812242323, 37.790327913506204], [22.72342409450914, 37.78907792037933], [22.719973027823016, 37.78225940383102], [22.724954035399463, 37.77405556368049], [22.723999553771336, 37.77123888450282], [22.730871821491263, 37.76203363110008], [22.73718698339087, 37.734795541180716], [22.72587122837487, 37.71903568834483], [22.72891314572638, 37.64548071682432], [22.720964207586206, 37.63186694173682]]}]}"
ngHO9b980IeHrHuZ2H072QOyLIgWxPucWIfrrLOZ,2.15.5,422,Mycenae,26-08-166,"{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}"
ngMT0E081MzM5Mzk3OF8wVTBQMFBcUzFBM0w5QTk,2.16.1,423,Mycenae,27-08-166,"{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}"
ngNU0F182OENaNaV4NW95WUeROmCdVaGCOFxaRUV,2.16.2,424,Mycenae,28-08-166,"{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}"
ngOV0G283ObObObK5OX02XVPSOnDeWbHDO2ybSVK,2.16.3,425,Mycenae,29-08-166,"{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}"
ngPW0H384QmP3Pcn6P41bYWMTRIEfXcIEQnz3TWn,2.16.4,426,Mycenae,30-08-166,"{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}"
ngQX0I485RXQcQdI7Rp29ZXpUQpFgYdJFRYacUXI,2.16.5,427,Mycenae,31-08-166,"{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}"
ngRY0p586TYR0ReD8RK30AYOVCKF0ZeqGTZb7VYF,2.16.6,428,Mycenae,01-09-166,"{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}"
ngSZ0q687SJSfSfq9Sr46BZHWDLG1AfHHS6c1WZO,2.16.7,429,Mycenae,02-09-166,"{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}"
ngTA0L788TqT7Tgn0TC59CAIXUMIjBgMITrd7XAn,2.17.1,430,"Argive Heraion (Argolid)",03-09-166,"{""type"": ""Point"", ""coordinates"": [22.7747, 37.6919]}"
ngUB0M889UBU8UhC1WD6eDBpYWNJkChNJUCe8YBC,2.17.2,431,"Argive Heraion (Argolid)",04-09-166,"{""type"": ""Point"", ""coordinates"": [22.7747, 37.6919]}"
ngVC0H980VsViViZ2V079ECKZGOJ1DiSKV9f9ZCV,2.17.3,432,"Argive Heraion (Argolid)",05-09-166,"{""type"": ""Point"", ""coordinates"": [22.7747, 37.6919]}"
ngWD1E081WtWiWjA3WF8gFDBAHPK1EjTLWug0ADO,2.17.4,433,"Argive Heraion (Argolid)",06-09-166,"{""type"": ""Point"", ""coordinates"": [22.7747, 37.6919]}"
ngXE1r182XEXkXkB4XQ9iGEUBIQL5FkQMX1h1BEL,2.17.5,434,"Argive Heraion (Argolid)",07-09-166,"{""type"": ""Point"", ""coordinates"": [22.7747, 37.6919]}"
ngYF1o283YFY4Yls5AH04HFNCJRM5GlRNZwi6CFw,2.17.6,435,"Argive Heraion (Argolid)",08-09-166,"{""type"": ""Point"", ""coordinates"": [22.7747, 37.6919]}"
ngZG1R384BGZ4ZmV6ZI13IGODKSNkHmyOAHjlDGR,2.17.7,436,"Argive Heraion (Argolid)",09-09-166,"{""type"": ""Point"", ""coordinates"": [22.7747, 37.6919]}"
ngAH1S485BHAlAnM7BT2kJJlEAJO5InTPByk4EHO,2.18.1,437,"road Mycenae to Argos",10-09-166,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[22.755846334201067, 37.72998979907371], [22.750760941199843, 37.719252132741275], [22.74269470794593, 37.6773768653384], [22.72982823871891, 37.6486727827447], [22.726144208224156, 37.64073538919642]]}]}"
ngBI1B586BoBmBoz8B63oKIYFMUPoJoCQBJl0FIB,2.18.2,438,"road Mycenae to Argos",11-09-166,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[22.755846334201067, 37.72998979907371], [22.750760941199843, 37.719252132741275], [22.74269470794593, 37.6773768653384], [22.72982823871891, 37.6486727827447], [22.726144208224156, 37.64073538919642]]}]}"
ngCJ1Y687CzC1CpO9EL49LJPGNVQoKpZREKm8GJa,2.18.3,439,"road Mycenae to Argos",12-09-166,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[22.755846334201067, 37.72998979907371], [22.750760941199843, 37.719252132741275], [22.74269470794593, 37.6773768653384], [22.72982823871891, 37.6486727827447], [22.726144208224156, 37.64073538919642]]}]}"
ngDK1D788DUD9DqH0Dc51MKyHEWStLqESDVn9HKH,2.18.4,440,"Gate of Eileithyia in Argos",13-09-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngEL1A889GLE8ErA1E963NLdIEdTuMrBTGMo8ILA,2.18.5,441,"Gate of Eileithyia in Argos",14-09-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngFM1F980FcF0Fsd2FO72OMaJHYUvNsGUFdp0JMd,2.18.6,442,"Gate of Eileithyia in Argos",15-09-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngGN2G081GNG1Gtw3H181PNTKIZVwOtHVGOq1KNw,2.18.7,443,"Gate of Eileithyia in Argos",16-09-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngHO2D182IeH3HuD4H29rQOWLIAWxPuEWIfr3LOD,2.18.8,444,"Gate of Eileithyia in Argos",17-09-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngIP2E283JPI3Ivg5Ih0vRPhMIhXyQvFXJQs3MPg,2.18.9,445,"Gate of Eileithyia in Argos",18-09-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngJQ2F384LAJ7JwF6LS17SQGNLCYzRwGYLBt7NQF,2.19.1,446,"Gate of Eileithyia in Argos",19-09-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngKR2G485LxK5KxS7L526TRfOKDZaSxHZL4u5ORS,2.19.2,447,"Gate of Eileithyia in Argos",20-09-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngLS2H586LiLyLyL8Lk38UScPLkAbTyIALjvyPSL,2.19.3,448,"Sanctuary of Apollo Lykios in Argos",21-09-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngMT2I687MTMzMzE9MF4zVTdQNlBcUzJBMUwzQTE,2.19.4,449,"Sanctuary of Apollo Lykios in Argos",22-09-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngNU2J788OEN7Nal0NG57WUARNGCdVaKCOFx7RUl,2.19.5,450,"Sanctuary of Apollo Lykios in Argos",23-09-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngOV2K889PFO1Obe1QH61XVXSOnDeWbLDPGy1SVe,2.19.6,451,"Sanctuary of Apollo Lykios in Argos",24-09-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngPW2L980PcP3PcH2Q073YWETQIEfXcMEP9z3TWH,2.19.7,452,"Sanctuary of Apollo Lykios in Argos",25-09-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngQX3I081SHQ2QdE3SZ80ZXFUQJFgYdJFSIa2UXE,2.19.8,453,"Sanctuary of Apollo Lykios in Argos",26-09-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngRY3J182SeReReN4SK95AYSVSqGhZeKGS1beVYN,2.20.1,454,"Sanctuary of Apollo Lykios in Argos",27-09-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngSZ3O283SJS2Sfm5UL03BZFWSLHiAfPHSKc2WZm,2.20.2,455,"Sanctuary of Apollo Lykios in Argos",28-09-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngTA3L384VAT3Tgj6VM13CAIXUMIjBgMIVBd3XAj,2.20.3,456,"Sanctuary of Nemean Zeus at Argos",29-09-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngUB3Y485VhU8UhM7Vt2fDBDYUtJkChZJV4e8YBM,2.20.4,457,"Argos (Argolid)",30-09-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngVC3Z586WiVgViN8V63iECSZWOKlDiAKW5fgZCN,2.20.5,458,"Argos (Argolid)",01-10-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngWD3E687WNWiWjq9XF4iFDPAXvLmEjFLWOgiADq,2.20.6,459,"Argos (Argolid)",02-10-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngXE3B788ZEXjXkn0XG5hGEYBYwMnFkCMZFhjBEn,2.20.7,460,"Argos (Argolid)",03-10-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngYF3C889YlY1Yls1AR6iHFDCYRNoGlDNY8i1CFs,2.20.8,461,"Sanctuary of Aphrodite at Argos beyond theater",04-10-166,"{""type"": ""Point"", ""coordinates"": [22.7188, 37.6303]}"
ngZG3D980ZwZ2ZmL2AI71IGADAyOpHmEOZxj2DGL,2.20.9,462,"Sanctuary of Aphrodite at Argos beyond theater",05-10-166,"{""type"": ""Point"", ""coordinates"": [22.7188, 37.6303]}"
ngAH4E081BHA5AnE3BJ83JHFEBTPqInFPBIk5EHE,2.20.10,463,"Sanctuary of Aphrodite at Argos beyond theater",06-10-166,"{""type"": ""Point"", ""coordinates"": [22.7188, 37.6303]}"
ngBI4F182CSBnBoP4Ba92KICFBaQrJoGQCTlnFIP,2.21.1,464,"Agora of Argos",07-10-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngCJ4C283ETC7Cps5D304LJHGCVRsKpDREUm7GJs,2.21.2,465,"Agora of Argos",08-10-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngDK4D384EqD8DqP6E414MKIHFWStLqESE3n8HKP,2.21.3,466,"Agora of Argos",09-10-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngEL4I485ELEpErE7GN2rNLdIEdTuMrJTEMopILE,2.21.4,467,"Agora of Argos",10-10-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngFM4F586HMF9FsJ8Ge37OMSJHYUvNsGUHNp9JMJ,2.21.5,468,"Agora of Argos",11-10-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngGN4G687HXG8Gte9HP47PNZKGfVwOtHVHYq8KNe,2.21.6,469,"Agora of Argos",12-10-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngHO4H788HuH9Hub0IQ57QOyLIgWxPuIWH7r9LOb,2.21.7,470,"Agora of Argos",13-10-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngIP4I889JvItIvA1IR6vRPBMIhXyQvJXJ8stMPA,2.21.8,471,"Agora of Argos",14-10-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngJQ4J980KgJtJwd2LC74SQYNJCYzRwKYKhttNQd,2.21.9,472,"Sanctuary of Leto in Argos",15-10-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngKR5W081LBK0KxK3LD84TRbOKjZaSxXZLCu0ORK,2.21.10,473,"Sanctuary of Leto in Argos",16-10-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngLS5X182LyL1LyD4Lk91USYPLEAbTyYAL1v1PSD,2.22.1,474,"Temple of Hera Antheia at Argos agora",17-10-166,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
ngMT5Y283NjMzMzg5M304VTRQOFBcUzZBNkwzQTg,2.22.2,475,"grave of Tantalus son of Thyestes, in Argos",18-10-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngNU5Z384OUNaNaZ6PW14WUCRNGCdVaACOVxaRUZ,2.22.3,476,"grave of Tantalus son of Thyestes, in Argos",19-10-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngOV5A485OFOzObW7On27XVfSPnDeWbBDOGyzSVW,2.22.4,477,"Sanctuary of Poseidon Prosklystios in Argos",20-10-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngPW5B586PGP5PcP8Po30YWETPIEfXcCEPHz5TWP,2.22.5,478,"Temple of the Dioskouri Anaktes in Argos",21-10-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngQX5Y687SXQ6QdI9QJ47ZXVURJFgYdZFSYa6UXI,2.22.6,479,"Sanctuary of Eileithyia at Argos founded by Helen",22-10-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngRY5D788RoR8Rep0SK50AYOVSKGhZeEGRpb8VYp,2.22.7,480,"Sanctuary of Eileithyia at Argos founded by Helen",23-10-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngSZ5E889SZSfSfE1T969BZPWULHiAfFHSAcfWZE,2.22.8,481,"Road to Kylarabis Gymnasium, Argos",24-10-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngTA5B980UqTeTgB2TM73CAkXUsIjBgCIUrdeXAB,2.22.9,482,"Gymnasium of Kylarabis in Argos",25-10-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngUB6C081VBUfUhU3Vt82DBZYUNJkChDJVCefYBU,2.23.1,483,"Temple of Dionysus in Argos",26-10-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngVC6D182XMViViJ4WO91ECIZVOKlDiEKXNfiZCJ,2.23.2,484,"Sanctuary of Baton in Argos",27-10-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngWD6E283XjW3WjA5XP0iFDBAYPLmEjFLX2g3ADA,2.23.3,485,"Tomb/Cenotaph of Hyrnetho",28-10-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
ngXE6F384XuXkXkX6YG16GEQBYwMnFkGMXvhkBEX,2.23.4,486,"Asclepieion of Argos, most prominent",29-10-166,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
