BookID,Place,Links,Lat,Lon,Type,Label,Tags,Comments
7.1.1,Αἰγιαλεῖς,http://pleiades.stoa.org/places/570028,38.102121472776034,22.224585911364017,region,"Achaea/Achaia (region)",historical|proxy|Aegialeans,NULL
7.1.1,Αἰγιαλὸς,http://pleiades.stoa.org/places/570028,38.102121472776034,22.224585911364017,region,"Achaea/Achaia (region)","regional|t - archaion|name",Aigialos
7.1.1,Ἀχαΐαν,http://pleiades.stoa.org/places/570028,38.102121472776034,22.224585911364017,region,"Achaea/Achaia (region)",regional|synoptic|name,NULL
7.1.1,ἐνοικούντων,http://pleiades.stoa.org/places/570028,38.102121472776034,22.224585911364017,region,"Achaea/Achaia (region)",historical|Achaeans|proxy,NULL
7.1.1,Ἠλείας,http://dare.ht.lu.se/places/21944,37.89131,21.37493,"theatre,settlement","Elis, Elis|Elis",built|settlement|synoptic,NULL
7.1.1,θάλασσαν,http://pleiades.stoa.org/places/570181,38.175407050000004,22.395744800000003,water-open,"Corinthiacus Sinus",physical|sea|synoptic,NULL
7.1.1,Σικυωνίᾳ,http://dare.ht.lu.se/places/21937,37.98336,22.71135,settlement,"Sicyon, Vasiliko|Sicyon/Demetrias","built|settlement|synoptic|t - nun",NULL
7.1.1,Σικυωνίας,http://dare.ht.lu.se/places/21937,37.98336,22.71135,settlement,"Sicyon, Vasiliko|Sicyon/Demetrias",built|settlement|synoptic,NULL
7.1.1,Σικυωνίων,http://dare.ht.lu.se/places/21937,37.98336,22.71135,settlement,"Sicyon, Vasiliko|Sicyon/Demetrias","historical|Sicyonians|proxy|f - logos","Naming of Achaia"
7.1.1,χώρας,http://pleiades.stoa.org/places/570028,38.102121472776034,22.224585911364017,region,"Achaea/Achaia (region)",regional|chôra,NULL
7.1.2,Ἀθήνας,http://dare.ht.lu.se/places/10975,37.971687,23.726464,settlement,"Athenae, Athína|Athenae",built|settlement|synoptic,NULL
7.1.2,Θεσσαλίας,http://pleiades.stoa.org/places/1332,39.6,22.2,region,Thessalia,regional|synoptic,NULL
7.1.3,Ἀθηνῶν,http://dare.ht.lu.se/places/10975,37.971687,23.726464,settlement,"Athenae, Athína|Athenae",built|settlement|synoptic,NULL
7.1.3,Αἰγιαλεῖς,http://pleiades.stoa.org/places/570028,38.102121472776034,22.224585911364017,region,"Achaea/Achaia (region)",regional|synoptic,NULL
7.1.3,Αἰγιαλὸν,http://pleiades.stoa.org/places/570028,38.102121472776034,22.224585911364017,region,"Achaea/Achaia (region)",regional|synoptic,"later name for aigialos"
7.1.3,Αἰγιαλοῦ,http://pleiades.stoa.org/places/570028,38.102121472776034,22.224585911364017,region,"Achaea/Achaia (region)",regional|synoptic,NULL
7.1.3,Θεσσαλίαν,http://pleiades.stoa.org/places/1332,39.6,22.2,region,Thessalia,regional|synoptic,NULL
7.1.4,Αἰγιαλεῖς,http://pleiades.stoa.org/places/570028,38.102121472776034,22.224585911364017,region,"Achaea/Achaia (region)",regional|synoptic,NULL
7.1.4,Αἰγιαλέων,http://pleiades.stoa.org/places/570028,38.102121472776034,22.224585911364017,region,"Achaea/Achaia (region)",historical|Achaians|proxy,NULL
7.1.4,Αἰγιαλόν,http://pleiades.stoa.org/places/570028,38.102121472776034,22.224585911364017,region,"Achaea/Achaia (region)",regional|synoptic,NULL
7.1.4,Αἰγιαλῷ,http://pleiades.stoa.org/places/570028,38.102121472776034,22.224585911364017,region,"Achaea/Achaia (region)",regional|synoptic,NULL
7.1.4,Ἑλίκην,http://dare.ht.lu.se/places/27442,38.22257,22.14015,settlement,"Helike, E Aigion|Helike",built|settlement|synoptic,NULL
7.1.4,Ἑλίκην,http://dare.ht.lu.se/places/27442,38.22257,22.14015,settlement,"Helike, E Aigion|Helike",built|settlement|synoptic,NULL
7.1.4,"τοὺς ἀνθρώπους",http://pleiades.stoa.org/places/570281,38.22257,22.14015,settlement,"Helike, E Aigion|Helike",historical|Ionians|proxy,NULL
