BookID,Place,Links,Lat,Lon,Type,Label,Tags,Comments
1.1.2,πόλεως,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae","built|polis|synoptic|l - apechei",NULL
1.1.2,σφισιν,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae","proxy|t - Persian War",NULL
1.1.2,σφισιν,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae","proxy|t - heroic age",NULL
1.1.2,ταύτῃ,http://pleiades.stoa.org/places/580072,37.9373,23.7062,settlement,"Phaleron, Palio Faliro|Phaleron",physical|locative|synoptic,NULL
1.1.2,τάφος,http://topostext.org/binder/JB2804,37.992,23.682,NULL,"Themistokles, tomb",built|taphos|Paus|Themistokles,NULL
1.1.2,Τροίαν,http://pleiades.stoa.org/places/550595,39.9577,26.23873,settlement,"Ilium/Troia, Hisarlık|Ilium/Troia","built|settlement|t - heroic age|f - they say",NULL
1.1.2,Φαληροῖ,http://pleiades.stoa.org/places/580071,37.875,23.625,unknown,"Phaleron Limen","built|harbour|t - Persian War|f - Themistokles|analogic",NULL
1.1.2,Φαληρὸν,http://pleiades.stoa.org/places/580072,37.9373,23.7062,settlement,"Phaleron, Palio Faliro|Phaleron",built|settlement|synoptic,NULL
1.1.3,Ἀθηναίοις,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae","proxy|t - Macedonian War",NULL
1.1.3,ἀρχαιότατον,http://pleiades.stoa.org/places/312238265,36.688864,27.373294,temple-2,"Temple of Aphrodite Euploia","built|hieron|analogic|tx: archaios|s - archaios",NULL
1.1.3,Βοιωτοῖς,http://pleiades.stoa.org/places/540689,38.34668803333333,23.184677533333332,region,Boeotia,"proxy|t - Macedonian War",battle
1.1.3,Δῆμος,http://arachne.dainst.org/entity/3585907,37.943263,23.650904,NULL,"Statue: Demos  Piräus (Paus. 1.1.3)","object|statue|Paus|b - Leochares|Demos|agency",Q4157689|person
1.1.3,Ἕλλησιν,http://pleiades.stoa.org/places/1001896,37.5,22.5,province,Hellas,"proxy|t - Macedonian War",NULL
1.1.3,ἔνθα,http://topostext.org/place/380236BLSt,37.94579,23.64254,NULL,"Long Stoa (Piraeus)","built|stoa|Paus|lx: entha",NULL
1.1.3,ἑτέρα,http://topostext.org/place/379236BHiA,37.9419,23.6473,NULL,"Hippodameian agora (Piraeus)",built|agora|synoptic,NULL
1.1.3,Ζεὺς,http://arachne.dainst.org/entity/3652649,37.943263,23.650904,NULL,"Statues: Zeus and the Demos  Piräus (Paus. 1.1.3)","object|statue|Paus|b - Leochares|Zeus|agency",Q34201|person
1.1.3,"ἡ δὲ",http://arachne.dainst.org/entity/3585901,37.943263,23.650904,NULL,"Cult image: Athena  Piräus (Paus. 1.1.3)","object|agalma|Paus|mat - chalkos|Athena|agency",NULL
1.1.3,θαλάσσῃ,http://pleiades.stoa.org/places/560221,37.42245628773585,25.8829628235849,water-open,"Aegaeum Mare","physical|thalassa|t - post-Peloponnesian War|l - pros",NULL
1.1.3,θαλάσσης,http://pleiades.stoa.org/places/560221,37.42245628773585,25.8829628235849,water-open,"Aegaeum Mare",physical|thalassa|Paus,NULL
1.1.3,θαλάσσης,http://pleiades.stoa.org/places/560221,37.42245628773585,25.8829628235849,water-open,"Aegaeum Mare","physical|thalassa|Paus|l - epi",NULL
1.1.3,Θερμοπυλῶν,http://pleiades.stoa.org/places/541140,38.796511,22.538294,"shrine,pass,fort","Thermopylae, Thermopylae|Anthele, Anthili|Anthela|Thermopylae","physical|pass|t - Macedonian War|l - exo",battle
1.1.3,ἱερὰ,http://pleiades.stoa.org/places/312238265,36.688864,27.373294,temple-2,"Temple of Aphrodite Euploia",built|hieron|analogic|Aphrodite,NULL
1.1.3,"Καρικῇ χερρονήσῳ",http://pleiades.stoa.org/places/991381,37.213163833551015,28.088996902733474,province,Caria,"physical|cherronesos|t - post-Peloponnesian War",NULL
1.1.3,Κνίδιοι,http://pleiades.stoa.org/places/599575,36.686188,27.37404,settlement,"Knidos/Cnidus, Tekir|Cnidus, Burgaz örenyeri|Cnidus|Cnidus",proxy|analogic|focaliser,NULL
1.1.3,Κνίδιοι,http://pleiades.stoa.org/places/599575,36.686188,27.37404,settlement,"Knidos/Cnidus, Tekir|Cnidus, Burgaz örenyeri|Cnidus|Cnidus","proxy|analogic|i - timaō",NULL
1.1.3,Κνίδον,http://pleiades.stoa.org/places/599575,36.686188,27.37404,settlement,"Knidos/Cnidus, Tekir|Cnidus, Burgaz örenyeri|Cnidus|Cnidus","built|settlement|t - post-Peloponnesian War",battle
1.1.3,Λακεδαιμονίων,http://pleiades.stoa.org/places/570406,37.07624042080912,22.46082645177671,region,Lacedaemon/Laconia,"proxy|t - post-Peloponnesian War",NULL
1.1.3,Λάμιαν,http://pleiades.stoa.org/places/540902,38.9046,22.43516,settlement,"Lamia, Lamia/Zeitoun|Lamia","built|settlement|t - Macedonian War",battle
1.1.3,Λεωσθένην,http://arachne.dainst.org/entity/3585906,37.943263,23.650904,NULL,"Painting: Leosthenes (general) and sons  Piräus (Paus. 1.1.3)","object|painting|Paus|Leosthenes|l - entautha",Q183109|person
1.1.3,"Λεωσθένην καὶ τοὺς παῖδας",http://arachne.dainst.org/entity/3585906,37.943263,23.650904,NULL,"Painting: Leosthenes (general) and sons  Piräus (Paus. 1.1.3)","object|graphe|Paus|b - Arkesilaos|Leosthenes",NULL
1.1.3,λιμένος,http://pleiades.stoa.org/places/580062,37.937222,23.644609,"theatre,region,settlement,fort","Peiraieus/Piraeus, Peiraieus/Piraeus|Peiraieus/Piraeus","built|limen|synoptic|l - apotero",NULL
1.1.3,Μακεδόνας,http://pleiades.stoa.org/places/981531,42.5,22.5,province,"Macedonia (Roman province)","proxy|t - Macedonian War",NULL
1.1.3,μετὰ,http://pleiades.stoa.org/places/312238265,36.688864,27.373294,temple-2,"Temple of Aphrodite Euploia",built|hieron|analogic,NULL
1.1.3,νεώτατον,http://pleiades.stoa.org/places/312238265,36.688864,27.373294,temple-2,"Temple of Aphrodite Euploia","built|hieron|analogic|s - neos",NULL
1.1.3,"ὁ μὲν",http://arachne.dainst.org/entity/3585902,37.943263,23.650904,NULL,"Cult image: Zeus with Nike  Piräus (Paus. 1.1.3)","object|agalma|Paus|mat - chalkos|Zeus|agency","Zeus, Q34201|person"
1.1.3,Οἴτης,http://pleiades.stoa.org/places/540968,38.7922475,22.2564576,mountain,"Oeta Mons, Oeta|Oeta M.","physical|mountain|t - Macedonian War",NULL
1.1.3,Πειραιεῖ,http://pleiades.stoa.org/places/580062,37.937222,23.644609,"theatre,region,settlement,fort","Peiraieus/Piraeus, Peiraieus/Piraeus|Peiraieus/Piraeus","built|harbour|Paus|worthy of viewing",1.1.3
1.1.3,πολλοί,http://pleiades.stoa.org/places/1001896,37.5,22.5,province,Hellas,proxy|focaliser,"general Greeks"
