BookID,Place,Links,Lat,Lon,Type,Label,Tags,Comments
9.1.1,Ἀθηναίοις,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae",proxy|synoptic,NULL
9.1.1,Ἀσωποῦ,http://pleiades.stoa.org/places/540672,38.300198333333334,23.581173000000003,river,"Asopos (river)","physical|potamos|eponym|Q622781|t - heroic age|f - they consider|person","Asôpos river god, father of Plataia"
9.1.1,Ἀττικῆς,http://pleiades.stoa.org/places/579888,38.051998833333336,23.818991099999998,region,Attica,regional|synoptic,NULL
9.1.1,Βοιωτία,http://pleiades.stoa.org/places/540689,38.34668803333333,23.184677533333332,region,Boeotia,"regional|synoptic|l - homoros",NULL
9.1.1,Βοιωτοὶ,http://pleiades.stoa.org/places/540689,38.34668803333333,23.184677533333332,region,Boeotia,"proxy|t - heroic age|xm - echō|n - onoma|ethnic",NULL
9.1.1,Ἐλευθερῶν,http://pleiades.stoa.org/places/540756,38.17934,23.37572,"settlement,fort","Eleutherai, Gyphtokastro|Eleutherai",built|settlement|synoptic,NULL
9.1.1,Πλαταιεῖς,http://pleiades.stoa.org/places/541063,38.221019,23.273866,settlement,"Plataiai, Kokkla|Plataea","synoptic|l - pros|historical|Plataeans|proxy",NULL
9.1.1,Πλαταιεῖς,http://pleiades.stoa.org/places/541063,38.221019,23.273866,settlement,"Plataiai, Kokkla|Plataea",proxy|ethnic,NULL
9.1.2,Ἑλλάδος,http://pleiades.stoa.org/places/1001896,37.5,22.5,province,Hellas,"regional|t - archaion|t - palai",NULL
9.1.2,ὄρει,http://pleiades.stoa.org/places/540714,38.1850025,23.2505528,mountain,"Cithaeron Mons, Kithairon|Cithaeron M.","physical|oros|t - heroic age|n - onoma|f - they say|eponym","orei, the mountain named for Kithairôn"
9.1.2,Πλαταιεῖς,http://pleiades.stoa.org/places/541063,38.221019,23.273866,settlement,"Plataiai, Kokkla|Plataea",proxy|ethnic,NULL
9.1.2,πόλις,http://pleiades.stoa.org/places/541063,38.221019,23.273866,settlement,"Plataiai, Kokkla|Plataea","built|settlement|n - kaleō|eponym",polis
9.1.2,ποταμοῦ,http://pleiades.stoa.org/places/540672,38.300198333333334,23.581173000000003,river,"Asopos (river)","physical|potamos|Q622781|f - narrator|x - not","river god Asopus"
9.1.2,ποταμῷ,http://pleiades.stoa.org/places/540672,38.300198333333334,23.581173000000003,river,"Asopos (river)","physical|potamos|t - heroic age|f - they say|eponym","Asôpos river"
9.1.3,Ἀθηναῖοι,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae","t - Persian War|historical|Athenians|proxy",NULL
9.1.3,Ἀθηναίων,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae","t - Persian War|historical|Athenians|proxy",NULL
9.1.3,ἀναστάτους,http://pleiades.stoa.org/places/541063,38.221019,23.273866,settlement,"Plataiai, Kokkla|Plataea","proxy|xm - anastatos|xmx: anastatos|trx: anistamai",NULL
9.1.3,Βοιωτία,http://pleiades.stoa.org/places/540689,38.34668803333333,23.184677533333332,region,Boeotia,regional,NULL
