BookID,Place,Links,Lat,Lon,Type,Description
10.1.1,Αἰγινητῶν,http://dare.ht.lu.se/places/21936,37.74991,23.42372,"island,settlement,temple-2"," - "
10.1.1,Δελφούς,http://dare.ht.lu.se/places/21949,38.482289,22.501169,"sanctuary,settlement"," - "
10.1.1,Κορινθίου,http://dare.ht.lu.se/places/17070,37.906045,22.878721,"sanctuary,settlement,fort"," - "
10.1.1,Τιθορέαν,http://dare.ht.lu.se/places/22817,38.58344,22.66931,settlement," - "
10.1.1,Φωκίδι,http://pleiades.stoa.org/places/541048,38.25,22.25,unknown," - "
10.1.1,Φωκίδος,http://pleiades.stoa.org/places/541048,38.25,22.25,unknown," - "
10.1.2,Ἄβας,http://dare.ht.lu.se/places/23113,38.58006,22.9154,settlement," - "
10.1.2,Ἀντίκυραν,http://dare.ht.lu.se/places/22840,38.375439,22.626059,"settlement,port"," - "
10.1.2,Βοιωτίας,http://pleiades.stoa.org/places/540689,38.34668803333333,23.184677533333332,region," - "
10.1.2,Δελφῶν,http://dare.ht.lu.se/places/21949,38.482289,22.501169,"sanctuary,settlement"," - "
10.1.2,Ἐλατείας,http://dare.ht.lu.se/places/22815,38.645635,22.782061,"settlement-modern,settlement"," - "
10.1.2,Κίρραν,http://dare.ht.lu.se/places/29378,38.428937,22.450621,settlement," - "
10.1.2,Κῦνον,http://dare.ht.lu.se/places/29389,38.7234,23.0622,settlement," - built|epineionnaval station of the Opuntians"
10.1.2,"Λαμιακοῦ κόλπου",http://pleiades.stoa.org/places/540929,38.8678937,22.6337672,water-open," - physical|kolposLamian Gulf = Maliac gulf"
10.1.2,Λοκροὶ,http://pleiades.stoa.org/places/540919,38.25,21.75,unknown," - "
10.1.2,Ὀποῦντα,http://dare.ht.lu.se/places/23120,38.653678,22.999964,settlement," - "
10.1.2,Ὀπουντίων,http://dare.ht.lu.se/places/23120,38.653678,22.999964,settlement," - "
10.1.2,Πελοποννήσου,http://pleiades.stoa.org/places/570577,37.25289777692308,22.312752688461543,"peninsula,region"," - "
10.1.2,Σκαρφεῖς,http://dare.ht.lu.se/places/23301,38.81072,22.68341970000006,settlement," - "
10.1.2,Ὑάμπολιν,http://dare.ht.lu.se/places/23112,38.596346,22.905228,settlement," - "
10.1.2,Ὑποκνημίδιοι,http://pleiades.stoa.org/places/540917,38.75,22.75,unknown," - regional|Lokroi Epiknemidioi|proxyEpiknêmidian Lokrians"
10.1.2,Φωκεῖς,http://pleiades.stoa.org/places/541048,38.25,22.25,unknown," - "
